# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.6499729541e-05 5.5754529672e-06 -3.9754656690e-07 -3.5212733529e-07 5.1640419673e-07 1.0512686416e-06 1.3234553254e-06 1.4764077589e-06 1.5782388737e-06 1.6481325539e-06 2.2948133968e-05 1.9908462824e-06 -3.9227698890e-06 -1.2689745740e-06 -1.5183318122e-07 2.9293381613e-07 5.1727520208e-07 6.4917948185e-07 7.2094080064e-07 2.2702381253e-05 1.9608930021e-06 -3.8558371577e-06 -1.3027959657e-06 -2.4713132639e-07 1.8103277313e-07 3.9297917143e-07 4.8685932304e-07 2.0815649701e-05 1.9924019578e-06 -3.3137959026e-06 -1.0897491939e-06 -1.6376618502e-07 2.0575218860e-07 3.4145313246e-07 1.7646281788e-05 1.8475438909e-06 -2.5593736767e-06 -7.6989261615e-07 -2.3510692376e-08 2.0788798982e-07 1.4369079237e-05 1.6116967140e-06 -1.7544034035e-06 -4.2656901178e-07 7.3529139605e-08 1.0753336667e-05 1.3206065325e-06 -8.9551377905e-07 7.1870196790e-09 7.3240416026e-06 1.1345526804e-06 2.6508926685e-07 4.0768105259e-06 1.1853749011e-06 1.4407785277e-06
   3 3.5520847785e-05 1.2554870367e-05 4.0229552177e-07 2.5131227535e-07 1.8191542390e-06 2.7977851461e-06 3.3013606261e-06 3.5924038472e-06 3.7926188625e-06 3.9371815206e-06 4.5605011060e-05 4.4354014128e-06 -7.0814377842e-06 -1.9168324695e-06 1.9205807030e-07 1.0071011830e-06 1.4143130688e-06 1.6595279608e-06 1.8054900695e-06 4.4847784756e-05 3.9989747767e-06 -7.2866834101e-06 -2.2100332422e-06 -1.6621864768e-07 6.4207108543e-07 1.0413695156e-06 1.2269438558e-06 4.1150820469e-05 3.9538115755e-06 -6.3800371535e-06 -1.9225688881e-06 -1.0131260154e-07 6.1558106788e-07 8.8047332898e-07 3.4925688157e-05 3.6389258238e-06 -4.9647599837e-06 -1.3600578152e-06 1.2212767200e-07 5.7708218457e-07 2.8471542889e-05 3.1803975030e-06 -3.3971187186e-06 -7.1740046884e-07 2.7921210541e-07 2.1335581182e-05 2.6254728947e-06 -1.7022260591e-06 1.1760597955e-07 1.4554596429e-05 2.2803305274e-06 6.0027671113e-07 8.1277227925e-06 2.4086148463e-06 2.9227128465e-06
   4 6.2993109542e-05 2.3199636563e-05 2.5184835249e-06 1.8239938485e-06 4.1290255995e-06 5.5867197276e-06 6.3431028263e-06 6.7997212675e-06 7.1343606006e-06 7.3860844216e-06 7.5752845873e-05 8.4591996349e-06 -1.0332386549e-05 -2.1206194104e-06 1.1069207680e-06 2.3142043413e-06 2.9218102636e-06 3.3028314236e-06 3.5445110873e-06 7.3900775818e-05 6.9938578135e-06 -1.1253663301e-05 -2.9399651212e-06 2.9785060465e-07 1.5377182972e-06 2.1433803730e-06 2.4366569608e-06 6.7779274689e-05 6.6617519775e-06 -1.0064664428e-05 -2.6793349148e-06 2.5299150456e-07 1.3745273343e-06 1.7903188437e-06 5.7590968388e-05 6.0649429114e-06 -7.8977898950e-06 -1.8964535204e-06 5.1459828301e-07 1.2413222329e-06 4.7003766340e-05 5.2874388435e-06 -5.4005240186e-06 -9.2431212346e-07 7.0786639687e-07 3.5262804114e-05 4.3847224305e-06 -2.6406181583e-06 3.9549524262e-07 2.4096997174e-05 3.8448163914e-06 1.1415840701e-06 1.3506314131e-05 4.0906130142e-06 4.9463630409e-06
   5 9.9384407895e-05 3.7958971687e-05 6.1704512402e-06 4.4533533788e-06 7.4841146619e-06 9.4437930267e-06 1.0468264288e-05 1.1109983243e-05 1.1612219560e-05 1.2015010167e-05 1.1354147423e-04 1.4545362756e-05 -1.3232498001e-05 -1.6535170755e-06 2.7116128768e-06 4.2816012610e-06 5.0827487202e-06 5.6223921820e-06 5.9992140019e-06 1.0974570271e-04 1.1257465058e-05 -1.5365822178e-05 -3.2765153584e-06 1.2473750658e-06 2.9214204557e-06 3.7445067205e-06 4.1674812526e-06 1.0053288190e-04 1.0279537571e-05 -1.4098403598e-05 -3.1941661771e-06 9.9362434967e-07 2.5465702974e-06 3.1230807016e-06 8.5469356546e-05 9.2083111205e-06 -1.1164729832e-05 -2.2394700169e-06 1.2383281770e-06 2.2583066131e-06 6.9833746495e-05 7.9976783730e-06 -7.6184734635e-06 -9.4790717220e-07 1.4229084399e-06 5.2457934274e-05 6.6460885517e-06 -3.6180778473e-06 9.0472011081e-07 3.5904457468e-05 5.8603871851e-06 1.9416921081e-06 2.0199535966e-05 6.2605671568e-06 7.5342355931e-06
   6 1.4473191894e-04 5.7126802411e-05 1.1468014732e-05 8.1200922004e-06 1.1817141741e-05 1.4303558602e-05 1.5629044118e-05 1.6488691147e-05 1.7192794924e-05 1.7787195489e-05 1.5919811997e-04 2.3128343893e-05 -1.5505020272e-05 -4.5110985842e-07 5.0194215673e-06 6.9301488686e-06 7.9259620816e-06 8.6423388504e-06 9.1948938205e-06 1.5228387660e-04 1.7073324349e-05 -1.9309312881e-05 -3.0733032532e-06 2.7437626695e-06 4.8162196107e-06 5.8499495920e-06 6.4337916159e-06 1.3925904173e-04 1.5008761874e-05 -1.8207506657e-05 -3.3324066909e-06 2.1634254449e-06 4.1401144426e-06 4.8938456049e-06 1.1843199366e-04 1.3193572112e-05 -1.4579914762e-05 -2.3000133340e-06 2.3290695142e-06 3.6535139773e-06 9.6839646383e-05 1.1375027606e-05 -9.9246014527e-06 -7.1534984939e-07 2.4638848830e-06 7.2833815096e-05 9.4635296291e-06 -4.5438251517e-06 1.6944176472e-06 4.9937613748e-05 8.3691155090e-06 3.0453215574e-06 2.8195771215e-05 8.9416810034e-06 1.0701339690e-05
   7 1.9874689113e-04 8.0847876473e-05 1.8459712465e-05 1.2787704547e-05 1.7049978718e-05 2.0078064953e-05 2.1744703377e-05 2.2868160554e-05 2.3819375145e-05 2.4645336822e-05 2.1293547227e-04 3.4614225695e-05 -1.6944718071e-05 1.4855189874e-06 7.9848444275e-06 1.0231194252e-05 1.1454921074e-05 1.2388171074e-05 1.3155307885e-05 2.0149891484e-04 2.4729567737e-05 -2.2858142739e-05 -2.2842123741e-06 4.7866777245e-06 7.2304603714e-06 8.4780590966e-06 9.2488869503e-06 1.8381819269e-04 2.1030041710e-05 -2.2173358956e-05 -3.0030307446e-06 3.7958337901e-06 6.1643289323e-06 7.1063952058e-06 1.5635159608e-04 1.8161855679e-05 -1.7952086676e-05 -1.9953777115e-06 3.8016900059e-06 5.4323623651e-06 1.2793637434e-04 1.5522560562e-05 -1.2194141751e-05 -1.8259906183e-07 3.8489696843e-06 9.6323257035e-05 1.2892981621e-05 -5.3428975351e-06 2.7999066845e-06 6.6155771146e-05 1.1414248337e-05 4.4955838628e-06 3.7494085015e-05 1.2163306964e-05 1.4465574008e-05
   8 2.6090409468e-04 1.0914232287e-04 2.7128644343e-05 1.8395770186e-05 2.3103981785e-05 2.6681809277e-05 2.8727941801e-05 3.0162345674e-05 3.1409436710e-05 3.2510425767e-05 2.7486487719e-04 4.9306681254e-05 -1.7416140250e-05 4.1409941277e-06 1.1570225876e-05 1.4153937199e-05 1.5651345057e-05 1.6859988126e-05 1.7891885512e-05 2.5740940432e-04 3.4522321912e-05 -2.5819188844e-05 -9.0152890497e-07 7.3354243857e-06 1.0136677531e-05 1.1629816186e-05 1.2627381281e-05 2.3413272879e-04 2.8538244167e-05 -2.5831244629e-05 -2.1826367738e-06 5.8783616605e-06 8.6222347454e-06 9.7694783299e-06 1.9910957136e-04 2.4234328632e-05 -2.1141140721e-05 -1.2775813954e-06 5.6712746548e-06 7.5998617090e-06 1.6302524381e-04 2.0539465818e-05 -1.4303183097e-05 6.9126241904e-07 5.5872294504e-06 1.2288156878e-04 1.7013308775e-05 -5.9450036464e-06 4.2418476466e-06 8.4531953235e-05 1.5037990143e-05 6.3231865270e-06 4.8088776390e-05 1.5951293664e-05 1.8845697045e-05
   9 3.3051721607e-04 1.4194474795e-04 3.7417027687e-05 2.4861367472e-05 2.9891153978e-05 3.4027722735e-05 3.6490290245e-05 3.8280583280e-05 3.9869560477e-05 4.1288060360e-05 3.4500253677e-04 6.7395097805e-05 -1.6866049194e-05 7.4782904354e-06 1.5744298184e-05 1.8681421357e-05 2.0503016169e-05 2.2046347585e-05 2.3398516216e-05 3.2000641648e-04 4.6702264602e-05 -2.8047725135e-05 1.0736053045e-06 1.0360666435e-05 1.3507769770e-05 1.5290732045e-05 1.6570512369e-05 2.9015083767e-04 3.7743027159e-05 -2.9028236357e-05 -8.6711531340e-07 8.3774391209e-06 1.1490649252e-05 1.2884201316e-05 2.4663469970e-04 3.1547472975e-05 -2.4034969240e-05 -1.4464553246e-07 7.9230720427e-06 1.0158231328e-05 2.0202150224e-04 2.6506999630e-05 -1.6170793548e-05 1.9272345256e-06 7.6866940893e-06 1.5244625800e-04 2.1894653027e-05 -6.2835087207e-06 6.0391452836e-06 1.0505195845e-04 1.9291799079e-05 8.5556525546e-06 5.9983367704e-05 2.0327083269e-05 2.3856594771e-05
  10 4.0679625731e-04 1.7912540083e-04 4.9248861132e-05 3.2093854563e-05 3.7317311621e-05 4.2024719959e-05 4.4940620998e-05 4.7128896573e-05 4.9102780813e-05 5.0877403688e-05 4.2328105258e-04 8.8987129177e-05 -1.5299556495e-05 1.1441524813e-05 2.0473697988e-05 2.3795550552e-05 2.5998106582e-05 2.7934306236e-05 2.9659682294e-05 3.8924485579e-04 6.1456924376e-05 -2.9460527064e-05 3.6165447005e-06 1.3838078330e-05 1.7331987626e-05 1.9451935433e-05 2.1071623583e-05 3.5181001931e-04 4.8825910139e-05 -3.1643808533e-05 9.4567988052e-07 1.1269263568e-05 1.4749833917e-05 1.6440992874e-05 2.9887063613e-04 4.0251076035e-05 -2.6527206640e-05 1.4027458074e-06 1.0528744039e-05 1.3096848394e-05 2.4487199340e-04 3.3525131803e-05 -1.7731787446e-05 3.5151847638e-06 1.0142997954e-05 1.8496799559e-04 2.7589444966e-05 -6.3191059145e-06 8.2015154241e-06 1.2768822721e-04 2.4219843498e-05 1.1217460409e-05 7.3185583065e-05 2.5314544611e-05 2.9512472244e-05
  11 4.8889341775e-04 2.2050073455e-04 6.2539405533e-05 4.0004256038e-05 4.5289668828e-05 5.0580694980e-05 5.3987009417e-05 5.6612035635e-05 5.9010140207e-05 6.1176062508e-05 5.0954706359e-04 1.1412902080e-04 -1.2749252130e-05 1.5967593278e-05 2.5723345077e-05 2.9475149362e-05 3.2117004858e-05 3.4504521928e-05 3.6653110291e-05 4.6505568288e-04 7.8917852828e-05 -3.0021387929e-05 6.6853929882e-06 1.7738795674e-05 2.1598548805e-05 2.4108306365e-05 2.6123848106e-05 4.1903576045e-04 6.1931206762e-05 -3.3602898438e-05 3.2389156473e-06 1.4535725433e-05 1.8389990310e-05 2.0431625562e-05 3.5575169057e-04 5.0473595322e-05 -2.8530923750e-05 3.3614901447e-06 1.3472456930e-05 1.6402591877e-05 2.9153374828e-04 4.1697200679e-05 -1.8918268954e-05 5.4470566746e-06 1.2943142832e-05 2.2042342772e-04 3.4166059922e-05 -6.0262306794e-06 1.0725867397e-05 1.5241817368e-04 2.9852771878e-05 1.4320871311e-05 8.7695451924e-05 3.0932208005e-05 3.5827284802e-05
