# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.5215216689e-05 4.5527555057e-06 -1.5642258758e-06 -1.6329588819e-06 -8.5313152586e-07 -3.9093100717e-07 -1.8141515433e-07 -8.5750757180e-08 -3.9534998953e-08 -2.1406934090e-08 2.2546460668e-05 1.5672111061e-06 -4.4112743743e-06 -1.8172685995e-06 -7.5185912072e-07 -3.5284925651e-07 -1.7093960286e-07 -8.0677284902e-08 -4.8133680635e-08 2.2353981116e-05 1.5956831573e-06 -4.2581795565e-06 -1.7434172592e-06 -7.2388519032e-07 -3.3033370118e-07 -1.5306734330e-07 -9.2464997415e-08 2.0474209230e-05 1.6377019189e-06 -3.6941516287e-06 -1.4984325540e-06 -6.0133598432e-07 -2.6176866642e-07 -1.5558972298e-07 1.7300569580e-05 1.4907192409e-06 -2.9362500449e-06 -1.1702848877e-06 -4.4981740153e-07 -2.4501757749e-07 1.4015554418e-05 1.2481724999e-06 -2.1353580342e-06 -8.2935412016e-07 -3.5320958377e-07 1.0390272277e-05 9.4782521500e-07 -1.2852874108e-06 -4.0379669330e-07 6.9499721305e-06 7.4992440903e-07 -1.3737295098e-07 3.6890205351e-06 7.8460677375e-07 1.0323598741e-06
   3 3.2621562714e-05 1.0211753451e-05 -2.3221559357e-06 -2.7685660409e-06 -1.4254447676e-06 -6.2807838758e-07 -2.7901008450e-07 -1.2766266924e-07 -6.1440184251e-08 -3.9794722167e-08 4.4749015230e-05 3.5019107145e-06 -8.2067351367e-06 -3.2115140232e-06 -1.2451807179e-06 -5.5380240846e-07 -2.5929210368e-07 -1.2260955361e-07 -7.6594633353e-08 4.4126719913e-05 3.2237533652e-06 -8.1740941623e-06 -3.2094404910e-06 -1.2686526050e-06 -5.5672077704e-07 -2.5148949755e-07 -1.5346135723e-07 4.0447536198e-05 3.2096324139e-06 -7.2025419812e-06 -2.8294146898e-06 -1.0917168849e-06 -4.5869990336e-07 -2.7338589636e-07 3.4211192729e-05 2.8905095687e-06 -5.7747942377e-06 -2.2404132245e-06 -8.3289874665e-07 -4.5121606935e-07 2.7735445468e-05 2.4137166691e-06 -4.2171831826e-06 -1.6019772465e-06 -6.7271252594e-07 2.0572079721e-05 1.8325265238e-06 -2.5461992222e-06 -7.8710939241e-07 1.3759479191e-05 1.4541276237e-06 -2.7754542678e-07 7.2943358240e-06 1.5384376893e-06 2.0329031462e-06
   4 5.7795819024e-05 1.8941018280e-05 -2.4960074173e-06 -3.7705445923e-06 -1.9012235825e-06 -7.9164261404e-07 -3.3020022510e-07 -1.3926245070e-07 -5.8662439835e-08 -3.8957261981e-08 7.4248578633e-05 6.7744808063e-06 -1.2429346206e-05 -4.5703568640e-06 -1.6332974734e-06 -6.7469882149e-07 -2.9194480027e-07 -1.2606141178e-07 -8.0764406602e-08 7.2663703831e-05 5.6326608239e-06 -1.2860902800e-05 -4.7856630319e-06 -1.7626328503e-06 -7.2087437634e-07 -3.0635196289e-07 -1.8826067392e-07 6.6576787839e-05 5.3678353777e-06 -1.1531214889e-05 -4.3276491769e-06 -1.5720140457e-06 -6.2478511640e-07 -3.7071437667e-07 5.6367051224e-05 4.7666821876e-06 -9.3322236561e-06 -3.4836241701e-06 -1.2312554035e-06 -6.5574824397e-07 4.5738121305e-05 3.9550622778e-06 -6.8512155626e-06 -2.5151363438e-06 -1.0242361275e-06 3.3942286977e-05 2.9997247223e-06 -4.1383009403e-06 -1.2317708468e-06 2.2711139579e-05 2.3910552962e-06 -4.2372567578e-07 1.2040309677e-05 2.5459465093e-06 3.3628853671e-06
   5 9.1234598363e-05 3.1194711404e-05 -1.8671715808e-06 -4.5587352069e-06 -2.2551568558e-06 -8.7340035217e-07 -3.3693620808e-07 -1.3412053734e-07 -5.1357358010e-08 -3.1566264058e-08 1.1117999063e-04 1.1847023260e-05 -1.6670160593e-05 -5.7103307123e-06 -1.8472793712e-06 -7.0321623929e-07 -2.8542735473e-07 -1.1191099778e-07 -6.8842357682e-08 1.0784713567e-04 9.1255652831e-06 -1.7948402488e-05 -6.2853738197e-06 -2.1385255410e-06 -8.0858472143e-07 -3.1563831547e-07 -1.9379439302e-07 9.8694410118e-05 8.2698005239e-06 -1.6426433072e-05 -5.8498009549e-06 -1.9751407351e-06 -7.2780672549e-07 -4.3204845896e-07 8.3594253060e-05 7.1958779862e-06 -1.3428154780e-05 -4.7794856814e-06 -1.5846243910e-06 -8.3001493988e-07 6.7888937301e-05 5.9311178864e-06 -9.9030486801e-06 -3.4869153472e-06 -1.3671712376e-06 5.0421239580e-05 4.4921391329e-06 -5.9796423771e-06 -1.6904750792e-06 3.3756326945e-05 3.5884044221e-06 -5.3399102664e-07 1.7911218138e-05 3.8293649566e-06 5.0368495125e-06
   6 1.3304971664e-04 4.7311507180e-05 -2.8238848690e-07 -5.1112668439e-06 -2.5155303465e-06 -9.0207395145e-07 -3.1256274448e-07 -1.1438119442e-07 -4.2460398020e-08 -2.5540568837e-08 1.5577108608e-04 1.9148852407e-05 -2.0665776241e-05 -6.5858577713e-06 -1.8974310272e-06 -6.4666753502e-07 -2.4339349237e-07 -9.2579137201e-08 -5.5871766145e-08 1.4958467071e-04 1.3988404008e-05 -2.3128272212e-05 -7.5738892669e-06 -2.3514964661e-06 -8.1745755708e-07 -2.9842960334e-07 -1.8361438298e-07 1.3665917479e-04 1.2124315694e-05 -2.1615145764e-05 -7.2680369625e-06 -2.2693272700e-06 -7.7367378135e-07 -4.5992348289e-07 1.1577606560e-04 1.0310082778e-05 -1.7876590471e-05 -6.0437218401e-06 -1.8654870991e-06 -9.5993821198e-07 9.4075822981e-05 8.4113157766e-06 -1.3246434254e-05 -4.4486860290e-06 -1.6695380985e-06 6.9928868415e-05 6.3677956747e-06 -7.9797406652e-06 -2.1182556833e-06 4.6861789617e-05 5.0923084524e-06 -5.6378098448e-07 2.4901960178e-05 5.4157018981e-06 7.0739457645e-06
   7 1.8303133456e-04 6.7489388834e-05 2.3635642125e-06 -5.4069426352e-06 -2.7022749884e-06 -9.0721193444e-07 -2.7951515399e-07 -8.9674267206e-08 -3.0875375992e-08 -2.0420829490e-08 2.0823669320e-04 2.9083691340e-05 -2.4218573665e-05 -7.2087780162e-06 -1.8427868955e-06 -5.5030680181e-07 -1.8223531849e-07 -6.5711552879e-08 -4.4005731877e-08 1.9786266841e-04 2.0508830892e-05 -2.8179917539e-05 -8.6138899088e-06 -2.4139523884e-06 -7.5478517928e-07 -2.5567893086e-07 -1.6684764495e-07 1.8033791636e-04 1.7116345585e-05 -2.6879140303e-05 -8.4958109224e-06 -2.4292916893e-06 -7.6480490721e-07 -4.6495981514e-07 1.5279534090e-04 1.4258235744e-05 -2.2483724468e-05 -7.1955633085e-06 -2.0643127818e-06 -1.0478656058e-06 1.2422509390e-04 1.1506832311e-05 -1.6753858272e-05 -5.3575975405e-06 -1.9166514538e-06 9.2407590472e-05 8.6887058818e-06 -1.0062019119e-05 -2.4807973336e-06 6.1993659138e-05 6.9501131819e-06 -4.6891745988e-07 3.3016916995e-05 7.3378114831e-06 9.4965664934e-06
   8 2.4073536149e-04 9.1807970455e-05 6.1205139412e-06 -5.4358262037e-06 -2.8213514474e-06 -8.9979666746e-07 -2.4904925346e-07 -6.8701652199e-08 -2.0568791997e-08 -1.5520866329e-08 2.6869394602e-04 4.1958539417e-05 -2.7192605081e-05 -7.5958477916e-06 -1.7240104462e-06 -4.4963249800e-07 -1.2675192242e-07 -3.9621825182e-08 -3.1946938715e-08 2.5270415374e-04 2.8984309560e-05 -3.2912644405e-05 -9.4022186337e-06 -2.3731147714e-06 -6.5699028809e-07 -1.9823143962e-07 -1.4344836169e-07 2.2965796461e-04 2.3443577243e-05 -3.2054002629e-05 -9.5122212622e-06 -2.4724135801e-06 -7.0606811884e-07 -4.4924129900e-07 1.9454059324e-04 1.9167511211e-05 -2.7106445583e-05 -8.1868531025e-06 -2.1688533081e-06 -1.0943764468e-06 1.5824828623e-04 1.5325736861e-05 -2.0296204604e-05 -6.1710122564e-06 -2.1002715517e-06 1.1782445060e-04 1.1543070405e-05 -1.2151048782e-05 -2.7550002242e-06 7.9135409411e-05 9.2114185792e-06 -2.1442391343e-07 4.2257962113e-05 9.6268661331e-06 1.2328957526e-05
   9 3.0555471266e-04 1.2026356542e-04 1.1002291987e-05 -5.2034677066e-06 -2.8795171377e-06 -8.8265509011e-07 -2.2279555759e-07 -5.2936509809e-08 -1.3504027333e-08 -1.1699989682e-08 3.3716730854e-04 5.7970346671e-05 -2.9527440644e-05 -7.7773749861e-06 -1.5663407788e-06 -3.5622738164e-07 -8.4432273652e-08 -2.1632241675e-08 -2.2220138315e-08 3.1410657732e-04 3.9669910247e-05 -3.7179866480e-05 -9.9396923801e-06 -2.2593400354e-06 -5.5375441265e-07 -1.4491750301e-07 -1.1831039299e-07 2.8457370934e-04 3.1319640647e-05 -3.6985499047e-05 -1.0313342245e-05 -2.4339611914e-06 -6.2437518975e-07 -4.1777303840e-07 2.4094683612e-04 2.5179165321e-05 -3.1629973555e-05 -9.0144975356e-06 -2.1946898644e-06 -1.1006173718e-06 1.9606836018e-04 1.9956346771e-05 -2.3787507116e-05 -6.8650258827e-06 -2.2119617000e-06 1.4612725103e-04 1.5010522277e-05 -1.4173416781e-05 -2.9178287384e-06 9.8284686052e-05 1.1937635427e-05 2.3405618983e-07 5.2639287208e-05 1.2312384639e-05 1.5593408832e-05
  10 3.7677331024e-04 1.5278713593e-04 1.7005160144e-05 -4.7209582482e-06 -2.8863290555e-06 -8.5833314088e-07 -2.0000648988e-07 -4.1418422509e-08 -8.7531722299e-09 -9.1741039076e-09 4.1359929529e-04 7.7237002400e-05 -3.1216349508e-05 -7.7964537237e-06 -1.3900076883e-06 -2.7480534521e-07 -5.3405744371e-08 -1.0629952655e-08 -1.5879631840e-08 3.8203168231e-04 5.2759286760e-05 -4.0893213726e-05 -1.0246573572e-05 -2.0934029514e-06 -4.5416549898e-07 -1.0287229926e-07 -9.7161249816e-08 3.4502988386e-04 4.0931822488e-05 -4.1549308907e-05 -1.0894386766e-05 -2.3362058160e-06 -5.3930485351e-07 -3.8143377467e-07 2.9196488665e-04 3.2448505182e-05 -3.5944343044e-05 -9.6767323948e-06 -2.1690111868e-06 -1.0777952184e-06 2.3763917026e-04 2.5504570790e-05 -2.7158166995e-05 -7.4465743767e-06 -2.2546228951e-06 1.7727473557e-04 1.9151148975e-05 -1.6083599661e-05 -2.9551321811e-06 1.1942417311e-04 1.5182637546e-05 9.0856011019e-07 6.4180181655e-05 1.5427999156e-05 1.9313560546e-05
  11 4.5361004747e-04 1.8925284488e-04 2.4114549669e-05 -3.9987939404e-06 -2.8502302229e-06 -8.3001516867e-07 -1.7982513944e-07 -3.3080511366e-08 -5.5519688511e-09 -7.4939301325e-09 4.9784791009e-04 9.9817078916e-05 -3.2276470031e-05 -7.6986616271e-06 -1.2112043177e-06 -2.0656836676e-07 -3.2197563677e-08 -3.7316438489e-09 -1.1895401717e-08 4.5641708622e-04 6.8390773819e-05 -4.4009415983e-05 -1.0357580031e-05 -1.8972356089e-06 -3.6231732838e-07 -7.0746899398e-08 -8.0519770398e-08 4.1095919435e-04 5.2431077716e-05 -4.5664676027e-05 -1.1267144440e-05 -2.1929024886e-06 -4.5716475357e-07 -3.4576405616e-07 3.4753685627e-04 4.1110678112e-05 -3.9957405738e-05 -1.0172308252e-05 -2.1043010008e-06 -1.0368232249e-06 2.8292542925e-04 3.2080201235e-05 -3.0335229811e-05 -7.9196438277e-06 -2.2383403385e-06 2.1125106392e-04 2.4040073219e-05 -1.7850440586e-05 -2.8654649480e-06 1.4253973408e-04 1.8985255903e-05 1.8283916764e-06 7.6890950586e-05 1.9001858387e-05 2.3513637886e-05
