# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.4814570463e-05 4.4384579718e-06 -1.5497252476e-06 -1.6109331745e-06 -8.4142875379e-07 -3.8572430935e-07 -1.7911484683e-07 -8.4680805704e-08 -3.8997872741e-08 -2.1073360679e-08 2.2147451550e-05 1.5091176286e-06 -4.3533344815e-06 -1.7910741592e-06 -7.4152962028e-07 -3.4837848001e-07 -1.6891963428e-07 -7.9782235070e-08 -4.7569590970e-08 2.2023086819e-05 1.5454827564e-06 -4.2065668845e-06 -1.7197474525e-06 -7.1444867895e-07 -3.2639733892e-07 -1.5141303888e-07 -9.1450051447e-08 2.0207796957e-05 1.5952749618e-06 -3.6527503545e-06 -1.4795296142e-06 -5.9408053360e-07 -2.5888514985e-07 -1.5392054860e-07 1.7097608443e-05 1.4581121579e-06 -2.9059297473e-06 -1.1567338060e-06 -4.4481258199e-07 -2.4247940703e-07 1.3865543443e-05 1.2250738287e-06 -2.1148938987e-06 -8.2064867000e-07 -3.4980837063e-07 1.0288342990e-05 9.3326210799e-07 -1.2740987341e-06 -4.0044587075e-07 6.8878141818e-06 7.4111445920e-07 -1.3707198056e-07 3.6595238484e-06 7.7780490200e-07 1.0252789240e-06
   3 3.1719384626e-05 9.9348457147e-06 -2.3180671282e-06 -2.7379429179e-06 -1.4092224075e-06 -6.2152840986e-07 -2.7658140704e-07 -1.2683337895e-07 -6.1164772692e-08 -3.9665088203e-08 4.3919869432e-05 3.3587551615e-06 -8.1111748156e-06 -3.1708200982e-06 -1.2311548275e-06 -5.4874446053e-07 -2.5744209679e-07 -1.2203699717e-07 -7.6267761158e-08 4.3456675324e-05 3.1108061694e-06 -8.0838113826e-06 -3.1707824147e-06 -1.2549942956e-06 -5.5192227383e-07 -2.4981029277e-07 -1.5257376166e-07 3.9913028977e-05 3.1181814443e-06 -7.1280052207e-06 -2.7975907535e-06 -1.0807231372e-06 -4.5509378140e-07 -2.7145020878e-07 3.3805546419e-05 2.8216087148e-06 -5.7192734773e-06 -2.2172396762e-06 -8.2539853829e-07 -4.4772453054e-07 2.7436433163e-05 2.3654347405e-06 -4.1797690067e-06 -1.5871327500e-06 -6.6757270318e-07 2.0368810926e-05 1.8019842669e-06 -2.5260127649e-06 -7.8197635128e-07 1.3635487312e-05 1.4355200208e-06 -2.7816563583e-07 7.2352404921e-06 1.5241634339e-06 2.0182526194e-06
   4 5.6178993258e-05 1.8412827883e-05 -2.5227518180e-06 -3.7369256263e-06 -1.8830702032e-06 -7.8512609158e-07 -3.2827965090e-07 -1.3888928243e-07 -5.8683947281e-08 -3.8971478187e-08 7.2821781920e-05 6.4924309648e-06 -1.2302702203e-05 -4.5200013970e-06 -1.6184968213e-06 -6.7041296157e-07 -2.9094135622e-07 -1.2612249625e-07 -8.0742886136e-08 7.1533179249e-05 5.4210983591e-06 -1.2732903758e-05 -4.7348029588e-06 -1.7472795018e-06 -7.1667322856e-07 -3.0547608912e-07 -1.8779297661e-07 6.5683332888e-05 5.2027991517e-06 -1.1422203532e-05 -4.2845129984e-06 -1.5594207726e-06 -6.2146791649e-07 -3.6908132320e-07 5.5691459907e-05 4.6445290370e-06 -9.2501060584e-06 -3.4517358142e-06 -1.2223704347e-06 -6.5207563899e-07 4.5240776529e-05 3.8701251202e-06 -6.7953715222e-06 -2.4947933891e-06 -1.0182256355e-06 3.3604707782e-05 2.9458889020e-06 -4.1088449273e-06 -1.2258782828e-06 2.2504906930e-05 2.3580332618e-06 -4.2704155710e-07 1.1941537430e-05 2.5207234037e-06 3.3373970570e-06
   5 8.8703750033e-05 3.0318686368e-05 -1.9482209276e-06 -4.5275966405e-06 -2.2368626171e-06 -8.6754239825e-07 -3.3565231853e-07 -1.3422003773e-07 -5.1612597940e-08 -3.1687624290e-08 1.0898112623e-04 1.1363442629e-05 -1.6523007767e-05 -5.6552775986e-06 -1.8343815604e-06 -7.0075281883e-07 -2.8528890504e-07 -1.1248255762e-07 -6.9123084353e-08 1.0613318626e-04 8.7726244692e-06 -1.7789935184e-05 -6.2272023024e-06 -2.1240167559e-06 -8.0603022804e-07 -3.1580371961e-07 -1.9392843029e-07 9.7349574449e-05 8.0013799881e-06 -1.6286478283e-05 -5.7989813431e-06 -1.9628773942e-06 -7.2599746635e-07 -4.3116227063e-07 8.2581151214e-05 6.9998617874e-06 -1.3320906156e-05 -4.7417620684e-06 -1.5761068300e-06 -8.2698023234e-07 6.7144812556e-05 5.7952270515e-06 -9.8303163935e-06 -3.4627249966e-06 -1.3615244731e-06 4.9915798659e-05 4.4059492276e-06 -5.9422143660e-06 -1.6855353255e-06 3.3447324429e-05 3.5351678336e-06 -5.4256381184e-07 1.7762288686e-05 3.7891746804e-06 4.9968480883e-06
   6 1.2943329753e-04 4.5989993373e-05 -4.4362899817e-07 -5.0880471053e-06 -2.4983316992e-06 -8.9711759964e-07 -3.1166825072e-07 -1.1461994140e-07 -4.2890466708e-08 -2.5718432566e-08 1.5262223829e-04 1.8394236827e-05 -2.0511752409e-05 -6.5299739263e-06 -1.8869949151e-06 -6.4611800444e-07 -2.4400036977e-07 -9.3345623267e-08 -5.6312963601e-08 1.4716193371e-04 1.3446149431e-05 -2.2949076878e-05 -7.5136016069e-06 -2.3397687274e-06 -8.1696379254e-07 -2.9943589240e-07 -1.8428492551e-07 1.3477128182e-04 1.1717835881e-05 -2.1451306812e-05 -7.2139713328e-06 -2.2593751318e-06 -7.7352721632e-07 -4.6005303710e-07 1.1435797236e-04 1.0016109219e-05 -1.7749382391e-05 -6.0029333821e-06 -1.8588151360e-06 -9.5829386255e-07 9.3035581103e-05 8.2086664769e-06 -1.3160135820e-05 -4.4232429152e-06 -1.6656392832e-06 6.9222310065e-05 6.2380817455e-06 -7.9371568266e-06 -2.1164624214e-06 4.6428864408e-05 5.0118596580e-06 -5.8098536964e-07 2.4691840528e-05 5.3556980319e-06 7.0152017510e-06
   7 1.7819378538e-04 6.5629720596e-05 2.0956588242e-06 -5.3972836310e-06 -2.6868920983e-06 -9.0328671253e-07 -2.7907951174e-07 -8.9756163256e-08 -3.1273921873e-08 -2.0595437597e-08 2.0396317050e-04 2.7984775276e-05 -2.4072032731e-05 -7.1556150406e-06 -1.8350396636e-06 -5.5079551479e-07 -1.8321006895e-07 -6.6348066966e-08 -4.4457166233e-08 1.9460555098e-04 1.9723617612e-05 -2.7992346003e-05 -8.5548893045e-06 -2.4059857807e-06 -7.5604784107e-07 -2.5727479754e-07 -1.6775379795e-07 1.7781475029e-04 1.6534700470e-05 -2.6701209185e-05 -8.4423703690e-06 -2.4228227556e-06 -7.6642258796e-07 -4.6592513589e-07 1.5090443924e-04 1.3839752325e-05 -2.2343473586e-05 -7.1555652646e-06 -2.0600718046e-06 -1.0479797271e-06 1.2283995961e-04 1.1218034713e-05 -1.6658689594e-05 -5.3329101268e-06 -1.9157552415e-06 9.1466632644e-05 8.5034928994e-06 -1.0018121614e-05 -2.4845746962e-06 6.1415419609e-05 6.8342249834e-06 -4.9863247613e-07 3.2733983380e-05 7.2525473954e-06 9.4142685890e-06
   8 2.3458113207e-04 8.9325137585e-05 5.7212358925e-06 -5.4457864563e-06 -2.8082813760e-06 -8.9662787585e-07 -2.4913631517e-07 -6.8836154251e-08 -2.0689249636e-08 -1.5659496343e-08 2.6313118956e-04 4.0441826800e-05 -2.7067959955e-05 -7.5471084391e-06 -1.7188020238e-06 -4.5115719768e-07 -1.2751766740e-07 -4.0064786295e-08 -3.2290464998e-08 2.4848893370e-04 2.7900506135e-05 -3.2730490653e-05 -9.3483822768e-06 -2.3681780792e-06 -6.5986230963e-07 -1.9984677406e-07 -1.4438709984e-07 2.2640739592e-04 2.2644984536e-05 -3.1871744092e-05 -9.4634283891e-06 -2.4694494948e-06 -7.0920887690e-07 -4.5078471764e-07 1.9211099354e-04 1.8594454641e-05 -2.6961035813e-05 -8.1504150791e-06 -2.1678839445e-06 -1.0962302489e-06 1.5647002242e-04 1.4930607017e-05 -2.0198862470e-05 -6.1492133816e-06 -2.1031873335e-06 1.1661474181e-04 1.1288175773e-05 -1.2109676699e-05 -2.7666161420e-06 7.8390711736e-05 9.0511820484e-06 -2.6086657651e-07 4.1890164200e-05 9.5104069924e-06 1.2217943446e-05
   9 2.9802964716e-04 1.1708087286e-04 1.0450103474e-05 -5.2388810883e-06 -2.8696792375e-06 -8.7990566870e-07 -2.2304909854e-07 -5.3324446012e-08 -1.3426766858e-08 -1.1794224239e-08 3.3016509678e-04 5.5966220194e-05 -2.9438629570e-05 -7.7346390950e-06 -1.5622593955e-06 -3.5827295761e-07 -8.5576844609e-08 -2.1577827215e-08 -2.2417458257e-08 3.0881309752e-04 3.8230908575e-05 -3.7015811695e-05 -9.8933426145e-06 -2.2579645245e-06 -5.5690600972e-07 -1.4672586731e-07 -1.1912734758e-07 2.8050635844e-04 3.0260973662e-05 -3.6811612220e-05 -1.0270753921e-05 -2.4350857385e-06 -6.2830465560e-07 -4.1977047520e-07 2.3791093079e-04 2.4421476934e-05 -3.1489330314e-05 -8.9837405663e-06 -2.1968617563e-06 -1.1043176335e-06 1.9384771056e-04 1.9432800973e-05 -2.3694128638e-05 -6.8483107748e-06 -2.2194244168e-06 1.4461581357e-04 1.4670471745e-05 -1.4139752455e-05 -2.9393702039e-06 9.7350901788e-05 1.1723519249e-05 1.6669953101e-07 5.2174365054e-05 1.2158453663e-05 1.5448208060e-05
  10 3.6786386565e-04 1.4883745085e-04 1.6281074058e-05 -4.7863378755e-06 -2.8810559687e-06 -8.5590183357e-07 -2.0016124654e-07 -4.1802375710e-08 -8.7967725111e-09 -9.2225623112e-09 4.0502339028e-04 7.4681398238e-05 -3.1174388750e-05 -7.7617150777e-06 -1.3866124249e-06 -2.7601183014e-07 -5.4915069147e-08 -1.0489371622e-08 -1.5971100877e-08 3.7554809043e-04 5.0907941426e-05 -4.0759653070e-05 -1.0208404398e-05 -2.0945616144e-06 -4.5788949782e-07 -1.0442785939e-07 -9.7835032776e-08 3.4005899919e-04 3.9569922227e-05 -4.1394721123e-05 -1.0861226899e-05 -2.3398525026e-06 -5.4409745349e-07 -3.8373523711e-07 2.8825818070e-04 3.1471847608e-05 -3.5816377977e-05 -9.6542569662e-06 -2.1738964824e-06 -1.0833865085e-06 2.3492991456e-04 2.4828194716e-05 -2.7075744242e-05 -7.4358792131e-06 -2.2674423143e-06 1.7542778044e-04 1.8710399228e-05 -1.6062582126e-05 -2.9888825884e-06 1.1827925287e-04 1.4903493393e-05 8.1582730051e-07 6.3605254169e-05 1.5230143240e-05 1.9128478225e-05
  11 4.4334052483e-04 1.8448114797e-04 2.3200587380e-05 -4.0970354868e-06 -2.8507069124e-06 -8.2794386638e-07 -1.7994451066e-07 -3.3255628832e-08 -5.7660093750e-09 -7.5105374075e-09 4.8758158278e-04 9.6651625972e-05 -3.2289859897e-05 -7.6720713389e-06 -1.2094003230e-06 -2.0656444665e-07 -3.3193520458e-08 -4.0232321053e-09 -1.1900790400e-08 4.4864064687e-04 6.6074190650e-05 -4.3918689269e-05 -1.0328702049e-05 -1.8993254056e-06 -3.6596603211e-07 -7.2182851950e-08 -8.1133625747e-08 4.0500102451e-04 5.0721756849e-05 -4.5539141271e-05 -1.1244000398e-05 -2.1992868292e-06 -4.6191924066e-07 -3.4837740846e-07 3.4309755806e-04 3.9882455341e-05 -3.9852714974e-05 -1.0158061533e-05 -2.1119129373e-06 -1.0442400184e-06 2.7967907358e-04 3.1228149990e-05 -3.0271265944e-05 -7.9160492016e-06 -2.2569838475e-06 2.0903467246e-04 2.3481386669e-05 -1.7846382661e-05 -2.9135200909e-06 1.4116178745e-04 1.8630389151e-05 1.7055825376e-06 7.6192341477e-05 1.8753067711e-05 2.3282733574e-05
