# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.7056573664e-05 5.7530820842e-06 -4.1356303610e-07 -3.7180321632e-07 5.2017820106e-07 1.0699317700e-06 1.3498017562e-06 1.5069171516e-06 1.6110954819e-06 1.6823432995e-06 2.3637337862e-05 2.0608007283e-06 -4.0378469317e-06 -1.3112660796e-06 -1.6228155436e-07 2.9470674444e-07 5.2491407040e-07 6.6025191987e-07 7.3399893047e-07 2.3349921017e-05 2.0255683538e-06 -3.9671050273e-06 -1.3458382699e-06 -2.6076137825e-07 1.7910546346e-07 3.9691576668e-07 4.9338192146e-07 2.1389732435e-05 2.0527113429e-06 -3.4096031534e-06 -1.1269373018e-06 -1.7525551669e-07 2.0445590448e-07 3.4369895948e-07 1.8119688172e-05 1.8988312934e-06 -2.6340159902e-06 -7.9778516172e-07 -3.1172162117e-08 2.0626490724e-07 1.4745599031e-05 1.6529731696e-06 -1.8069649033e-06 -4.4504711333e-07 6.8244251766e-08 1.1028661502e-05 1.3510644060e-06 -9.2551370690e-07 2.9195080976e-10 7.5059584782e-06 1.1576985755e-06 2.6505948092e-07 4.1728722791e-06 1.2083432272e-06 1.4691515564e-06
   3 3.6734271359e-05 1.2961168507e-05 4.0691245756e-07 2.3850198469e-07 1.8458020780e-06 2.8492734764e-06 3.3657365751e-06 3.6646580632e-06 3.8702676958e-06 4.0176428676e-06 4.6994142172e-05 4.5998055568e-06 -7.2852272010e-06 -1.9834376952e-06 1.8381449710e-07 1.0211021329e-06 1.4392376476e-06 1.6905988187e-06 1.8397385136e-06 4.6134676405e-05 4.1347674698e-06 -7.4949372087e-06 -2.2836925211e-06 -1.8332879415e-07 6.4634927141e-07 1.0555385243e-06 1.2455835035e-06 4.2288304331e-05 4.0767590860e-06 -6.5618056589e-06 -1.9880496877e-06 -1.1771415688e-07 6.1773159772e-07 8.8942341424e-07 3.5864915178e-05 3.7423949108e-06 -5.1084010520e-06 -1.4110061386e-06 1.1071604815e-07 5.7755276492e-07 2.9218015963e-05 3.2618409174e-06 -3.4995617614e-06 -7.5113593792e-07 2.7157720618e-07 2.1880612987e-05 2.6854119639e-06 -1.7601960839e-06 1.0584293469e-07 1.4915115563e-05 2.3263502156e-06 6.0113457725e-07 8.3181329542e-06 2.4544341771e-06 2.9793383393e-06
   4 6.5147210485e-05 2.3953200558e-05 2.5763069140e-06 1.8370916783e-06 4.1991865257e-06 5.6925753788e-06 6.4660147846e-06 6.9327887080e-06 7.2757082847e-06 7.5335099473e-06 7.8081978353e-05 8.7770499297e-06 -1.0622978770e-05 -2.1981865025e-06 1.1149704418e-06 2.3521614741e-06 2.9745498875e-06 3.3654157559e-06 3.6132671549e-06 7.6035932953e-05 7.2402170684e-06 -1.1570535196e-05 -3.0415111150e-06 2.8343054393e-07 1.5556447260e-06 2.1766841607e-06 2.4766391471e-06 6.9658828840e-05 6.8728031424e-06 -1.0349912798e-05 -2.7736036230e-06 2.3728375362e-07 1.3873277019e-06 1.8125981383e-06 5.9140824557e-05 6.2397603306e-06 -8.1243727723e-06 -1.9696937524e-06 5.0394699370e-07 1.2484956183e-06 4.8237265290e-05 5.4253702081e-06 -5.5625170331e-06 -9.7352644809e-07 7.0061620731e-07 3.6164029727e-05 4.4850570196e-06 -2.7325514603e-06 3.8022685220e-07 2.4692371943e-05 3.9215835748e-06 1.1457428796e-06 1.3821282294e-05 4.1676935046e-06 5.0411533677e-06
   5 1.0276511394e-04 3.9194218448e-05 6.3215475296e-06 4.5103308085e-06 7.6135145656e-06 9.6218695718e-06 1.0669355587e-05 1.1324074347e-05 1.1836468136e-05 1.2248405673e-05 1.1706125608e-04 1.5088050087e-05 -1.3602045447e-05 -1.7278973336e-06 2.7523934347e-06 4.3600436343e-06 5.1781693164e-06 5.7290320430e-06 6.1154620279e-06 1.1293108155e-04 1.1660408930e-05 -1.5790817853e-05 -3.3937663299e-06 1.2478977112e-06 2.9622939724e-06 3.8045067794e-06 4.2378471951e-06 1.0333136287e-04 1.0614055511e-05 -1.4492860045e-05 -3.3123511577e-06 9.8436541946e-07 2.5758709509e-06 3.1660000970e-06 8.7774452296e-05 9.4778863823e-06 -1.1484305022e-05 -2.3336709146e-06 1.2338671775e-06 2.2782729760e-06 7.1666512432e-05 8.2078307188e-06 -7.8468161482e-06 -1.0093967953e-06 1.4208328366e-06 5.3798573032e-05 6.8004461426e-06 -3.7458380513e-06 8.8928851479e-07 3.6791576237e-05 5.9780794149e-06 1.9529283997e-06 2.0668856586e-05 6.3779755154e-06 7.6776753737e-06
   6 1.4960899542e-04 5.8983482114e-05 1.1757201211e-05 8.2414300497e-06 1.2019543849e-05 1.4566645773e-05 1.5922582368e-05 1.6800058705e-05 1.7517909974e-05 1.8124243613e-05 1.6416934730e-04 2.3986082069e-05 -1.5935319279e-05 -5.0931143263e-07 5.1035376528e-06 7.0610951820e-06 8.0789325959e-06 8.8090537071e-06 9.3733050999e-06 1.5672356346e-04 1.7685912105e-05 -1.9839276974e-05 -3.1956700221e-06 2.7715868628e-06 4.8927179126e-06 5.9479866925e-06 6.5440899466e-06 1.4314452900e-04 1.5504187836e-05 -1.8710261361e-05 -3.4634274826e-06 2.1714675250e-06 4.1937352238e-06 4.9641442263e-06 1.2163319555e-04 1.3588279010e-05 -1.4992871497e-05 -2.4088176328e-06 2.3357445571e-06 3.6915537992e-06 9.9385322282e-05 1.1678685055e-05 -1.0223047327e-05 -7.8660818291e-07 2.4717179455e-06 7.4694936516e-05 9.6848636226e-06 -4.7082124705e-06 1.6835190991e-06 5.1170909933e-05 8.5392587984e-06 3.0694619010e-06 2.8850817596e-05 9.1098745217e-06 1.0904533606e-05
   7 2.0536372170e-04 8.3464546249e-05 1.8929775410e-05 1.2992984549e-05 1.7339565825e-05 2.0437475805e-05 2.2142159792e-05 2.3288802383e-05 2.4259139962e-05 2.5101103146e-05 2.1961696851e-04 3.5887845938e-05 -1.7408735542e-05 1.4607558618e-06 8.1238119811e-06 1.0423879506e-05 1.1675951886e-05 1.2628795775e-05 1.3411369042e-05 2.0740158785e-04 2.5619179473e-05 -2.3480071202e-05 -2.4018761749e-06 4.8489864967e-06 7.3507691407e-06 8.6252189835e-06 9.4107999253e-06 1.8896010205e-04 2.1728812990e-05 -2.2782035658e-05 -3.1388934445e-06 3.8303855167e-06 6.2524573089e-06 7.2130155024e-06 1.6058298581e-04 1.8711679198e-05 -1.8456324735e-05 -2.1093563740e-06 3.8288070832e-06 5.4951640418e-06 1.3130372030e-04 1.5944753961e-05 -1.2559057431e-05 -2.5746341379e-07 3.8716553496e-06 9.8788212655e-05 1.3199582985e-05 -5.5425516067e-06 2.7979530599e-06 6.7789244542e-05 1.1648465308e-05 4.5386482601e-06 3.8364632351e-05 1.2393814279e-05 1.4740736062e-05
   8 2.6947174993e-04 1.1265387811e-04 2.7819764240e-05 1.8699586207e-05 2.3492621994e-05 2.7147617448e-05 2.9238779212e-05 3.0702472213e-05 3.1974257430e-05 3.3096523664e-05 2.8351054450e-04 5.1099366764e-05 -1.7886458819e-05 4.1665903359e-06 1.1777016371e-05 1.4419717279e-05 1.5951034783e-05 1.7186177966e-05 1.8239502361e-05 2.6498017417e-04 3.5764852823e-05 -2.6511965993e-05 -9.9981047990e-07 7.4406945077e-06 1.0307013925e-05 1.1833720297e-05 1.2851592879e-05 2.4070208752e-04 2.9494271593e-05 -2.6535272080e-05 -2.3152602671e-06 5.9446348442e-06 8.7509899106e-06 9.9214243266e-06 2.0450704583e-04 2.4974180564e-05 -2.1733473502e-05 -1.3907366792e-06 5.7257867716e-06 7.6956253908e-06 1.6731877137e-04 2.1104162343e-05 -1.4731525933e-05 6.2075376609e-07 5.6319913502e-06 1.2602852140e-04 1.7425579949e-05 -6.1740072921e-06 4.2552952617e-06 8.6622030178e-05 1.5351530073e-05 6.3923571588e-06 4.9205558453e-05 1.6255594973e-05 1.9205406681e-05
   9 3.4121097406e-04 1.4647917467e-04 3.8368521477e-05 2.5274572525e-05 3.0385987815e-05 3.4608143964e-05 3.7121274856e-05 3.8948267443e-05 4.0567553865e-05 4.2013127349e-05 3.5586219815e-04 6.9810485744e-05 -1.7317149924e-05 7.5673272352e-06 1.6030111334e-05 1.9031473127e-05 2.0893028387e-05 2.2470019028e-05 2.3850528323e-05 3.2944556549e-04 4.8375980110e-05 -2.8789029461e-05 1.0092508024e-06 1.0519383530e-05 1.3736688086e-05 1.5559224888e-05 1.6866457796e-05 2.9831420609e-04 3.9015676240e-05 -2.9810417298e-05 -9.8452059445e-07 8.4820481366e-06 1.1664981548e-05 1.3088361322e-05 2.5333497992e-04 3.2520928765e-05 -2.4705779776e-05 -2.5021273219e-07 8.0088723626e-06 1.0293087463e-05 2.0734815412e-04 2.7243019020e-05 -1.6658251686e-05 1.8652483931e-06 7.7600452571e-06 1.5635177324e-04 2.2431082114e-05 -6.5370552450e-06 6.0752112148e-06 1.0765150329e-04 1.9701287776e-05 8.6602498814e-06 6.1378799321e-05 2.0718529495e-05 2.4313953892e-05
  10 4.1975441688e-04 1.8480111271e-04 5.0498030505e-05 3.2626547749e-05 3.7921228918e-05 4.2724925162e-05 4.5696874459e-05 4.7928938693e-05 4.9939777224e-05 5.1747471224e-05 4.3659405121e-04 9.2131654087e-05 -1.5708365155e-05 1.1604165111e-05 2.0847361524e-05 2.4239774800e-05 2.6489039855e-05 2.8467168546e-05 3.0228296600e-05 4.0074725615e-04 6.3642408190e-05 -3.0228530355e-05 3.5974286135e-06 1.4059171636e-05 1.7628551641e-05 1.9794220350e-05 2.1449002010e-05 3.6172937563e-04 5.0475543155e-05 -3.2486072161e-05 8.5547603355e-07 1.1420551081e-05 1.4976376994e-05 1.6704301297e-05 3.0700626591e-04 4.1504989353e-05 -2.7262174963e-05 1.3140242202e-06 1.0651274558e-05 1.3275777834e-05 2.5133936692e-04 3.4467409961e-05 -1.8269263858e-05 3.4670828352e-06 1.0249686551e-05 1.8971137008e-04 2.8273506405e-05 -6.5928404284e-06 8.2659217264e-06 1.3084879001e-04 2.4740380097e-05 1.1365985487e-05 7.4890578778e-05 2.5807264310e-05 3.0081701233e-05
  11 5.0421800692e-04 2.2742574795e-04 6.4119296064e-05 4.0666062718e-05 4.6004270848e-05 5.1401749282e-05 5.4872390395e-05 5.7546544514e-05 5.9989572886e-05 6.2194695054e-05 5.2553537189e-04 1.1810901780e-04 -1.3092312018e-05 1.6211074646e-05 2.6191912453e-05 3.0022527075e-05 3.2718197591e-05 3.5157012954e-05 3.7349542822e-05 4.7881138657e-04 8.1697901471e-05 -3.0795189622e-05 6.7210910698e-06 1.8028930265e-05 2.1970630052e-05 2.4533391570e-05 2.6592334704e-05 4.3086817659e-04 6.4021351543e-05 -3.4488120404e-05 3.1856114053e-06 1.4740854268e-05 1.8676201735e-05 2.0761876067e-05 3.6545037991e-04 5.2055553011e-05 -2.9315628831e-05 3.2989857777e-06 1.3638013052e-05 1.6631666859e-05 2.9924553167e-04 4.2883089355e-05 -1.9494245224e-05 5.4201271613e-06 1.3088456502e-05 2.2608453490e-04 3.5025121224e-05 -6.3114098259e-06 1.0824556241e-05 1.5619522098e-04 3.0501831933e-05 1.4521432288e-05 8.9740503803e-05 3.1539413278e-05 3.6522475183e-05
