# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.6733431865e-05 5.6545050840e-06 -4.0317166231e-07 -3.5717260016e-07 5.2368610567e-07 1.0661674246e-06 1.3422249365e-06 1.4973311443e-06 1.6005857670e-06 1.6714717985e-06 2.3272754901e-05 2.0192765700e-06 -3.9781931294e-06 -1.2869749248e-06 -1.5403503927e-07 2.9705572896e-07 5.2460969873e-07 6.5839893964e-07 7.3116452890e-07 2.3023530685e-05 1.9888653719e-06 -3.9103185923e-06 -1.3212827057e-06 -2.5068186367e-07 1.8357285593e-07 3.9854817974e-07 4.9375619036e-07 2.1109954291e-05 2.0207792320e-06 -3.3606084064e-06 -1.1051960323e-06 -1.6611627839e-07 2.0864763455e-07 3.4628395237e-07 1.7895787928e-05 1.8738544627e-06 -2.5955183193e-06 -7.8080464939e-07 -2.3869125406e-08 2.1082512702e-07 1.4572293647e-05 1.6346288224e-06 -1.7791899959e-06 -4.3262153624e-07 7.4565730179e-08 1.0905450617e-05 1.3393702316e-06 -9.0816905644e-07 7.2897889348e-09 7.4276778386e-06 1.1506496632e-06 2.6885027397e-07 4.1345232360e-06 1.2021670449e-06 1.4611841118e-06
   3 3.6023545843e-05 1.2732981965e-05 4.0813112251e-07 2.5473186316e-07 1.8447265896e-06 2.8372984553e-06 3.3480999838e-06 3.6432979756e-06 3.8463103302e-06 3.9928869065e-06 4.6250183872e-05 4.4986426833e-06 -7.1815075830e-06 -1.9440341237e-06 1.9471903288e-07 1.0213622784e-06 1.4343890131e-06 1.6830852743e-06 1.8310972819e-06 4.5482124821e-05 4.0560100335e-06 -7.3895669007e-06 -2.2413361717e-06 -1.6863787942e-07 6.5111828377e-07 1.0561230188e-06 1.2443434605e-06 4.1732661192e-05 4.0101619439e-06 -6.4701428353e-06 -1.9498320502e-06 -1.0282067445e-07 6.2426535819e-07 8.9294304362e-07 3.5419494126e-05 3.6907135836e-06 -5.0348989714e-06 -1.3793423620e-06 1.2381590248e-07 5.8523934809e-07 2.8874149609e-05 3.2256298682e-06 -3.4451041250e-06 -7.2757259900e-07 2.8315026320e-07 2.1637385008e-05 2.6627895633e-06 -1.7262723919e-06 1.1926939002e-07 1.4760554419e-05 2.3126855398e-06 6.0879311974e-07 8.2427830798e-06 2.4427398493e-06 2.9641084023e-06
   4 6.3883695762e-05 2.3528406199e-05 2.5545289142e-06 1.8497961941e-06 4.1872239723e-06 5.6655187774e-06 6.4326996169e-06 6.8958928451e-06 7.2353059130e-06 7.4905382861e-06 7.6824467671e-05 8.5798636662e-06 -1.0478220509e-05 -2.1507387840e-06 1.1224132655e-06 2.3468866992e-06 2.9632367494e-06 3.3497202393e-06 3.5947724983e-06 7.4946049508e-05 7.0935141419e-06 -1.1412564758e-05 -2.9816000143e-06 3.0201295114e-07 1.5594798515e-06 2.1737763524e-06 2.4712198459e-06 6.8737512034e-05 6.7566615993e-06 -1.0206731612e-05 -2.7172532938e-06 2.5651126985e-07 1.3939505936e-06 1.8156881687e-06 5.8405240946e-05 6.1513023715e-06 -8.0093118286e-06 -1.9233375923e-06 5.2181234020e-07 1.2588844317e-06 4.7668433348e-05 5.3626167289e-06 -5.4768263885e-06 -9.3743132419e-07 7.1786815740e-07 3.5761561324e-05 4.4470073857e-06 -2.6779144014e-06 4.0109464196e-07 2.4437970575e-05 3.8993770932e-06 1.1577795641e-06 1.3697527099e-05 4.1485726686e-06 5.0164249614e-06
   5 1.0078846627e-04 3.8496164832e-05 6.2581945329e-06 4.5164750417e-06 7.5898638339e-06 9.5771223741e-06 1.0616060448e-05 1.1266923117e-05 1.1776352522e-05 1.2184842699e-05 1.1514694838e-04 1.4752485923e-05 -1.3418945581e-05 -1.6767908789e-06 2.7498581578e-06 4.3420168741e-06 5.1546159594e-06 5.7020596976e-06 6.0842341880e-06 1.1129798415e-04 1.1417926542e-05 -1.5582615457e-05 -3.3228918311e-06 1.2649091576e-06 2.9627139528e-06 3.7975890521e-06 4.2265970455e-06 1.0195417360e-04 1.0425916724e-05 -1.4297405595e-05 -3.2393620886e-06 1.0076493688e-06 2.5826319076e-06 3.1673648882e-06 8.6677688059e-05 9.3393731244e-06 -1.1322318065e-05 -2.2711393835e-06 1.2558226123e-06 2.2902907509e-06 7.0821232180e-05 8.1114297292e-06 -7.7260405370e-06 -9.6134537560e-07 1.4430372203e-06 5.3199917438e-05 6.7404905814e-06 -3.6691814022e-06 9.1752903692e-07 3.6412462771e-05 5.9435142707e-06 1.9692288553e-06 2.0485490887e-05 6.3492751590e-06 7.6409602933e-06
   6 1.4677569216e-04 5.7934593867e-05 1.1630518237e-05 8.2349857691e-06 1.1984168947e-05 1.4505631682e-05 1.5849781250e-05 1.6721561156e-05 1.7435658569e-05 1.8038501052e-05 1.6144820040e-04 2.3456827745e-05 -1.5723475119e-05 -4.5716911919e-07 5.0905338825e-06 7.0281377223e-06 8.0379991679e-06 8.7646023324e-06 9.3250694002e-06 1.5443735919e-04 1.7316433959e-05 -1.9581470162e-05 -3.1165590803e-06 2.7825636239e-06 4.8842728821e-06 5.9327359869e-06 6.5249749629e-06 1.4122781269e-04 1.5222540390e-05 -1.8464320684e-05 -3.3794962446e-06 2.1939674931e-06 4.1986940748e-06 4.9632255631e-06 1.2010635434e-04 1.3381319394e-05 -1.4785682729e-05 -2.3325231656e-06 2.3620318039e-06 3.7053018895e-06 9.8208922324e-05 1.1536756577e-05 -1.0064671204e-05 -7.2542222512e-07 2.4988027385e-06 7.3863978830e-05 9.5979810282e-06 -4.6079246469e-06 1.7184433696e-06 5.0644196436e-05 8.4878321389e-06 3.0885047033e-06 2.8594893326e-05 9.0683614671e-06 1.0852924908e-05
   7 2.0155254846e-04 8.1990599984e-05 1.8720935369e-05 1.2968428301e-05 1.7290868103e-05 2.0361712775e-05 2.2051860379e-05 2.3191153087e-05 2.4155796211e-05 2.4993448741e-05 2.1594423026e-04 3.5105015866e-05 -1.7183620511e-05 1.5068062712e-06 8.0979860081e-06 1.0376012049e-05 1.1616957144e-05 1.2563385287e-05 1.3341430674e-05 2.0434760249e-04 2.5080987561e-05 -2.3180321478e-05 -2.3161084163e-06 4.8546088732e-06 7.3328018700e-06 8.5980064040e-06 9.3798493449e-06 1.8641645372e-04 2.1329346546e-05 -2.2485875344e-05 -3.0452080356e-06 3.8495929946e-06 6.2515204121e-06 7.2070499859e-06 1.5856200547e-04 1.8420349666e-05 -1.8205249314e-05 -2.0234859589e-06 3.8554791562e-06 5.5093324394e-06 1.2974537861e-04 1.5743254526e-05 -1.2366191770e-05 -1.8510052938e-07 3.9035428404e-06 9.7685603580e-05 1.3076112984e-05 -5.4181992478e-06 2.8396579699e-06 6.7091815755e-05 1.1576193280e-05 4.5593728579e-06 3.8024855008e-05 1.2335639143e-05 1.4670473934e-05
   8 2.6458638255e-04 1.1068453093e-04 2.7512368960e-05 1.8655661789e-05 2.3430323513e-05 2.7058695605e-05 2.9133724983e-05 3.0588369886e-05 3.1853055259e-05 3.2969591921e-05 2.7874792195e-04 5.0005194047e-05 -1.7661744581e-05 4.1997199520e-06 1.1734020926e-05 1.4354253127e-05 1.5872787150e-05 1.7098475611e-05 1.8144964305e-05 2.6104786080e-04 3.5012159741e-05 -2.6183263108e-05 -9.1388815840e-07 7.4395163601e-06 1.0280296212e-05 1.1794456298e-05 1.2806141824e-05 2.3744145841e-04 2.8943778853e-05 -2.6195340334e-05 -2.2130313399e-06 5.9618063293e-06 8.7443270834e-06 9.9078099373e-06 2.0192403069e-04 2.4579020275e-05 -2.1439080605e-05 -1.2952966627e-06 5.7516345081e-06 7.7075084994e-06 1.6533033075e-04 2.0831524059e-05 -1.4504796827e-05 7.0122580916e-07 5.6664319164e-06 1.2461958545e-04 1.7254983436e-05 -6.0287092833e-06 4.3020691532e-06 8.5727984560e-05 1.5251333854e-05 6.4129336875e-06 4.8769536261e-05 1.6177333210e-05 1.9112661809e-05
   9 3.3518124477e-04 1.4394999649e-04 3.7946190881e-05 2.5212615103e-05 3.0313358810e-05 3.4508355666e-05 3.7005705762e-05 3.8821273984e-05 4.0432676570e-05 4.1871196983e-05 3.4987555989e-04 6.8349363602e-05 -1.7103800726e-05 7.5841568420e-06 1.5967062532e-05 1.8945724875e-05 2.0793057846e-05 2.2358180983e-05 2.3729446840e-05 3.2452912354e-04 4.7364364160e-05 -2.8443277086e-05 1.0891063837e-06 1.0507538918e-05 1.3699142080e-05 1.5507265036e-05 1.6805110444e-05 2.9425056728e-04 3.8278706448e-05 -2.9437544779e-05 -8.7891714827e-07 8.4963473661e-06 1.1653486532e-05 1.3066678572e-05 2.5012030882e-04 3.1995653281e-05 -2.4373714734e-05 -1.4617228767e-07 8.0354933272e-06 1.0302168538e-05 2.0487759120e-04 2.6883707532e-05 -1.6398556166e-05 1.9548996348e-06 7.7957019405e-06 1.5460236457e-04 2.2205700844e-05 -6.3717767731e-06 6.1249008360e-06 1.0653837547e-04 1.9565524923e-05 8.6770971267e-06 6.0832516706e-05 2.0615154074e-05 2.4194576146e-05
  10 4.1253609098e-04 1.8165538005e-04 4.9945303933e-05 3.2547355390e-05 3.7844469063e-05 4.2618351467e-05 4.5575430049e-05 4.7794598305e-05 4.9796342541e-05 5.1596010952e-05 4.2925869954e-04 9.0246610987e-05 -1.5515028967e-05 1.1603434962e-05 2.0763315040e-05 2.4132137303e-05 2.6365817445e-05 2.8329367485e-05 3.0079112639e-05 3.9474555789e-04 6.2327747048e-05 -2.9875896995e-05 3.6680100135e-06 1.4034133472e-05 1.7577476532e-05 1.9727388548e-05 2.1369953851e-05 3.5678045384e-04 4.9518385284e-05 -3.2090041332e-05 9.5946552826e-07 1.1429088945e-05 1.4958868333e-05 1.6673886857e-05 3.0309393660e-04 4.0822372717e-05 -2.6901185432e-05 1.4231192511e-06 1.0678154651e-05 1.3282493115e-05 2.4833337395e-04 3.4001158813e-05 -1.7981523025e-05 3.5654820425e-06 1.0286916387e-05 1.8758375911e-04 2.7981239294e-05 -6.4076469772e-06 8.3180365987e-06 1.2949489201e-04 2.4563542237e-05 1.1376737330e-05 7.4221686091e-05 2.5673339242e-05 2.9930618241e-05
  11 4.9579129165e-04 2.2361453479e-04 6.3423770369e-05 4.0569651693e-05 4.5929562331e-05 5.1295287878e-05 5.4749695842e-05 5.7411775501e-05 5.9843725450e-05 6.2040214519e-05 5.1674176785e-04 1.1574378777e-04 -1.2928521093e-05 1.6193523488e-05 2.6087184479e-05 2.9892020266e-05 3.2571198106e-05 3.4992437333e-05 3.7171370715e-05 4.7162706801e-04 8.0035639041e-05 -3.0444451480e-05 6.7803323059e-06 1.7990070904e-05 2.1904427818e-05 2.4449669451e-05 2.6493694740e-05 4.2495546657e-04 6.2809142806e-05 -3.4076648944e-05 3.2851597705e-06 1.4741778221e-05 1.8650571190e-05 2.0721054228e-05 3.6077833905e-04 5.1189584422e-05 -2.8933158739e-05 3.4095599138e-06 1.3663562581e-05 1.6635111750e-05 2.9565428901e-04 4.2288859032e-05 -1.9184753969e-05 5.5247441198e-06 1.3126811832e-05 2.2354020059e-04 3.4650936080e-05 -6.1105124037e-06 1.0878264459e-05 1.5457452221e-04 3.0276326067e-05 1.4524241929e-05 8.8936982956e-05 3.1370681787e-05 3.6334959375e-05
