# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.5430725530e-05 4.6173185830e-06 -1.5863724499e-06 -1.6561425630e-06 -8.6524698112e-07 -3.9646065488e-07 -1.8396171312e-07 -8.6953769835e-08 -4.0101192194e-08 -2.1714333911e-08 2.2865381307e-05 1.5896385228e-06 -4.4736195083e-06 -1.8430412718e-06 -7.6256876575e-07 -3.5788360990e-07 -1.7336102927e-07 -8.1802364120e-08 -4.8810570350e-08 2.2670203424e-05 1.6184908088e-06 -4.3183550466e-06 -1.7681429428e-06 -7.3418666173e-07 -3.3503312310e-07 -1.5522749128e-07 -9.3769073867e-08 2.0763686339e-05 1.6610604560e-06 -3.7463489874e-06 -1.5196656545e-06 -6.0987970318e-07 -2.6548941037e-07 -1.5779366360e-07 1.7545180564e-05 1.5119743556e-06 -2.9777343837e-06 -1.1868679149e-06 -4.5621223306e-07 -2.4849407934e-07 1.4213757001e-05 1.2659508457e-06 -2.1655434867e-06 -8.4111307233e-07 -3.5821926470e-07 1.0537238627e-05 9.6130550793e-07 -1.3034650864e-06 -4.0951732471e-07 7.0483085991e-06 7.6057383552e-07 -1.3931265359e-07 3.7412427395e-06 7.9572406767e-07 1.0469817147e-06
   3 3.3083249951e-05 1.0356699163e-05 -2.3548717670e-06 -2.8078740748e-06 -1.4457808391e-06 -6.3704190374e-07 -2.8293710238e-07 -1.2941298742e-07 -6.2288615220e-08 -4.0368302130e-08 4.5382021019e-05 3.5519001721e-06 -8.3227660675e-06 -3.2570764219e-06 -1.2629043206e-06 -5.6168197212e-07 -2.6295481227e-07 -1.2432687600e-07 -7.7676898489e-08 4.4750832683e-05 3.2698049102e-06 -8.2895492618e-06 -3.2549059747e-06 -1.2866986010e-06 -5.6466682512e-07 -2.5505960670e-07 -1.5562384004e-07 4.1019424583e-05 3.2554535079e-06 -7.3042904335e-06 -2.8695200209e-06 -1.1072520637e-06 -4.6522815312e-07 -2.7725373920e-07 3.4694892265e-05 2.9317063262e-06 -5.8564017731e-06 -2.2721637073e-06 -8.4473129257e-07 -4.5761517458e-07 2.8127631058e-05 2.4480896008e-06 -4.2767856244e-06 -1.6246773774e-06 -6.8225400109e-07 2.0863063550e-05 1.8586044392e-06 -2.5822042876e-06 -7.9826285736e-07 1.3954165797e-05 1.4747737631e-06 -2.8146676892e-07 7.3975884323e-06 1.5602363435e-06 2.0616968436e-06
   4 5.8612949887e-05 1.9209563388e-05 -2.5308667390e-06 -3.8238443129e-06 -1.9282864534e-06 -8.0302841588e-07 -3.3496207547e-07 -1.4120980387e-07 -5.9430187399e-08 -3.9497294144e-08 7.5298837868e-05 6.8712314966e-06 -1.2604921097e-05 -4.6352071107e-06 -1.6566494664e-06 -6.8438670728e-07 -2.9607749817e-07 -1.2778055114e-07 -8.1890851996e-08 7.3691401668e-05 5.7129963503e-06 -1.3042600044e-05 -4.8534699012e-06 -1.7876897534e-06 -7.3114460218e-07 -3.1069805352e-07 -1.9091938650e-07 6.7517967925e-05 5.4444061884e-06 -1.1694062229e-05 -4.3889266274e-06 -1.5943627713e-06 -6.3370206803e-07 -3.7597296799e-07 5.7163991726e-05 4.8346620020e-06 -9.4640574277e-06 -3.5329899099e-06 -1.2487730715e-06 -6.6505580400e-07 4.6384876306e-05 4.0113797099e-06 -6.9480605203e-06 -2.5507852969e-06 -1.0387609859e-06 3.4422347854e-05 3.0423932996e-06 -4.1968120936e-06 -1.2492175455e-06 2.3032476901e-05 2.4250152743e-06 -4.2970670864e-07 1.2210745287e-05 2.5820188918e-06 3.4105148518e-06
   5 9.2523518427e-05 3.1636298479e-05 -1.8930215804e-06 -4.6229757413e-06 -2.2870450578e-06 -8.8587526371e-07 -3.4184212858e-07 -1.3608804722e-07 -5.2062867069e-08 -3.1986254441e-08 1.1275196783e-04 1.2015880754e-05 -1.6905330664e-05 -5.7910839639e-06 -1.8736161924e-06 -7.1341117384e-07 -2.8959971660e-07 -1.1346913238e-07 -6.9772785285e-08 1.0937244752e-04 9.2557574305e-06 -1.8201836246e-05 -6.3744200729e-06 -2.1689998214e-06 -8.2017744814e-07 -3.2012419766e-07 -1.9651329348e-07 1.0008958852e-04 8.3876549732e-06 -1.6658455477e-05 -5.9326538284e-06 -2.0032125724e-06 -7.3817851591e-07 -4.3817612556e-07 8.4775982681e-05 7.2984090172e-06 -1.3617822249e-05 -4.8471555704e-06 -1.6071460996e-06 -8.4180706482e-07 6.8848867788e-05 6.0155984766e-06 -1.0042976619e-05 -3.5363258280e-06 -1.3865716756e-06 5.1134384547e-05 4.5560405996e-06 -6.0641943867e-06 -1.7144241102e-06 3.4233911973e-05 3.6393493225e-06 -5.4152206785e-07 1.8164750747e-05 3.8836260104e-06 5.1081888096e-06
   6 1.3492846893e-04 4.7980603323e-05 -2.8590330329e-07 -5.1833097115e-06 -2.5509966686e-06 -9.1482587453e-07 -3.1704735161e-07 -1.1607792102e-07 -4.3095756294e-08 -2.5893465738e-08 1.5797258339e-04 1.9420940003e-05 -2.0957330129e-05 -6.6787898153e-06 -1.9242518138e-06 -6.5594556506e-07 -2.4700523208e-07 -9.3966868930e-08 -5.6646573407e-08 1.5169983499e-04 1.4187734379e-05 -2.3454592788e-05 -7.6809508008e-06 -2.3849152643e-06 -8.2924586965e-07 -3.0277533273e-07 -1.8620747340e-07 1.3859101837e-04 1.2297142836e-05 -2.1920308005e-05 -7.3709427863e-06 -2.3016391871e-06 -7.8476532379e-07 -4.6645166008e-07 1.1741271230e-04 1.0456907654e-05 -1.8129118749e-05 -6.1293180691e-06 -1.8920016865e-06 -9.7356745863e-07 9.5405886748e-05 8.5310193466e-06 -1.3433592435e-05 -4.5116788204e-06 -1.6932148573e-06 7.0917859293e-05 6.4583841886e-06 -8.0925227590e-06 -2.1482557239e-06 4.7524804949e-05 5.1646107096e-06 -5.7172501237e-07 2.5254426308e-05 5.4924313878e-06 7.1741358925e-06
   7 1.8561498923e-04 6.8443361759e-05 2.3973940750e-06 -5.4832427433e-06 -2.7404055098e-06 -9.1999680208e-07 -2.8346276727e-07 -9.0970969868e-08 -3.1346747721e-08 -2.0718916203e-08 2.1117885093e-04 2.9496126611e-05 -2.4560470296e-05 -7.3105653622e-06 -1.8687424858e-06 -5.5807155122e-07 -1.8487893906e-07 -6.6724751884e-08 -4.4651144309e-08 2.0065974964e-04 2.0800375886e-05 -2.8577544779e-05 -8.7354922452e-06 -2.4480483549e-06 -7.6557112095e-07 -2.5945077782e-07 -1.6925798717e-07 1.8288676294e-04 1.7360102074e-05 -2.7258409810e-05 -8.6158746109e-06 -2.4637808363e-06 -7.7582736434e-07 -4.7161525547e-07 1.5495525032e-04 1.4461317075e-05 -2.2801180365e-05 -7.2974218918e-06 -2.0936997963e-06 -1.0627757337e-06 1.2598140969e-04 1.1670540532e-05 -1.6990582881e-05 -5.4334816873e-06 -1.9438325385e-06 9.3714383552e-05 8.8122160268e-06 -1.0204223316e-05 -2.5159081774e-06 6.2870702751e-05 7.0487941548e-06 -4.7548305566e-07 3.3484255409e-05 7.4417762027e-06 9.6310633435e-06
   8 2.4413269547e-04 9.3105238158e-05 6.2074528423e-06 -5.5125778083e-06 -2.8612126526e-06 -9.1249754665e-07 -2.5255423179e-07 -6.9671108090e-08 -2.0871537284e-08 -1.5749426852e-08 2.7248952670e-04 4.2552955669e-05 -2.7576615713e-05 -7.7032327322e-06 -1.7483370981e-06 -4.5594349310e-07 -1.2853662990e-07 -4.0211859152e-08 -3.2421909394e-08 2.5627582616e-04 2.9395591188e-05 -3.3377267982e-05 -9.5350287846e-06 -2.4065566207e-06 -6.6625277127e-07 -2.0110254321e-07 -1.4553522351e-07 2.3290316500e-04 2.3776815531e-05 -3.2506350047e-05 -9.6465243124e-06 -2.5073233940e-06 -7.1615978248e-07 -4.5569439299e-07 1.9729018148e-04 1.9440287098e-05 -2.7489011489e-05 -8.3025488058e-06 -2.1996451245e-06 -1.1099730729e-06 1.6048554990e-04 1.5543793687e-05 -2.0582841501e-05 -6.2583701114e-06 -2.1300758275e-06 1.1949068425e-04 1.1707126840e-05 -1.2322776469e-05 -2.7939980853e-06 8.0254882798e-05 9.3421364308e-06 -2.1736654964e-07 4.2856063376e-05 9.7632669813e-06 1.2503573014e-05
   9 3.0986596670e-04 1.2196240965e-04 1.1158258341e-05 -5.2769345095e-06 -2.9202211058e-06 -8.9513496858e-07 -2.2593994349e-07 -5.3679767308e-08 -1.3695223688e-08 -1.1868718349e-08 3.4192927726e-04 5.8791101955e-05 -2.9944422678e-05 -7.8873927073e-06 -1.5884962675e-06 -3.6124573419e-07 -8.5610535851e-08 -2.1938029839e-08 -2.2542627296e-08 3.1854552340e-04 4.0232244184e-05 -3.7704865982e-05 -1.0080235807e-05 -2.2912305047e-06 -5.6152805037e-07 -1.4696049641e-07 -1.2000847782e-07 2.8859424213e-04 3.1764162225e-05 -3.7507652245e-05 -1.0459045606e-05 -2.4682620278e-06 -6.3318432013e-07 -4.2373047489e-07 2.4435168259e-04 2.5536959801e-05 -3.2076454971e-05 -9.1417940124e-06 -2.2256918905e-06 -1.1162482204e-06 1.9883992609e-04 2.0240077292e-05 -2.4123328752e-05 -6.9620515406e-06 -2.2433022402e-06 1.4819365077e-04 1.5223869187e-05 -1.4373612743e-05 -2.9591021518e-06 9.9675059500e-05 1.2107024500e-05 2.3747777486e-07 5.3384263568e-05 1.2486806580e-05 1.5814249388e-05
  10 3.8208870267e-04 1.5494481669e-04 1.7245982596e-05 -4.7875864599e-06 -2.9271294429e-06 -8.7047675363e-07 -2.0283618192e-07 -4.2002622871e-08 -8.8758599328e-09 -9.3043056907e-09 4.1943971213e-04 7.8330034399e-05 -3.1657117876e-05 -7.9067536065e-06 -1.4096926871e-06 -2.7869286650e-07 -5.4155918876e-08 -1.0777072228e-08 -1.6105183150e-08 3.8742994650e-04 5.3506695400e-05 -4.1470652812e-05 -1.0391533688e-05 -2.1230133381e-06 -4.6056173382e-07 -1.0430790432e-07 -9.8536574195e-08 3.4990400322e-04 4.1512242757e-05 -4.2136028175e-05 -1.1048439050e-05 -2.3691802579e-06 -5.4687692837e-07 -3.8682675568e-07 2.9609010280e-04 3.2909040891e-05 -3.6451911748e-05 -9.8134584000e-06 -2.1995880190e-06 -1.0930268307e-06 2.4099784083e-04 2.5866747143e-05 -2.7541638150e-05 -7.5517332591e-06 -2.2864748031e-06 1.7978127126e-04 1.9423174522e-05 -1.6310672369e-05 -2.9968410196e-06 1.2111352996e-04 1.5398091590e-05 9.2160072794e-07 6.5088497741e-05 1.5646550122e-05 1.9587067695e-05
  11 4.6000888956e-04 1.9192482297e-04 2.4455833154e-05 -4.0551939089e-06 -2.8905130980e-06 -8.4175863235e-07 -1.8237158132e-07 -3.3548890487e-08 -5.6302897983e-09 -7.5999582445e-09 5.0487678327e-04 1.0122910594e-04 -3.2732121855e-05 -7.8075701895e-06 -1.2283638855e-06 -2.0949659565e-07 -3.2653419740e-08 -3.7837738816e-09 -1.2063694324e-08 4.6286575138e-04 6.9359156335e-05 -4.4630791172e-05 -1.0504130141e-05 -1.9241014171e-06 -3.6744013572e-07 -7.1739004295e-08 -8.1655447321e-08 4.1676412053e-04 5.3174121866e-05 -4.6309521833e-05 -1.1426547275e-05 -2.2239164931e-06 -4.6360025009e-07 -3.5063951912e-07 3.5244677884e-04 4.1693717229e-05 -4.0521761665e-05 -1.0316155332e-05 -2.1340004607e-06 -1.0514476975e-06 2.8692368544e-04 3.2535315683e-05 -3.0763712083e-05 -8.0315304593e-06 -2.2699150637e-06 2.1423757803e-04 2.4381203502e-05 -1.8102491230e-05 -2.9058376459e-06 1.4455583452e-04 1.9254568578e-05 1.8545295179e-06 7.7979130690e-05 1.9271055775e-05 2.3846627911e-05
