# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.5444345696e-05 4.6188942073e-06 -1.5883183971e-06 -1.6567178539e-06 -8.6502199535e-07 -3.9615609268e-07 -1.8378849519e-07 -8.6901883177e-08 -4.0107493716e-08 -2.1724435206e-08 2.2890248007e-05 1.5836431262e-06 -4.4777290921e-06 -1.8426825468e-06 -7.6221017981e-07 -3.5754790604e-07 -1.7316223504e-07 -8.1820686621e-08 -4.8811441777e-08 2.2699474804e-05 1.6106973591e-06 -4.3231531185e-06 -1.7676831442e-06 -7.3382515024e-07 -3.3478420756e-07 -1.5508721052e-07 -9.3740126752e-08 2.0793171400e-05 1.6535250800e-06 -3.7508640038e-06 -1.5192879631e-06 -6.0959252942e-07 -2.6523744655e-07 -1.5772202804e-07 1.7570868745e-05 1.5055057040e-06 -2.9814566483e-06 -1.1865140539e-06 -4.5596248487e-07 -2.4839190398e-07 1.4234349813e-05 1.2611514725e-06 -2.1680194812e-06 -8.4098514961e-07 -3.5815420774e-07 1.0551446788e-05 9.5821995540e-07 -1.3047901017e-06 -4.0959935568e-07 7.0564674908e-06 7.5935005308e-07 -1.3953989138e-07 3.7443748882e-06 7.9587236545e-07 1.0473818243e-06
   3 3.3121058261e-05 1.0361627157e-05 -2.3590374129e-06 -2.8094912143e-06 -1.4456952733e-06 -6.3667683912e-07 -2.8267665308e-07 -1.2926512869e-07 -6.2250401535e-08 -4.0376123419e-08 4.5434426083e-05 3.5404572322e-06 -8.3314196448e-06 -3.2566209032e-06 -1.2622912335e-06 -5.6113478639e-07 -2.6261582711e-07 -1.2426477686e-07 -7.7674480247e-08 4.4810185072e-05 3.2547086623e-06 -8.2991747897e-06 -3.2542390009e-06 -1.2861596445e-06 -5.6412422802e-07 -2.5477175424e-07 -1.5556603363e-07 4.1078968517e-05 3.2405076993e-06 -7.3134530538e-06 -2.8687486886e-06 -1.1067197355e-06 -4.6487792224e-07 -2.7708518248e-07 3.4746491476e-05 2.9190400927e-06 -5.8638540352e-06 -2.2716988650e-06 -8.4426934797e-07 -4.5740370848e-07 2.8169032355e-05 2.4383879152e-06 -4.2818400056e-06 -1.6243804480e-06 -6.8215275415e-07 2.0891497370e-05 1.8525775755e-06 -2.5848963519e-06 -7.9846696557e-07 1.3970544251e-05 1.4722778486e-06 -2.8194643952e-07 7.4038603968e-06 1.5605229352e-06 2.0624890398e-06
   4 5.8697250268e-05 1.9223176815e-05 -2.5370798116e-06 -3.8269924820e-06 -1.9284236616e-06 -8.0257101407e-07 -3.3476009723e-07 -1.4111745700e-07 -5.9300808218e-08 -3.9478968724e-08 7.5392805268e-05 6.8549608784e-06 -1.2619148489e-05 -4.6350659538e-06 -1.6562137598e-06 -6.8364371881e-07 -2.9549262081e-07 -1.2775503810e-07 -8.1826868924e-08 7.3793312489e-05 5.6888227756e-06 -1.3058777630e-05 -4.8524550427e-06 -1.7870158755e-06 -7.3059442277e-07 -3.1016147735e-07 -1.9080290204e-07 6.7618625432e-05 5.4204537448e-06 -1.1709394259e-05 -4.3880615069e-06 -1.5936032445e-06 -6.3303795501e-07 -3.7574344156e-07 5.7250795949e-05 4.8137670776e-06 -9.4765363350e-06 -3.5321020989e-06 -1.2482045927e-06 -6.6475579110e-07 4.6454353427e-05 3.9957493419e-06 -6.9565850304e-06 -2.5505448538e-06 -1.0386223404e-06 3.4470023433e-05 3.0322513024e-06 -4.2013257265e-06 -1.2495875671e-06 2.3059956187e-05 2.4209706279e-06 -4.3053677434e-07 1.2221264190e-05 2.5824950935e-06 3.4118360356e-06
   5 9.2684371423e-05 3.1665757699e-05 -1.8997128827e-06 -4.6278380615e-06 -2.2879272531e-06 -8.8522762795e-07 -3.4138442184e-07 -1.3617896646e-07 -5.2026472500e-08 -3.1933585463e-08 1.1290642615e-04 1.1996260785e-05 -1.6925713266e-05 -5.7906033930e-06 -1.8734076603e-06 -7.1302166092e-07 -2.8888750156e-07 -1.1330136999e-07 -6.9721401741e-08 1.0953205502e-04 9.2230022140e-06 -1.8225908021e-05 -6.3734729076e-06 -2.1682714072e-06 -8.1944982867e-07 -3.1960736815e-07 -1.9632292549e-07 1.0024376225e-04 8.3532739394e-06 -1.6681194732e-05 -5.9313429350e-06 -2.0025508179e-06 -7.3749899201e-07 -4.3781226764e-07 8.4908245518e-05 7.2684517771e-06 -1.3636703322e-05 -4.8463191769e-06 -1.6062387915e-06 -8.4143724761e-07 6.8954051147e-05 5.9924482089e-06 -1.0055591208e-05 -3.5359668321e-06 -1.3864978767e-06 5.1206783095e-05 4.5414509547e-06 -6.0711657863e-06 -1.7150674957e-06 3.4275411660e-05 3.6333318232e-06 -5.4276762270e-07 1.8180781439e-05 3.8843999457e-06 5.1102188200e-06
   6 1.3520342226e-04 4.8034338024e-05 -2.9146302905e-07 -5.1887288031e-06 -2.5529977969e-06 -9.1471331455e-07 -3.1618557229e-07 -1.1588808839e-07 -4.3325787245e-08 -2.5829717440e-08 1.5821094881e-04 1.9402487683e-05 -2.0985081522e-05 -6.6781775473e-06 -1.9238250944e-06 -6.5555792679e-07 -2.4646047344e-07 -9.3845422910e-08 -5.6591988758e-08 1.5193356285e-04 1.4147511046e-05 -2.3486743044e-05 -7.6794520183e-06 -2.3845661015e-06 -8.2881089288e-07 -3.0193074907e-07 -1.8607759352e-07 1.3881370765e-04 1.2252777327e-05 -2.1951952191e-05 -7.3694817924e-06 -2.3006385165e-06 -7.8416937204e-07 -4.6608362561e-07 1.1760122372e-04 1.0416988986e-05 -1.8154868008e-05 -6.1282303785e-06 -1.8913843691e-06 -9.7312611524e-07 9.5555844457e-05 8.5001777272e-06 -1.3451641950e-05 -4.5113889147e-06 -1.6931805791e-06 7.1020178323e-05 6.4385115777e-06 -8.1020224741e-06 -2.1492383001e-06 4.7584089152e-05 5.1565937565e-06 -5.7347681195e-07 2.5277218023e-05 5.4936565311e-06 7.1771023019e-06
   7 1.8604784443e-04 6.8533207752e-05 2.3930613850e-06 -5.4881254623e-06 -2.7423952978e-06 -9.2090227265e-07 -2.8303323926e-07 -9.0236505165e-08 -3.1493059195e-08 -2.0719434934e-08 2.1152642513e-04 2.9485076954e-05 -2.4594769308e-05 -7.3099053682e-06 -1.8689402748e-06 -5.5786587007e-07 -1.8386945249e-07 -6.6691364555e-08 -4.4625150677e-08 2.0098853380e-04 2.0754574831e-05 -2.8619316546e-05 -8.7329741957e-06 -2.4472081034e-06 -7.6560042137e-07 -2.5881079113e-07 -1.6907729252e-07 1.8319311599e-04 1.7307160136e-05 -2.7298919978e-05 -8.6140642231e-06 -2.4631963116e-06 -7.7506669086e-07 -4.7129308228e-07 1.5521332103e-04 1.4411786097e-05 -2.2835398464e-05 -7.2958878752e-06 -2.0928502945e-06 -1.0624788568e-06 1.2618470073e-04 1.1631918167e-05 -1.7013765525e-05 -5.4335725639e-06 -1.9439871156e-06 9.3853940428e-05 8.7869301032e-06 -1.0217138369e-05 -2.5172257882e-06 6.2950830254e-05 7.0388997786e-06 -4.7765162163e-07 3.3515626435e-05 7.4437133908e-06 9.6352805436e-06
   8 2.4477118198e-04 9.3247979701e-05 6.2047861975e-06 -5.5179393132e-06 -2.8619352131e-06 -9.1350196904e-07 -2.5308169313e-07 -6.9056833405e-08 -2.0594747055e-08 -1.5804699043e-08 2.7297776637e-04 4.2554102332e-05 -2.7617504532e-05 -7.7006276934e-06 -1.7486767335e-06 -4.5710543992e-07 -1.2763958054e-07 -3.9504388482e-08 -3.2519464468e-08 2.5672295162e-04 2.9349566267e-05 -3.3429308303e-05 -9.5323370817e-06 -2.4055296426e-06 -6.6610093181e-07 -2.0056115856e-07 -1.4538545306e-07 2.3331080867e-04 2.3716229678e-05 -3.2556864512e-05 -9.6434189279e-06 -2.5064756150e-06 -7.1607134456e-07 -4.5528949629e-07 1.9763102987e-04 1.9382900492e-05 -2.7531473831e-05 -8.3012025587e-06 -2.1988096064e-06 -1.1096921100e-06 1.6075337724e-04 1.5497228657e-05 -2.0612341610e-05 -6.2580390954e-06 -2.1304883105e-06 1.1967362824e-04 1.1677445874e-05 -1.2338973304e-05 -2.7957986811e-06 8.0360692052e-05 9.3302265556e-06 -2.1990048445e-07 4.2897684711e-05 9.7663695442e-06 1.2509485169e-05
   9 3.1075929432e-04 1.2217845694e-04 1.1160314677e-05 -5.2845572506e-06 -2.9201787407e-06 -8.9518296964e-07 -2.2670508394e-07 -5.3787667027e-08 -1.3264877101e-08 -1.1879106605e-08 3.4259856884e-04 5.8812430343e-05 -2.9995261595e-05 -7.8827619650e-06 -1.5868379911e-06 -3.6306953058e-07 -8.6074872285e-08 -2.0897555029e-08 -2.2567349925e-08 3.1913397022e-04 4.0191159488e-05 -3.7766317229e-05 -1.0076410346e-05 -2.2905791245e-06 -5.6212750466e-07 -1.4603556156e-07 -1.1991933254e-07 2.8912425208e-04 3.1699800432e-05 -3.7569627812e-05 -1.0455530386e-05 -2.4667212056e-06 -6.3310017619e-07 -4.2345311914e-07 2.4478940417e-04 2.5472382442e-05 -3.2127664899e-05 -9.1392660906e-06 -2.2253183939e-06 -1.1160118938e-06 1.9918340507e-04 2.0187958417e-05 -2.4159515410e-05 -6.9621338677e-06 -2.2437582620e-06 1.4842783313e-04 1.5189230240e-05 -1.4392963778e-05 -2.9611664414e-06 9.9811262399e-05 1.2094354593e-05 2.3473719123e-07 5.3438237747e-05 1.2491535746e-05 1.5822426003e-05
  10 3.8328575576e-04 1.5525629126e-04 1.7257733082e-05 -4.7976263922e-06 -2.9278909723e-06 -8.6960337408e-07 -2.0304374000e-07 -4.2544868855e-08 -8.6888307384e-09 -9.2524267406e-09 4.2033549183e-04 7.8385765794e-05 -3.1719974856e-05 -7.9030484504e-06 -1.4057969150e-06 -2.7930418082e-07 -5.5558155854e-08 -1.0374386513e-08 -1.5963183484e-08 3.8818749091e-04 5.3474528707e-05 -4.1543089177e-05 -1.0385434873e-05 -2.1210550768e-06 -4.6227531451e-07 -1.0407729737e-07 -9.8260022078e-08 3.5057702391e-04 4.1449205343e-05 -4.2208658795e-05 -1.1044549223e-05 -2.3679748906e-06 -5.4674511995e-07 -3.8658571257e-07 2.9664238615e-04 3.2839784722e-05 -3.6513572132e-05 -9.8102827963e-06 -2.1984996108e-06 -1.0930393473e-06 2.4142789847e-04 2.5809625533e-05 -2.7583667436e-05 -7.5518162331e-06 -2.2871612976e-06 1.8007608341e-04 1.9385576197e-05 -1.6334259825e-05 -2.9990043920e-06 1.2128424489e-04 1.5385081629e-05 9.1917871151e-07 6.5157830932e-05 1.5653683795e-05 1.9598204885e-05
  11 4.6155705137e-04 1.9235481786e-04 2.4482397947e-05 -4.0661464186e-06 -2.8929726668e-06 -8.4065737668e-07 -1.8209775245e-07 -3.3884384165e-08 -5.7243375493e-09 -7.5517713145e-09 5.0604589738e-04 1.0133632277e-04 -3.2805165447e-05 -7.8069107258e-06 -1.2242713546e-06 -2.0844157844e-07 -3.3740638347e-08 -4.0680918603e-09 -1.1932225014e-08 4.6382757087e-04 6.9343707512e-05 -4.4717528160e-05 -1.0497393961e-05 -1.9197149743e-06 -3.6860238853e-07 -7.2727400043e-08 -8.1332115833e-08 4.1760125734e-04 5.3116024850e-05 -4.6393209903e-05 -1.1420796221e-05 -2.2222867488e-06 -4.6454988174e-07 -3.5029178108e-07 3.5313132992e-04 4.1624553942e-05 -4.0593485419e-05 -1.0313202973e-05 -2.1328347297e-06 -1.0514491825e-06 2.8745433856e-04 3.2474645298e-05 -3.0813397477e-05 -8.0307161845e-06 -2.2707893258e-06 2.1460032122e-04 2.4342373704e-05 -1.8129312866e-05 -2.9082083191e-06 1.4476810816e-04 1.9241693071e-05 1.8526711503e-06 7.8066018336e-05 1.9281588908e-05 2.3861647200e-05
