# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.6719745562e-05 5.6523785525e-06 -4.0199982807e-07 -3.5724844164e-07 5.2292823217e-07 1.0653759422e-06 1.3415605884e-06 1.4967713775e-06 1.6000757154e-06 1.6709513286e-06 2.3248978237e-05 2.0245991131e-06 -3.9746439187e-06 -1.2876425829e-06 -1.5470491082e-07 2.9654414630e-07 5.2428415604e-07 6.5819799330e-07 7.3095063527e-07 2.2995698998e-05 1.9958708381e-06 -3.9061888411e-06 -1.3219872881e-06 -2.5131696762e-07 1.8309840023e-07 3.9819947301e-07 4.9350599054e-07 2.1081903649e-05 2.0276324449e-06 -3.3567099443e-06 -1.1058174969e-06 -1.6673023777e-07 2.0820786193e-07 3.4599329693e-07 1.7871432364e-05 1.8797327345e-06 -2.5924088606e-06 -7.8137282548e-07 -2.4338587014e-08 2.1051444099e-07 1.4552706478e-05 1.6389590732e-06 -1.7771047064e-06 -4.3299570705e-07 7.4295459509e-08 1.0891952922e-05 1.3420602228e-06 -9.0716559170e-07 7.1606280180e-09 7.4198337769e-06 1.1516259516e-06 2.6886688991e-07 4.1314454702e-06 1.2018605667e-06 1.4606573186e-06
   3 3.5985008420e-05 1.2726414914e-05 4.0980030118e-07 2.5395335282e-07 1.8423652107e-06 2.8346743562e-06 3.3455739149e-06 3.6408641412e-06 3.8439111964e-06 3.9904976536e-06 4.6200373030e-05 4.5086656509e-06 -7.1741245628e-06 -1.9451193445e-06 1.9336248233e-07 1.0202290695e-06 1.4335312858e-06 1.6824259421e-06 1.8304914738e-06 4.5425720906e-05 4.0697051198e-06 -7.3813199607e-06 -2.2426349800e-06 -1.6994059189e-07 6.5001329583e-07 1.0553913299e-06 1.2437017646e-06 4.1676000122e-05 4.0236459224e-06 -6.4624160522e-06 -1.9511849828e-06 -1.0397006237e-07 6.2327935435e-07 8.9220807869e-07 3.5370379835e-05 3.7021225299e-06 -5.0286053557e-06 -1.3804855348e-06 1.2267129396e-07 5.8445931269e-07 2.8834858338e-05 3.2341757533e-06 -3.4411456621e-06 -7.2844314691e-07 2.8244884804e-07 2.1610050327e-05 2.6679606748e-06 -1.7243817403e-06 1.1884860346e-07 1.4744700320e-05 2.3144405682e-06 6.0865818606e-07 8.2364225278e-06 2.4419327535e-06 2.9628555167e-06
   4 6.3796824667e-05 2.3510983350e-05 2.5547978444e-06 1.8467361095e-06 4.1813449900e-06 5.6589266697e-06 6.4261032014e-06 6.8893531471e-06 7.2286671790e-06 7.4838093850e-06 7.6734886997e-05 8.5941155417e-06 -1.0466356328e-05 -2.1525354047e-06 1.1202061909e-06 2.3446808368e-06 2.9613172317e-06 3.3480078971e-06 3.5931018274e-06 7.4849026107e-05 7.1151332937e-06 -1.1398780375e-05 -2.9837864723e-06 2.9987131405e-07 1.5575024811e-06 2.1720635174e-06 2.4698115111e-06 6.8641765959e-05 6.7782430076e-06 -1.0193839696e-05 -2.7194282612e-06 2.5427352496e-07 1.3921627786e-06 1.8142162675e-06 5.8322615954e-05 6.1698314334e-06 -7.9992334209e-06 -1.9253441384e-06 5.1987845683e-07 1.2573338021e-06 4.7602025214e-05 5.3763632302e-06 -5.4701982409e-06 -9.3909718734e-07 7.1644665514e-07 3.5715718890e-05 4.4552552647e-06 -2.6750250623e-06 4.0013045337e-07 2.4411056320e-05 3.9020027747e-06 1.1572673461e-06 1.3686543381e-05 4.1469076574e-06 5.0140037071e-06
   5 1.0062186327e-04 3.8458703328e-05 6.2536713179e-06 4.5085160758e-06 7.5778493160e-06 9.5636932534e-06 1.0602250081e-05 1.1253028692e-05 1.1762292578e-05 1.2170439828e-05 1.1499932197e-04 1.4768519808e-05 -1.3402245364e-05 -1.6801489352e-06 2.7458839315e-06 4.3381236306e-06 5.1507686019e-06 5.6984102743e-06 6.0805041558e-06 1.1114628702e-04 1.1446879498e-05 -1.5562724800e-05 -3.3261840673e-06 1.2613893472e-06 2.9593785303e-06 3.7945702926e-06 4.2237082425e-06 1.0180708891e-04 1.0456498541e-05 -1.4278653391e-05 -3.2427354601e-06 1.0044032249e-06 2.5794002406e-06 3.1646519859e-06 8.6551558970e-05 9.3659063238e-06 -1.1307165652e-05 -2.2744891840e-06 1.2525215806e-06 2.2875969859e-06 7.0720667268e-05 8.1310096335e-06 -7.7167104349e-06 -9.6395789878e-07 1.4405572860e-06 5.3129843407e-05 6.7522857223e-06 -3.6651348303e-06 9.1571031970e-07 3.6371401953e-05 5.9468671420e-06 1.9680223058e-06 2.0468419963e-05 6.3462676258e-06 7.6367993482e-06
   6 1.4649079576e-04 5.7865674025e-05 1.1617035385e-05 8.2185457259e-06 1.1962599763e-05 1.4481972941e-05 1.5825158716e-05 1.6696320362e-05 1.7410087879e-05 1.8012320776e-05 1.6122035262e-04 2.3469892267e-05 -1.5702466664e-05 -4.6272024986e-07 5.0839222359e-06 7.0211879805e-06 8.0311444629e-06 8.7576485648e-06 9.3180163256e-06 1.5421414149e-04 1.7351527014e-05 -1.9555352190e-05 -3.1220567669e-06 2.7772889881e-06 4.8787849056e-06 5.9275167246e-06 6.5198466687e-06 1.4101527493e-04 1.5261325075e-05 -1.8438900417e-05 -3.3848165854e-06 2.1887899362e-06 4.1939096629e-06 4.9585759950e-06 1.1992611830e-04 1.3415798531e-05 -1.4765512817e-05 -2.3371451912e-06 2.3570442921e-06 3.7008922190e-06 9.8065249305e-05 1.1562908000e-05 -1.0051967260e-05 -7.2973095688e-07 2.4948076027e-06 7.3764365256e-05 9.6129812600e-06 -4.6028030959e-06 1.7153649800e-06 5.0585307379e-05 8.4916990680e-06 3.0861865681e-06 2.8569983388e-05 9.0634145324e-06 1.0846343169e-05
   7 2.0110485990e-04 8.1876209410e-05 1.8693969415e-05 1.2939692952e-05 1.7255622869e-05 2.0323681971e-05 2.2012337251e-05 2.3150360962e-05 2.4113986274e-05 2.4950752794e-05 2.1561004951e-04 3.5109302306e-05 -1.7159435629e-05 1.4972846514e-06 8.0878173389e-06 1.0365034820e-05 1.1605305343e-05 1.2551604221e-05 1.3329249386e-05 2.0403298435e-04 2.5118726145e-05 -2.3147403863e-05 -2.3245096498e-06 4.8462918869e-06 7.3246314702e-06 8.5894899086e-06 9.3714304002e-06 1.8612358521e-04 2.1374899127e-05 -2.2454176697e-05 -3.0528355081e-06 3.8419298719e-06 6.2439180782e-06 7.1997748159e-06 1.5831488925e-04 1.8462475349e-05 -1.8179643930e-05 -2.0308418854e-06 3.8484315462e-06 5.5026015477e-06 1.2954960090e-04 1.5774665464e-05 -1.2350109209e-05 -1.9111329212e-07 3.8974528193e-06 9.7549860926e-05 1.3094703450e-05 -5.4123328632e-06 2.8347853960e-06 6.7011084912e-05 1.1579897830e-05 4.5553872997e-06 3.7990111426e-05 1.2327939670e-05 1.4660641132e-05
   8 2.6392733680e-04 1.1050755651e-04 2.7466758869e-05 1.8611023721e-05 2.3377129741e-05 2.7001735363e-05 2.9074587259e-05 3.0527439413e-05 3.1790122321e-05 3.2905234869e-05 2.7827633292e-04 4.9993318230e-05 -1.7634803174e-05 4.1843949950e-06 1.1717895009e-05 1.4337731569e-05 1.5854975084e-05 1.7079543235e-05 1.8125504336e-05 2.6062037487e-04 3.5047945235e-05 -2.6144691788e-05 -9.2578406627e-07 7.4276622902e-06 1.0267891002e-05 1.1781854812e-05 1.2793024831e-05 2.3705008941e-04 2.8994192928e-05 -2.6156879429e-05 -2.2244888283e-06 5.9512094592e-06 8.7333319688e-06 9.8968530767e-06 2.0159709210e-04 2.4626520866e-05 -2.1407894789e-05 -1.3054313945e-06 5.7410801270e-06 7.6976790516e-06 1.6507240847e-04 2.0868129712e-05 -1.4486183657e-05 6.9247164164e-07 5.6576309447e-06 1.2444001526e-04 1.7275607931e-05 -6.0219643372e-06 4.2947904546e-06 8.5621492443e-05 1.5254162620e-05 6.4065903548e-06 4.8722594170e-05 1.6165905826e-05 1.9098535494e-05
   9 3.3426033465e-04 1.4369007744e-04 3.7876109417e-05 2.5148355856e-05 3.0238068549e-05 3.4427948229e-05 3.6922134090e-05 3.8735007884e-05 4.0343684304e-05 4.1779809869e-05 3.4922997155e-04 6.8311640358e-05 -1.7074867540e-05 7.5618112482e-06 1.5942937247e-05 1.8920624712e-05 2.0766938363e-05 2.2329959397e-05 2.3700068883e-05 3.2396442398e-04 4.7393420189e-05 -2.8399284501e-05 1.0714499746e-06 1.0491066612e-05 1.3681919513e-05 1.5488773637e-05 1.6785926937e-05 2.9374180704e-04 3.8329335636e-05 -2.9392288867e-05 -8.9425740332e-07 8.4811670347e-06 1.1638493518e-05 1.3050961382e-05 2.4969912125e-04 3.2047257260e-05 -2.4337909438e-05 -1.6007464917e-07 8.0214074295e-06 1.0288160621e-05 2.0454566455e-04 2.6923540109e-05 -1.6376624262e-05 1.9423585732e-06 7.7832698369e-06 1.5437234717e-04 2.2227251607e-05 -6.3654199930e-06 6.1144463960e-06 1.0640012814e-04 1.9566531827e-05 8.6675460174e-06 6.0770906464e-05 2.0598875695e-05 2.4174960108e-05
  10 4.1130279717e-04 1.8128917394e-04 4.9844608099e-05 3.2459294945e-05 3.7743186799e-05 4.2510003505e-05 4.5462748993e-05 4.7677831940e-05 4.9676081053e-05 5.1472210077e-05 4.2839734842e-04 9.0171000158e-05 -1.5485552575e-05 1.1572269678e-05 2.0729366434e-05 2.4096043963e-05 2.6327778471e-05 2.8289278051e-05 3.0036639464e-05 3.9401563693e-04 6.2343267500e-05 -2.9825905020e-05 3.6439841447e-06 1.4010500136e-05 1.7553937531e-05 1.9701945690e-05 2.1343008420e-05 3.5613448555e-04 4.9565418476e-05 -3.2039443897e-05 9.3898488025e-07 1.1409242678e-05 1.4938114679e-05 1.6652395900e-05 3.0256149218e-04 4.0874803975e-05 -2.6859803124e-05 1.4039722591e-06 1.0659492474e-05 1.3263520738e-05 2.4791677244e-04 3.4041688213e-05 -1.7957556122e-05 3.5493217460e-06 1.0269898200e-05 1.8729376719e-04 2.8002970116e-05 -6.4019066268e-06 8.3033701130e-06 1.2932019347e-04 2.4560650494e-05 1.1362893577e-05 7.4142398468e-05 2.5650859910e-05 2.9904147024e-05
  11 4.9419660459e-04 2.2311652506e-04 6.3285961077e-05 4.0453420602e-05 4.5798576847e-05 5.1154626165e-05 5.4603183009e-05 5.7259897236e-05 5.9686920289e-05 6.1878745534e-05 5.1561860376e-04 1.1561561699e-04 -1.2900113715e-05 1.6151340620e-05 2.6040736192e-05 2.9842531439e-05 3.2518273195e-05 3.4936551801e-05 3.7112350298e-05 4.7070108351e-04 8.0028766606e-05 -3.0389191303e-05 6.7497716803e-06 1.7958463441e-05 2.1871783351e-05 2.4415671982e-05 2.6456985239e-05 4.2414897637e-04 6.2848274916e-05 -3.4019956994e-05 3.2575052185e-06 1.4715596505e-05 1.8623499733e-05 2.0692304744e-05 3.6011869267e-04 5.1238281420e-05 -2.8887345520e-05 3.3855856352e-06 1.3638833372e-05 1.6610294640e-05 2.9513917370e-04 4.2328855434e-05 -1.9159278552e-05 5.5032817785e-06 1.3104547494e-05 2.2318126476e-04 3.4669608800e-05 -6.1054982413e-06 1.0858529650e-05 1.5435777904e-04 3.0268664789e-05 1.4504917776e-05 8.8836380925e-05 3.1340382384e-05 3.6300061028e-05
  12 5.8206436987e-04 2.6893938944e-04 7.8108071786e-05 4.9045289284e-05 5.4315969646e-05 6.0271851092e-05 6.4251887987e-05 6.7386681593e-05 7.0277201054e-05 7.2897009899e-05 6.1064768699e-04 1.4463459182e-04 -9.3655543643e-06 2.1240205672e-05 3.1839189166e-05 3.6134327069e-05 3.9313276058e-05 4.2243308124e-05 4.4896721710e-05 5.5392233826e-04 1.0054176125e-04 -3.0087609638e-05 1.0339063916e-05 2.2307013107e-05 2.6622576554e-05 2.9620397580e-05 3.2118316578e-05 4.9769432671e-04 7.8290523966e-05 -3.5291296545e-05 6.0305328377e-06 1.8377395484e-05 2.2684920535e-05 2.5164840316e-05 4.2229720716e-04 6.3243627377e-05 -3.0364875417e-05 5.7690994880e-06 1.6946712577e-05 2.0320292202e-05 3.4615941356e-04 5.1873492491e-05 -1.9929365856e-05 7.8016854988e-06 1.6277314445e-05 2.6201095973e-04 4.2301530080e-05 -5.4444705285e-06 1.3775189168e-05 1.8151032102e-04 3.6725791454e-05 1.8100032484e-05 1.0485321389e-04 3.7678441866e-05 4.3371445904e-05
  13 6.7403991540e-04 3.1848934549e-04 9.4215359923e-05 5.8154902900e-05 6.3213935683e-05 6.9777657565e-05 7.4321446900e-05 7.7967020059e-05 8.1352260434e-05 8.4428349280e-05 7.1315846951e-04 1.7716792392e-04 -4.9378919209e-06 2.6786567958e-05 3.8089766516e-05 4.2940321676e-05 4.6681964362e-05 5.0175396035e-05 5.3352458259e-05 6.4354755727e-04 1.2393936364e-04 -2.8937215328e-05 1.4361352245e-05 2.7029014625e-05 3.1793131812e-05 3.5303741456e-05 3.8312874966e-05 5.7667233956e-04 9.5977795072e-05 -3.5837575062e-05 9.2214616517e-06 2.2372273373e-05 2.7111718157e-05 3.0062081611e-05 4.8901693307e-04 7.6976828198e-05 -3.1259664439e-05 8.5310927223e-06 2.0565250870e-05 2.4386470984e-05 4.0092008267e-04 6.2749104254e-05 -2.0237860704e-05 1.0432500221e-05 1.9781678095e-05 3.0375069819e-04 5.0955880229e-05 -4.3917987593e-06 1.7051601109e-05 2.1077716485e-04 4.3974903291e-05 2.2156385955e-05 1.2220147212e-04 4.4676941279e-05 5.1124278745e-05
  14 7.6929211775e-04 3.7147022832e-04 1.1151098939e-04 6.7708148000e-05 7.2418100951e-05 7.9594758700e-05 8.4730292233e-05 8.8915481506e-05 9.2823229899e-05 9.6379843406e-05 8.2275348295e-04 2.1311408728e-04 3.2177381954e-07 3.2741469081e-05 4.4759793411e-05 5.0226480863e-05 5.4587957820e-05 5.8693501443e-05 6.2436946511e-05 7.3940968708e-04 1.5024034897e-04 -2.6963024605e-05 1.8770106781e-05 3.2100196397e-05 3.7367571457e-05 4.1451088777e-05 4.5023016389e-05 6.6097744114e-04 1.1597154704e-04 -3.5658239385e-05 1.2789860888e-05 2.6680308506e-05 3.1893774686e-05 3.5373377551e-05 5.6019616200e-04 9.2503533919e-05 -3.1555303592e-05 1.1644050735e-05 2.4478283063e-05 2.8799065001e-05 4.5936186438e-04 7.5015192814e-05 -2.0066081935e-05 1.3376476646e-05 2.3608686438e-05 3.4836813171e-04 6.0677574268e-05 -2.9376268169e-06 2.0684497372e-05 2.4214600209e-04 5.2050455093e-05 2.6681870330e-05 1.4089471613e-04 5.2350113308e-05 5.9566652057e-05
  15 8.6704291057e-04 4.2756540448e-04 1.2989855783e-04 7.7637274936e-05 8.1861302984e-05 8.9652753694e-05 9.5403928501e-05 1.0015403783e-04 1.0460771356e-04 1.0866558430e-04 9.3897344360e-04 2.5233798771e-04 6.3488256319e-06 3.9060312291e-05 5.1814306195e-05 5.7958233587e-05 6.2990031237e-05 6.7753983697e-05 7.2103304777e-05 8.4130426844e-04 1.7943159535e-04 -2.4202122683e-05 2.3527429351e-05 3.7497826735e-05 4.3328909964e-05 4.8044697793e-05 5.2228359475e-05 7.5048504276e-04 1.3831470006e-04 -3.4765639702e-05 1.6698811608e-05 3.1281714209e-05 3.7020283223e-05 4.1086945457e-05 6.3574719098e-04 1.0987649491e-04 -3.1250275828e-05 1.5079753634e-05 2.8671279346e-05 3.3547458341e-05 5.2142043462e-04 8.8720309359e-05 -1.9407308566e-05 1.6615564122e-05 2.7746661295e-05 3.9582669857e-04 7.1506099559e-05 -1.0794792817e-06 2.4665519462e-05 2.7560333170e-04 6.0973227976e-05 3.1679215643e-05 1.6093966147e-04 6.0709865067e-05 6.8707589494e-05
