# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.5402144271e-05 4.6413736247e-06 -1.5551310506e-06 -1.6424743605e-06 -8.6185265835e-07 -3.9628003721e-07 -1.8433653274e-07 -8.7211246844e-08 -4.0156982858e-08 -2.1691126718e-08 2.2750896010e-05 1.6489161039e-06 -4.4246139128e-06 -1.8358772722e-06 -7.6259906943e-07 -3.5869166599e-07 -1.7408850839e-07 -8.2300457541e-08 -4.9049977122e-08 2.2521231091e-05 1.6767884878e-06 -4.2662411873e-06 -1.7602955938e-06 -7.3400820176e-07 -3.3584448142e-07 -1.5595475730e-07 -9.4156537976e-08 2.0609140812e-05 1.7116143103e-06 -3.6984725276e-06 -1.5123103392e-06 -6.0968391992e-07 -2.6613080532e-07 -1.5808215907e-07 1.7409063074e-05 1.5532866302e-06 -2.9384945348e-06 -1.1809165140e-06 -4.5595886778e-07 -2.4821252343e-07 1.4103257311e-05 1.2978124057e-06 -2.1371368699e-06 -8.3664854030e-07 -3.5650928823e-07 1.0460300834e-05 9.8389884980e-07 -1.2862638706e-06 -4.0529952666e-07 7.0037024580e-06 7.7335069898e-07 -1.3292298264e-07 3.7252890269e-06 7.9934377626e-07 1.0481174851e-06
   3 3.2935615161e-05 1.0372257639e-05 -2.3041994901e-06 -2.7847392985e-06 -1.4403887159e-06 -6.3722163617e-07 -2.8415607367e-07 -1.3049183458e-07 -6.2898638897e-08 -4.0652416142e-08 4.5119623523e-05 3.6514986496e-06 -8.2321585399e-06 -3.2452341948e-06 -1.2639303408e-06 -5.6375310572e-07 -2.6460925233e-07 -1.2540338741e-07 -7.8302110368e-08 4.4435463467e-05 3.3737765875e-06 -8.1916351450e-06 -3.2417443241e-06 -1.2872562686e-06 -5.6651539951e-07 -2.5656643822e-07 -1.5655716680e-07 4.0698892513e-05 3.3475113929e-06 -7.2133318000e-06 -2.8567082780e-06 -1.1075401942e-06 -4.6680929378e-07 -2.7809089052e-07 3.4414795364e-05 3.0080036623e-06 -5.7813967007e-06 -2.2617751046e-06 -8.4490723807e-07 -4.5747797079e-07 2.7901036499e-05 2.5071670976e-06 -4.2226163371e-06 -1.6169369471e-06 -6.7949842677e-07 2.0704890277e-05 1.9003427189e-06 -2.5496364931e-06 -7.9081050887e-07 1.3861744934e-05 1.4979718597e-06 -2.7003427283e-07 7.3634152442e-06 1.5658752739e-06 2.0625335333e-06
   4 5.8227106851e-05 1.9184782111e-05 -2.4631557550e-06 -3.7906707413e-06 -1.9205090304e-06 -8.0289270937e-07 -3.3612506275e-07 -1.4241051974e-07 -6.0335005883e-08 -3.9941643692e-08 7.4802005923e-05 7.0029857198e-06 -1.2466155918e-05 -4.6181187819e-06 -1.6581049194e-06 -6.8701624136e-07 -2.9824006601e-07 -1.2930945369e-07 -8.2719799688e-08 7.3133996524e-05 5.8642552944e-06 -1.2888831610e-05 -4.8341709206e-06 -1.7890792382e-06 -7.3405086317e-07 -3.1282173141e-07 -1.9214332686e-07 6.6964281356e-05 5.5824272798e-06 -1.1550139843e-05 -4.3701808174e-06 -1.5953661199e-06 -6.3607488199e-07 -3.7712998437e-07 5.6683459490e-05 4.9505053307e-06 -9.3448010932e-06 -3.5174701067e-06 -1.2493028474e-06 -6.6488714765e-07 4.5997289059e-05 4.1018610095e-06 -6.8616414354e-06 -2.5390837106e-06 -1.0347116183e-06 3.4151590510e-05 3.1063763245e-06 -4.1451617588e-06 -1.2379848518e-06 2.2873116030e-05 2.4598137682e-06 -4.1256399636e-07 1.2150030905e-05 2.5889868738e-06 3.4097439473e-06
   5 9.1751694201e-05 3.1526503386e-05 -1.8129747522e-06 -4.5792309172e-06 -2.2768842151e-06 -8.8564434379e-07 -3.4283683462e-07 -1.3691383220e-07 -5.2766067650e-08 -3.2447413139e-08 1.1191711713e-04 1.2162484789e-05 -1.6714783007e-05 -5.7694576185e-06 -1.8758193198e-06 -7.1609215306e-07 -2.9137394938e-07 -1.1483549707e-07 -7.0671713641e-08 1.0848654433e-04 9.4473410117e-06 -1.7985677716e-05 -6.3486250695e-06 -2.1706774234e-06 -8.2343177452e-07 -3.2249491975e-07 -1.9787848177e-07 9.9228061954e-05 8.5706557052e-06 -1.6453279821e-05 -5.9071623104e-06 -2.0047888262e-06 -7.4124716330e-07 -4.3945054407e-07 8.4034549718e-05 7.4551709888e-06 -1.3447108165e-05 -4.8261690951e-06 -1.6080774827e-06 -8.4134598657e-07 6.8252434042e-05 6.1388158043e-06 -9.9191696383e-06 -3.5201639303e-06 -1.3808791577e-06 5.0716979561e-05 4.6433457499e-06 -5.9902668492e-06 -1.6989281643e-06 3.3986803300e-05 3.6859218189e-06 -5.1839662236e-07 1.8068055129e-05 3.8905247872e-06 5.1038751664e-06
   6 1.3360204989e-04 4.7727954861e-05 -2.0185274802e-07 -5.1285490780e-06 -2.5377819049e-06 -9.1447312838e-07 -3.1818595853e-07 -1.1674459116e-07 -4.3477366201e-08 -2.6206719307e-08 1.5667726174e-04 1.9556085635e-05 -2.0712185568e-05 -6.6524278045e-06 -1.9275836418e-06 -6.5918519433e-07 -2.4851435798e-07 -9.4759311879e-08 -5.7311868505e-08 1.5039032980e-04 1.4406455686e-05 -2.3171941567e-05 -7.6494736336e-06 -2.3873123909e-06 -8.3252749605e-07 -3.0471316153e-07 -1.8739415059e-07 1.3734037444e-04 1.2517853427e-05 -2.1648619354e-05 -7.3386077885e-06 -2.3033296446e-06 -7.8792249756e-07 -4.6759810054e-07 1.1634439943e-04 1.0651589983e-05 -1.7901046632e-05 -6.1021580022e-06 -1.8930680674e-06 -9.7264616349e-07 9.4549698202e-05 8.6861041065e-06 -1.3267887640e-05 -4.4907269813e-06 -1.6857197310e-06 7.0317759142e-05 6.5681983948e-06 -7.9939886231e-06 -2.1282934605e-06 4.7167101485e-05 5.2217134401e-06 -5.4277711866e-07 2.5111090175e-05 5.4972281972e-06 7.1637220821e-06
   7 1.8355261045e-04 6.7979058375e-05 2.4730757723e-06 -5.4183031169e-06 -2.7235180806e-06 -9.1904152556e-07 -2.8465132649e-07 -9.1683491746e-08 -3.1620226634e-08 -2.0888911993e-08 2.0928243873e-04 2.9582809538e-05 -2.4260333433e-05 -7.2785871385e-06 -1.8724218784e-06 -5.6176888764e-07 -1.8655538831e-07 -6.7287056360e-08 -4.5022570522e-08 1.9882113706e-04 2.1026737182e-05 -2.8225048769e-05 -8.6982698632e-06 -2.4515106284e-06 -7.6937854051e-07 -2.6109518020e-07 -1.7003061576e-07 1.8116079139e-04 1.7607101388e-05 -2.6916582373e-05 -8.5774406748e-06 -2.4660403351e-06 -7.7887365643e-07 -4.7228422921e-07 1.5348994594e-04 1.4686464714e-05 -2.2512241508e-05 -7.2641544630e-06 -2.0945153965e-06 -1.0610588912e-06 1.2481040156e-04 1.1853132728e-05 -1.6779499376e-05 -5.4071302766e-06 -1.9343242035e-06 9.2893036570e-05 8.9421856147e-06 -1.0079012296e-05 -2.4915076672e-06 6.2378154338e-05 7.1140323864e-06 -4.4146355354e-07 3.3282179807e-05 7.4416152508e-06 9.6113329981e-06
   8 2.4114710583e-04 9.2352061116e-05 6.2593948171e-06 -5.4395156235e-06 -2.8406488294e-06 -9.1064431897e-07 -2.5354408881e-07 -7.0361167752e-08 -2.1139991107e-08 -1.5859411315e-08 2.6983657788e-04 4.2544819246e-05 -2.7224130347e-05 -7.6656010642e-06 -1.7516153499e-06 -4.5947844194e-07 -1.3022476817e-07 -4.0794433142e-08 -3.2667425156e-08 2.5379162989e-04 2.9602086700e-05 -3.2953804674e-05 -9.4914610897e-06 -2.4103620277e-06 -6.7049634858e-07 -2.0286236686e-07 -1.4606413851e-07 2.3060904331e-04 2.4034059713e-05 -3.2091309203e-05 -9.6018876952e-06 -2.5103917267e-06 -7.1953611805e-07 -4.5594788902e-07 1.9535463723e-04 1.9685707569e-05 -2.7136579107e-05 -8.2637557743e-06 -2.2005753673e-06 -1.1073867536e-06 1.5894205493e-04 1.5746504303e-05 -2.0324602872e-05 -6.2266483618e-06 -2.1184344181e-06 1.1840640167e-04 1.1852300145e-05 -1.2169520860e-05 -2.7652569048e-06 7.9601237377e-05 9.4121156059e-06 -1.7934206180e-07 4.2582167893e-05 9.7545754411e-06 1.2470575654e-05
   9 3.0576964013e-04 1.2083660724e-04 1.1168935421e-05 -5.1984510360e-06 -2.8963444732e-06 -8.9238728104e-07 -2.2663875992e-07 -5.4257928859e-08 -1.3934372475e-08 -1.1954400212e-08 3.3835228884e-04 5.8634534336e-05 -2.9544116930e-05 -7.8447736904e-06 -1.5912244770e-06 -3.6431341835e-07 -8.7050209520e-08 -2.2471382687e-08 -2.2745368428e-08 3.1529008531e-04 4.0384033338e-05 -3.7212081429e-05 -1.0030515977e-05 -2.2947037096e-06 -5.6561685208e-07 -1.4874777311e-07 -1.2046800899e-07 2.8563197673e-04 3.2009544714e-05 -3.7018258599e-05 -1.0407742109e-05 -2.4715262947e-06 -6.3686279878e-07 -4.2382116816e-07 2.4186796353e-04 2.5789005353e-05 -3.1658289287e-05 -9.0972767514e-06 -2.2269318350e-06 -1.1130887739e-06 1.9686403948e-04 2.0453759399e-05 -2.3816513555e-05 -6.9253505937e-06 -2.2298802299e-06 1.4680302232e-04 1.5377310464e-05 -1.4192056346e-05 -2.9266244504e-06 9.8831742060e-05 1.2176634553e-05 2.7789676959e-07 5.3024059157e-05 1.2465387130e-05 1.5763423088e-05
  10 3.7669843535e-04 1.5335773322e-04 1.7196123696e-05 -4.7067628993e-06 -2.9003915340e-06 -8.6694215714e-07 -2.0327007419e-07 -4.2455920419e-08 -9.0659202476e-09 -9.3655555484e-09 4.1476137241e-04 7.7965431882e-05 -3.1214558270e-05 -7.8599023839e-06 -1.4119751246e-06 -2.8129186329e-07 -5.5298837716e-08 -1.1189475165e-08 -1.6257883163e-08 3.8327003900e-04 5.3563063583e-05 -4.0912017929e-05 -1.0336481460e-05 -2.1260406854e-06 -4.6418518365e-07 -1.0587561985e-07 -9.8909477642e-08 3.4616765569e-04 4.1718120001e-05 -4.1573448134e-05 -1.0990730588e-05 -2.3720720634e-06 -5.5041992291e-07 -3.8676524876e-07 2.9297523926e-04 3.3149479613e-05 -3.5967306263e-05 -9.7628161343e-06 -2.2006743793e-06 -1.0894200476e-06 2.3852615119e-04 2.6079641809e-05 -2.7184994432e-05 -7.5098399755e-06 -2.2716639813e-06 1.7803918446e-04 1.9576880735e-05 -1.6100697729e-05 -2.9615973682e-06 1.2005072042e-04 1.5460955904e-05 9.6206295715e-07 6.4625861773e-05 1.5607250816e-05 1.9513145164e-05
  11 4.5314945851e-04 1.8978449787e-04 2.4324721260e-05 -3.9754314830e-06 -2.8613850480e-06 -8.3753793301e-07 -1.8259266498e-07 -3.3898382638e-08 -5.7765102912e-09 -7.6367502442e-09 4.9891231188e-04 1.0059181521e-04 -3.2253660495e-05 -7.7571132949e-06 -1.2303016248e-06 -2.1170101027e-07 -3.3544238327e-08 -4.0881809303e-09 -1.2161515621e-08 4.5766156700e-04 6.9274442084e-05 -4.4010885357e-05 -1.0444636649e-05 -1.9267887170e-06 -3.7059550638e-07 -7.3013048156e-08 -8.1895731488e-08 4.1214283056e-04 5.3308384810e-05 -4.5676437858e-05 -1.1363233127e-05 -2.2263506948e-06 -4.6674145300e-07 -3.5031931690e-07 3.4861371944e-04 4.1900223450e-05 -3.9971809068e-05 -1.0259554286e-05 -2.1345039260e-06 -1.0472908676e-06 2.8388906207e-04 3.2732307144e-05 -3.0357123086e-05 -7.9840557603e-06 -2.2538382933e-06 2.1209615850e-04 2.4525342885e-05 -1.7863946641e-05 -2.8686742305e-06 1.4324244868e-04 1.9303709670e-05 1.8924091876e-06 7.7396995598e-05 1.9207933340e-05 2.3743519739e-05
