# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.6750004341e-05 5.6437816276e-06 -4.1715406232e-07 -3.6215861069e-07 5.2392028472e-07 1.0680341846e-06 1.3443724446e-06 1.4994123889e-06 1.6025527975e-06 1.6733849129e-06 2.3330037227e-05 1.9891427362e-06 -4.0028952214e-06 -1.2906163187e-06 -1.5411916293e-07 2.9729926530e-07 5.2474810794e-07 6.5835571282e-07 7.3092523149e-07 2.3098534428e-05 1.9594604534e-06 -3.9363729169e-06 -1.3250478032e-06 -2.5066087551e-07 1.8402211713e-07 3.9888559445e-07 4.9385165710e-07 2.1188109681e-05 1.9954523138e-06 -3.3843725024e-06 -1.1085524558e-06 -1.6594251931e-07 2.0917263730e-07 3.4656254067e-07 1.7964864177e-05 1.8533398287e-06 -2.6148168397e-06 -7.8334684750e-07 -2.3613772215e-08 2.1099891319e-07 1.4628573529e-05 1.6190122562e-06 -1.7929437694e-06 -4.3434739203e-07 7.4158993791e-08 1.0944835775e-05 1.3285350310e-06 -9.1622574994e-07 5.7208037836e-09 7.4507771767e-06 1.1448363542e-06 2.6625332164e-07 4.1432062391e-06 1.2009976430e-06 1.4612744769e-06
   3 3.6108633531e-05 1.2732894151e-05 3.9170936791e-07 2.5292652890e-07 1.8522911564e-06 2.8479783411e-06 3.3595530859e-06 3.6549021633e-06 3.8578821318e-06 4.0044769260e-06 4.6383337892e-05 4.4496967534e-06 -7.2252071296e-06 -1.9479169531e-06 1.9732920935e-07 1.0245070003e-06 1.4373266661e-06 1.6857262648e-06 1.8334983688e-06 4.5642305647e-05 4.0049580764e-06 -7.4370126120e-06 -2.2460106241e-06 -1.6646042985e-07 6.5389094433e-07 1.0586621430e-06 1.2465262428e-06 4.1896001810e-05 3.9653381308e-06 -6.5139228799e-06 -1.9541809501e-06 -1.0065865549e-07 6.2699134249e-07 8.9520532958e-07 3.5562826808e-05 3.6541140701e-06 -5.0704508661e-06 -1.3823153516e-06 1.2606124231e-07 5.8722658798e-07 2.8990758441e-05 3.1979954338e-06 -3.4699769827e-06 -7.2908442478e-07 2.8404011214e-07 2.1719588416e-05 2.6441575531e-06 -1.7401257131e-06 1.1798730951e-07 1.4809691585e-05 2.3035940847e-06 6.0565042465e-07 8.2626566717e-06 2.4425954331e-06 2.9664184607e-06
   4 6.4104207412e-05 2.3560392950e-05 2.5432290504e-06 1.8579420312e-06 4.2094805404e-06 5.6926176854e-06 6.4612722382e-06 6.9252223109e-06 7.2651915665e-06 7.5208309992e-06 7.7078547238e-05 8.5178156553e-06 -1.0542135452e-05 -2.1527205824e-06 1.1301139364e-06 2.3554626141e-06 2.9718342641e-06 3.3582431869e-06 3.6031584395e-06 7.5230697618e-05 7.0212806502e-06 -1.1484909580e-05 -2.9858588769e-06 3.0827294164e-07 1.5666052496e-06 2.1805986400e-06 2.4776520324e-06 6.9021121043e-05 6.6913293150e-06 -1.0274093474e-05 -2.7212957111e-06 2.6242976840e-07 1.4005700599e-06 1.8216847922e-06 5.8652542598e-05 6.0975454923e-06 -8.0640198171e-06 -1.9256058903e-06 5.2758943202e-07 1.2642533765e-06 4.7869275741e-05 5.3221202224e-06 -5.5146923889e-06 -9.3758845447e-07 7.2147709744e-07 3.5903692321e-05 4.4203563105e-06 -2.6979897593e-06 4.0132971457e-07 2.4524161568e-05 3.8878565275e-06 1.1552656526e-06 1.3734270380e-05 4.1513448075e-06 5.0231996524e-06
   5 1.0122653250e-04 3.8588904255e-05 6.2617034362e-06 4.5425084333e-06 7.6356550265e-06 9.6300972675e-06 1.0671472448e-05 1.1323881423e-05 1.1834812518e-05 1.2244608432e-05 1.1557601528e-04 1.4688039344e-05 -1.3502277461e-05 -1.6734079212e-06 2.7662975209e-06 4.3595838988e-06 5.1725178407e-06 5.7205165032e-06 6.1031468719e-06 1.1175195472e-04 1.1329445202e-05 -1.5681321267e-05 -3.3247715601e-06 1.2773570141e-06 2.9764172415e-06 3.8112996673e-06 4.2401971816e-06 1.0239700526e-04 1.0341962121e-05 -1.4390853065e-05 -3.2416336305e-06 1.0192866993e-06 2.5953035154e-06 3.1793730148e-06 8.7060862718e-05 9.2692103742e-06 -1.1398185200e-05 -2.2710935840e-06 1.2670834797e-06 2.3009896559e-06 7.1131907088e-05 8.0588717233e-06 -7.7778617391e-06 -9.5862920928e-07 1.4510926758e-06 5.3420636124e-05 6.7068039690e-06 -3.6954186347e-06 9.2083053981e-07 3.6547729398e-05 5.9310891692e-06 1.9689435890e-06 2.0545503130e-05 6.3574127260e-06 7.6549882432e-06
   6 1.4752417065e-04 5.8123730120e-05 1.1660844359e-05 8.2875284732e-06 1.2062751309e-05 1.4594646386e-05 1.5942864269e-05 1.6817383303e-05 1.7534185116e-05 1.8139598105e-05 1.6211613673e-04 2.3405582720e-05 -1.5824493541e-05 -4.4475791168e-07 5.1201331188e-06 7.0595877246e-06 8.0702761421e-06 8.7981418892e-06 9.3600293677e-06 1.5510999517e-04 1.7219914984e-05 -1.9706549427e-05 -3.1131842273e-06 2.8042229266e-06 4.9074916000e-06 5.9563583522e-06 6.5492056678e-06 1.4187216051e-04 1.5125038647e-05 -1.8584724494e-05 -3.3779516632e-06 2.2134323658e-06 4.2196745598e-06 4.9839034225e-06 1.2066006431e-04 1.3297747629e-05 -1.4883911112e-05 -2.3285270042e-06 2.3808233288e-06 3.7236207680e-06 9.8656642975e-05 1.1474178082e-05 -1.0130917498e-05 -7.1802231561e-07 2.5133769431e-06 7.4183085023e-05 9.5593512540e-06 -4.6396475440e-06 1.7267241322e-06 5.0841737706e-05 8.4768918848e-06 3.0924495857e-06 2.8685306753e-05 9.0847687725e-06 1.0877442416e-05
   7 2.0271063389e-04 8.2317360048e-05 1.8792261048e-05 1.3056988358e-05 1.7411854675e-05 2.0497103521e-05 2.2193691040e-05 2.3337561767e-05 2.4306591891e-05 2.5148407472e-05 2.1692432426e-04 3.5088245691e-05 -1.7298955755e-05 1.5321270337e-06 8.1452475118e-06 1.0426662490e-05 1.1669630371e-05 1.2618401878e-05 1.3399008219e-05 2.0529364892e-04 2.4988000159e-05 -2.3331144598e-05 -2.3047025993e-06 4.8888665087e-06 7.3693742688e-06 8.6355429967e-06 9.4188313048e-06 1.8730719407e-04 2.1225555734e-05 -2.2633160663e-05 -3.0371950095e-06 3.8797243056e-06 6.2836198175e-06 7.2393980337e-06 1.5932299611e-04 1.8328591371e-05 -1.8325798678e-05 -2.0133797485e-06 3.8840008227e-06 5.5377298111e-06 1.3035938796e-04 1.5674440126e-05 -1.2446741192e-05 -1.7120311237e-07 3.9268580270e-06 9.8124169016e-05 1.3035473511e-05 -5.4544836048e-06 2.8550939910e-06 6.7365622109e-05 1.1569824555e-05 4.5699890343e-06 3.8153651594e-05 1.2363763382e-05 1.4709159227e-05
   8 2.6625593469e-04 1.1119425566e-04 2.7640265427e-05 1.8790294367e-05 2.3603621576e-05 2.7250924210e-05 2.9335374947e-05 3.0797053796e-05 3.2068400515e-05 3.3191144461e-05 2.8012115800e-04 5.0049099282e-05 -1.7786188907e-05 4.2426667133e-06 1.1803968847e-05 1.4429742293e-05 1.5952221371e-05 1.7182013839e-05 1.8232595388e-05 2.6232771353e-04 3.4938447245e-05 -2.6357855848e-05 -8.9163489854e-07 7.4895931693e-06 1.0334187805e-05 1.1850537690e-05 1.2864751901e-05 2.3862689081e-04 2.8843405133e-05 -2.6368979312e-05 -2.1961080308e-06 6.0055956634e-06 8.7910049925e-06 9.9554201716e-06 2.0293071402e-04 2.4485753336e-05 -2.1581386057e-05 -1.2765400718e-06 5.7926542868e-06 7.7488243080e-06 1.6614118619e-04 2.0761757865e-05 -1.4598654666e-05 7.2384856536e-07 5.7009078664e-06 1.2520019602e-04 1.7216544815e-05 -6.0682361513e-06 4.3269649368e-06 8.6093034268e-05 1.5253154067e-05 6.4328962422e-06 4.8945243664e-05 1.6221068669e-05 1.9169655751e-05
   9 3.3746381732e-04 1.4469105460e-04 3.8147010231e-05 2.5403416021e-05 3.0548799341e-05 3.4767794205e-05 3.7278106842e-05 3.9103711655e-05 4.0724604689e-05 4.2171884307e-05 3.5172918774e-04 6.8483964458e-05 -1.7230966746e-05 7.6501043881e-06 1.6065391868e-05 1.9052281468e-05 2.0906050789e-05 2.2477658397e-05 2.3855105092e-05 3.2620788824e-04 4.7329453786e-05 -2.8638121372e-05 1.1256497215e-06 1.0576976136e-05 1.3774412978e-05 1.5586667517e-05 1.6888680071e-05 2.9578264454e-04 3.8194567439e-05 -2.9635911586e-05 -8.5062991576e-07 8.5565951761e-06 1.1718249932e-05 1.3133575755e-05 2.5141350163e-04 3.1909371677e-05 -2.4536900051e-05 -1.1647223889e-07 8.0918763077e-06 1.0359661639e-05 2.0591703830e-04 2.6819207231e-05 -1.6504498179e-05 1.9887434810e-06 7.8441351712e-06 1.5534846106e-04 2.2174642623e-05 -6.4126586551e-06 6.1618827198e-06 1.0701075858e-04 1.9579985759e-05 8.7093784988e-06 6.1064347585e-05 2.0678729283e-05 2.4274376871e-05
  10 4.1553053133e-04 1.8267825487e-04 5.0235847478e-05 3.2804174116e-05 3.8151492669e-05 4.2954993339e-05 4.5929146828e-05 4.8161884841e-05 5.0176471357e-05 5.1987942342e-05 4.3168506253e-04 9.0505067452e-05 -1.5637840038e-05 1.1698027408e-05 2.0896120221e-05 2.4276457763e-05 2.6519629807e-05 2.8492594800e-05 3.0251155892e-05 3.9689222302e-04 6.2354190319e-05 -3.0086446512e-05 3.7227689240e-06 1.4126980749e-05 1.7678605294e-05 1.9835127910e-05 2.1484080546e-05 3.5871414600e-04 4.9466109400e-05 -3.2310284333e-05 1.0020677348e-06 1.1508807935e-05 1.5045253205e-05 1.6764254566e-05 3.0471698307e-04 4.0753889363e-05 -2.7083533467e-05 1.4660796838e-06 1.0752602625e-05 1.3359545902e-05 2.4963493333e-04 3.3949496123e-05 -1.8098169394e-05 3.6128393059e-06 1.0352261192e-05 1.8851966188e-04 2.7963288053e-05 -6.4479030201e-06 8.3699807828e-06 1.3009128805e-04 2.4595695218e-05 1.1424688427e-05 7.4519619440e-05 2.5761438636e-05 3.0038076412e-05
  11 4.9959185964e-04 2.2497096320e-04 6.3821056783e-05 4.0901956414e-05 4.6317063397e-05 5.1718557634e-05 5.5194732699e-05 5.7874443080e-05 6.0323099100e-05 6.2534907159e-05 5.1983708589e-04 1.1616188431e-04 -1.3039401325e-05 1.6322487116e-05 2.6260741565e-05 3.0081052649e-05 3.2773379450e-05 3.5207537543e-05 3.7398452447e-05 4.7431400114e-04 8.0148532749e-05 -3.0665515650e-05 6.8574002869e-06 1.8110663279e-05 2.2036264724e-05 2.4591103502e-05 2.6644249241e-05 4.2734824586e-04 6.2806626200e-05 -3.4315107148e-05 3.3453909600e-06 1.4844366653e-05 1.8762386628e-05 2.0839242608e-05 3.6277662781e-04 5.1151761561e-05 -2.9132021247e-05 3.4684643450e-06 1.3758926046e-05 1.6735165518e-05 2.9725332359e-04 4.2259287895e-05 -1.9310113355e-05 5.5879063813e-06 1.3212015382e-05 2.2469161686e-04 3.4652753057e-05 -6.1481400451e-06 1.0948059034e-05 1.5531223659e-04 3.0331506611e-05 1.4591365356e-05 8.9311419194e-05 3.1488352144e-05 3.6475301287e-05
