# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.6766544715e-05 5.6655172287e-06 -4.0355144830e-07 -3.5860044332e-07 5.2314536527e-07 1.0663556831e-06 1.3428222376e-06 1.4981277949e-06 1.6014586950e-06 1.6723986122e-06 2.3306588292e-05 2.0257357723e-06 -3.9827718932e-06 -1.2895431593e-06 -1.5504958725e-07 2.9667862129e-07 5.2457814119e-07 6.5856181370e-07 7.3143968340e-07 2.3051922784e-05 1.9946091422e-06 -3.9144149215e-06 -1.3238992643e-06 -2.5193088199e-07 1.8296339469e-07 3.9829803423e-07 4.9367551985e-07 2.1133359721e-05 2.0255601151e-06 -3.3640149636e-06 -1.1074710334e-06 -1.6725267953e-07 2.0811741311e-07 3.4595679266e-07 1.7914040692e-05 1.8775885694e-06 -2.5981767580e-06 -7.8255528464e-07 -2.4743585038e-08 2.1028037689e-07 1.4586118403e-05 1.6374272922e-06 -1.7811018356e-06 -4.3392177473e-07 7.3863947591e-08 1.0915259566e-05 1.3411994972e-06 -9.0947180793e-07 6.5922011697e-09 7.4339139719e-06 1.1516808808e-06 2.6855671479e-07 4.1376897725e-06 1.2027812309e-06 1.4618844162e-06
   3 3.6093467431e-05 1.2757597989e-05 4.0920500629e-07 2.5294031490e-07 1.8441033356e-06 2.8377310898e-06 3.3492007178e-06 3.6448017831e-06 3.8480075636e-06 3.9946140662e-06 4.6318826832e-05 4.5130043273e-06 -7.1890810703e-06 -1.9480756731e-06 1.9329156062e-07 1.0211516583e-06 1.4348178318e-06 1.6837901464e-06 1.8318676596e-06 4.5538631702e-05 4.0678999528e-06 -7.3969008856e-06 -2.2456517859e-06 -1.7044952005e-07 6.5037266765e-07 1.0559206560e-06 1.2443288640e-06 4.1778901783e-05 4.0200475199e-06 -6.4762811110e-06 -1.9537915466e-06 -1.0463641482e-07 6.2328560664e-07 8.9241032689e-07 3.5455670352e-05 3.6982680817e-06 -5.0397475769e-06 -1.3827269411e-06 1.2216946722e-07 5.8427139905e-07 2.8901552339e-05 3.2309469797e-06 -3.4489193057e-06 -7.3006575942e-07 2.8182595360e-07 2.1656512153e-05 2.6662861840e-06 -1.7288205479e-06 1.1789040553e-07 1.4772760037e-05 2.3146587419e-06 6.0813255968e-07 8.2488849663e-06 2.4438360696e-06 2.9653809105e-06
   4 6.4003008660e-05 2.3572238196e-05 2.5583783273e-06 1.8480536665e-06 4.1868514198e-06 5.6663575344e-06 6.4342181241e-06 6.8978754369e-06 7.2376325744e-06 7.4929967982e-06 7.6939135150e-05 8.6062666363e-06 -1.0488156814e-05 -2.1557168398e-06 1.1211347045e-06 2.3468946450e-06 2.9641187453e-06 3.3511294819e-06 3.5963900840e-06 7.5039547310e-05 7.1144471151e-06 -1.1422987085e-05 -2.9877734779e-06 2.9973448619e-07 1.5587452552e-06 2.1739169393e-06 2.4716040799e-06 6.8813694024e-05 6.7731640077e-06 -1.0215886238e-05 -2.7229739779e-06 2.5411720038e-07 1.3929971508e-06 1.8151200495e-06 5.8464742417e-05 6.1639768101e-06 -8.0167051430e-06 -1.9279794618e-06 5.1958200376e-07 1.2575369368e-06 4.7713412777e-05 5.3718862097e-06 -5.4826015151e-06 -9.4123910954e-07 7.1587360129e-07 3.5793091779e-05 4.4527481340e-06 -2.6819968038e-06 3.9895981546e-07 2.4457848019e-05 3.9025439502e-06 1.1567617102e-06 1.3707517970e-05 4.1503362917e-06 5.0184229216e-06
   5 1.0096855986e-04 3.8565114005e-05 6.2661431201e-06 4.5148321625e-06 7.5895558359e-06 9.5783915094e-06 1.0617957342e-05 1.1269196220e-05 1.1779002912e-05 1.2187652663e-05 1.1531850352e-04 1.4794518989e-05 -1.3430191721e-05 -1.6821435979e-06 2.7491074319e-06 4.3428894495e-06 5.1561447954e-06 5.7041412750e-06 6.0866586264e-06 1.1143723045e-04 1.1450580625e-05 -1.5595487257e-05 -3.3299622474e-06 1.2624001983e-06 2.9620948973e-06 3.7978834538e-06 4.2274290466e-06 1.0206726989e-04 1.0451686914e-05 -1.4309541985e-05 -3.2466412092e-06 1.0046962193e-06 2.5814328080e-06 3.1669448342e-06 8.6765460261e-05 9.3586480795e-06 -1.1332332267e-05 -2.2775799069e-06 1.2531711494e-06 2.2887521892e-06 7.0887678135e-05 8.1249835499e-06 -7.7337869350e-06 -9.6620423030e-07 1.4405348278e-06 5.3246584711e-05 6.7493978652e-06 -3.6746713231e-06 9.1467515045e-07 3.6441967629e-05 5.9483400313e-06 1.9678741914e-06 2.0500100448e-05 6.3519293171e-06 7.6439283768e-06
   6 1.4702632162e-04 5.8034550012e-05 1.1644032779e-05 8.2337669406e-06 1.1983486867e-05 1.4506876916e-05 1.5851840798e-05 1.6723910477e-05 1.7438248057e-05 1.8041320813e-05 1.6168765982e-04 2.3518913363e-05 -1.5735672846e-05 -4.6232680425e-07 5.0906135657e-06 7.0297330698e-06 8.0406104247e-06 8.7675481029e-06 9.3283928821e-06 1.5462947585e-04 1.7364313151e-05 -1.9596386424e-05 -3.1244516819e-06 2.7807106431e-06 4.8839928453e-06 5.9335039092e-06 6.5261597749e-06 1.4138374412e-04 1.5259415517e-05 -1.8478198908e-05 -3.3879781486e-06 2.1910051356e-06 4.1974327368e-06 4.9627999955e-06 1.2022807045e-04 1.3408669762e-05 -1.4797791559e-05 -2.3401283175e-06 2.3585503000e-06 3.7034413991e-06 9.8300762655e-05 1.1556324265e-05 -1.0074776739e-05 -7.3163522131e-07 2.4958050115e-06 7.3927925930e-05 9.6103635586e-06 -4.6148665068e-06 1.7150494634e-06 5.0684865813e-05 8.4948275045e-06 3.0870467501e-06 2.8615190079e-05 9.0721264021e-06 1.0857076824e-05
   7 2.0188199517e-04 8.2127021263e-05 1.8741319694e-05 1.2967979752e-05 1.7289919616e-05 2.0362327110e-05 2.2053643770e-05 2.3193296128e-05 2.4157931883e-05 2.4995929395e-05 2.1626146504e-04 3.5191916455e-05 -1.7195145941e-05 1.5013785166e-06 8.0990857281e-06 1.0378627827e-05 1.1620193572e-05 1.2567398218e-05 1.3345746248e-05 2.0460063512e-04 2.5146274558e-05 -2.3195775841e-05 -2.3244248233e-06 4.8528410257e-06 7.3334107880e-06 8.5991832229e-06 9.3816387352e-06 1.8662189187e-04 2.1379570588e-05 -2.2501817197e-05 -3.0539073694e-06 3.8465543113e-06 6.2506502609e-06 7.2068008035e-06 1.5872137471e-04 1.8458135215e-05 -1.8219218146e-05 -2.0318862441e-06 3.8519893517e-06 5.5071937682e-06 1.2986580813e-04 1.5769853318e-05 -1.2377468819e-05 -1.9245535699e-07 3.8999080592e-06 9.7770327428e-05 1.3092993872e-05 -5.4266616143e-06 2.8356271981e-06 6.7145032696e-05 1.1585598237e-05 4.5579138320e-06 3.8051480732e-05 1.2340916942e-05 1.4676084995e-05
   8 2.6500201385e-04 1.1086205452e-04 2.7541186551e-05 1.8655787244e-05 2.3429493695e-05 2.7058560499e-05 2.9134750532e-05 3.0589852624e-05 3.1854715633e-05 3.2971377755e-05 2.7915177028e-04 5.0120815303e-05 -1.7671198236e-05 4.1950258219e-06 1.1735182860e-05 1.4357763446e-05 1.5876951527e-05 1.7103132996e-05 1.8150096178e-05 2.6136976234e-04 3.5098674533e-05 -2.6199227861e-05 -9.2189782138e-07 7.4384624212e-06 1.0281046729e-05 1.1796424596e-05 1.2808579423e-05 2.3770108432e-04 2.9010244196e-05 -2.6211932839e-05 -2.2228442304e-06 5.9594120316e-06 8.7434654653e-06 9.9079232771e-06 2.0212623830e-04 2.4627668928e-05 -2.1453578436e-05 -1.3045598010e-06 5.7481592739e-06 7.7054903614e-06 1.6548346284e-04 2.0866135098e-05 -1.4517486989e-05 6.9349798140e-07 5.6624965370e-06 1.2472664805e-04 1.7277761789e-05 -6.0379046703e-06 4.2976203315e-06 8.5795888490e-05 1.5263923364e-05 6.4115852462e-06 4.8803387205e-05 1.6184341212e-05 1.9120043244e-05
   9 3.3569017065e-04 1.4417211845e-04 3.7985495576e-05 2.5213271153e-05 3.0312404649e-05 3.4507907649e-05 3.7005810276e-05 3.8821854955e-05 4.0433781858e-05 4.1872096704e-05 3.5037428193e-04 6.8497426358e-05 -1.7110955986e-05 7.5804637771e-06 1.5969182131e-05 1.8948998707e-05 2.0797821426e-05 2.2363527005e-05 2.3735124739e-05 3.2492563364e-04 4.7476389263e-05 -2.8457909532e-05 1.0806793864e-06 1.0507264114e-05 1.3700800185e-05 1.5509648169e-05 1.6808191268e-05 2.9457036426e-04 3.8362761682e-05 -2.9453794862e-05 -8.8849213246e-07 8.4935758072e-06 1.1653202039e-05 1.3067019881e-05 2.5036964061e-04 3.2058262710e-05 -2.4389530004e-05 -1.5526985199e-07 8.0317780556e-06 1.0300231474e-05 2.0506519924e-04 2.6928427084e-05 -1.6412056735e-05 1.9463994788e-06 7.7917276940e-06 1.5473425870e-04 2.2234364617e-05 -6.3814413901e-06 6.1204286283e-06 1.0662237563e-04 1.9582311761e-05 8.6764469047e-06 6.0874820471e-05 2.0624402101e-05 2.4204023390e-05
  10 4.1314579263e-04 1.8192484473e-04 4.9996855225e-05 3.2549523299e-05 3.7842729380e-05 4.2618011189e-05 4.5574831523e-05 4.7794646330e-05 4.9796497242e-05 5.1596100747e-05 4.2985896826e-04 9.0430612323e-05 -1.5518709102e-05 1.1599365679e-05 2.0766432450e-05 2.4136109015e-05 2.6369866361e-05 2.8335279079e-05 3.0084985594e-05 3.9522351765e-04 6.2466346404e-05 -2.9887011602e-05 3.6604023975e-06 1.4033588582e-05 1.7580066131e-05 1.9730311546e-05 2.1373755340e-05 3.5716715812e-04 4.9623204775e-05 -3.2106026561e-05 9.5020353203e-07 1.1426978434e-05 1.4958677297e-05 1.6674582943e-05 3.0339320572e-04 4.0900339512e-05 -2.6916138574e-05 1.4130543404e-06 1.0674823570e-05 1.3280486414e-05 2.4856033185e-04 3.4055837117e-05 -1.7994633272e-05 3.5565822154e-06 1.0282845294e-05 1.8774322499e-04 2.8017395453e-05 -6.4179682769e-06 8.3136029397e-06 1.2959591904e-04 2.4584740198e-05 1.1377104393e-05 7.4273225652e-05 2.5685477334e-05 2.9942681621e-05
  11 4.9651013373e-04 2.2393415241e-04 6.3488402672e-05 4.0574843242e-05 4.5927208896e-05 5.1295050940e-05 5.4749047424e-05 5.7411592583e-05 5.9843103219e-05 6.2039840551e-05 5.1744811765e-04 1.1596698857e-04 -1.2927981956e-05 1.6189668922e-05 2.6089222439e-05 2.9897054097e-05 3.2575145647e-05 3.4997608583e-05 3.7177103938e-05 4.7219198085e-04 8.0204550873e-05 -3.0453604580e-05 6.7746476209e-06 1.7990417890e-05 2.1906621257e-05 2.4453464141e-05 2.6498083905e-05 4.2541130958e-04 6.2938260605e-05 -3.4089996741e-05 3.2752922037e-06 1.4740391595e-05 1.8650702281e-05 2.0722292503e-05 3.6113284258e-04 5.1283455521e-05 -2.8946990151e-05 3.3998715102e-06 1.3659864799e-05 1.6633246942e-05 2.9592275101e-04 4.2356627747e-05 -1.9198307943e-05 5.5160076129e-06 1.3122771939e-05 2.2372807226e-04 3.4695748867e-05 -6.1205169993e-06 1.0874011461e-05 1.5469472621e-04 3.0302455909e-05 1.4525729732e-05 8.8998271675e-05 3.1385957099e-05 3.6350149714e-05
  12 5.8490448885e-04 2.6996865202e-04 7.8368459798e-05 4.9202734544e-05 5.4479152202e-05 6.0448498173e-05 6.4437032916e-05 6.7577779847e-05 7.0475221063e-05 7.3100978864e-05 6.1289919153e-04 1.4509569216e-04 -9.3847092861e-06 2.1291888263e-05 3.1902296173e-05 3.6204508089e-05 3.9388513712e-05 4.2322931025e-05 4.4981302633e-05 5.5573512651e-04 1.0078374160e-04 -3.0152736831e-05 1.0371712095e-05 2.2349039543e-05 2.6668630386e-05 2.9669398277e-05 3.2171691382e-05 4.9921662149e-04 7.8419973412e-05 -3.5364238325e-05 6.0567556528e-06 1.8409889387e-05 2.2720986079e-05 2.5204134354e-05 4.2351537689e-04 6.3315318679e-05 -3.0427421597e-05 5.7906508685e-06 1.6974043206e-05 2.0350743407e-05 3.4709861238e-04 5.1919903806e-05 -1.9969226729e-05 7.8199359771e-06 1.6302017235e-05 2.6266752995e-04 4.2340885218e-05 -5.4561159879e-06 1.3797093503e-05 1.8191726835e-04 3.6772350022e-05 1.8128834627e-05 1.0505016194e-04 3.7737077013e-05 4.3435070973e-05
  13 6.7746097294e-04 3.1975987111e-04 9.4543035788e-05 5.8351852288e-05 6.3417702464e-05 6.9994729222e-05 7.4550482554e-05 7.8203177664e-05 8.1597801909e-05 8.4680890590e-05 7.1588986534e-04 1.7775671760e-04 -4.9446156841e-06 2.6853777017e-05 3.8170320795e-05 4.3029325353e-05 4.6777807481e-05 5.0277593500e-05 5.3460464909e-05 6.4572482624e-04 1.2425973608e-04 -2.8999209337e-05 1.4403391283e-05 2.7081406589e-05 3.1852178958e-05 3.5366518849e-05 3.8380883787e-05 5.7848810349e-04 9.6156737086e-05 -3.5913064467e-05 9.2560681500e-06 2.2414575203e-05 2.7157924209e-05 3.0112175313e-05 4.9046210090e-04 7.7080737470e-05 -3.1322859822e-05 8.5599165958e-06 2.0601352700e-05 2.4425742081e-05 4.0203337972e-04 6.2817505348e-05 -2.0276348829e-05 1.0456946415e-05 1.9814022258e-05 3.0453019150e-04 5.1012736351e-05 -4.4003665029e-06 1.7081335561e-05 2.1126045640e-04 4.4037779102e-05 2.2194935911e-05 1.2243881990e-04 4.4750976689e-05 5.1203642373e-05
