# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.5446715146e-05 4.6224912650e-06 -1.5868834970e-06 -1.6572217322e-06 -8.6592614924e-07 -3.9680090937e-07 -1.8409966027e-07 -8.6990401779e-08 -4.0122294507e-08 -2.1749271517e-08 2.2882026449e-05 1.5927616036e-06 -4.4759824504e-06 -1.8443755874e-06 -7.6312110766e-07 -3.5816867582e-07 -1.7354574009e-07 -8.1894404282e-08 -4.8849564020e-08 2.2684237685e-05 1.6214136145e-06 -4.3203380165e-06 -1.7693881439e-06 -7.3475785900e-07 -3.3532600131e-07 -1.5540621650e-07 -9.3820067676e-08 2.0775394479e-05 1.6635434327e-06 -3.7479584759e-06 -1.5207135023e-06 -6.1037983650e-07 -2.6567423104e-07 -1.5788857456e-07 1.7554356715e-05 1.5139425147e-06 -2.9789785544e-06 -1.1876237619e-06 -4.5648554582e-07 -2.4864650644e-07 1.4220716255e-05 1.2674576726e-06 -2.1663261343e-06 -8.4159061441e-07 -3.5841939301e-07 1.0542305196e-05 9.6239141287e-07 -1.3039479063e-06 -4.0969697953e-07 7.0515759702e-06 7.6125983009e-07 -1.3928071300e-07 3.7429921966e-06 7.9621272488e-07 1.0475173094e-06
   3 3.3117312968e-05 1.0368412900e-05 -2.3547400597e-06 -2.8092405607e-06 -1.4467516104e-06 -6.3761342427e-07 -2.8323085824e-07 -1.2948112499e-07 -6.2247441348e-08 -4.0363456419e-08 4.5416006621e-05 3.5589242533e-06 -8.3267010897e-06 -3.2592770093e-06 -1.2638608775e-06 -5.6206644659e-07 -2.6314607868e-07 -1.2435891325e-07 -7.7714765132e-08 4.4778834801e-05 3.2757776034e-06 -8.2931917191e-06 -3.2569698336e-06 -1.2875354307e-06 -5.6499726487e-07 -2.5523737432e-07 -1.5576463019e-07 4.1042503863e-05 3.2605996780e-06 -7.3071681377e-06 -2.8712587100e-06 -1.1079235191e-06 -4.6561287044e-07 -2.7747422730e-07 3.4713099738e-05 2.9357882754e-06 -5.8585141087e-06 -2.2735803147e-06 -8.4535810363e-07 -4.5790464222e-07 2.8141600078e-05 2.4510715123e-06 -4.2784651788e-06 -1.6256020210e-06 -6.8260852468e-07 2.0872848675e-05 1.8606826690e-06 -2.5831131461e-06 -7.9858300872e-07 1.3960612395e-05 1.4761562371e-06 -2.8139529616e-07 7.4010216696e-06 1.5612014227e-06 2.0627653690e-06
   4 5.8671568022e-05 1.9230566646e-05 -2.5296786517e-06 -3.8251843136e-06 -1.9291541609e-06 -8.0354546221e-07 -3.3533539481e-07 -1.4141227386e-07 -5.9443984921e-08 -3.9463733016e-08 7.5355506455e-05 6.8843329318e-06 -1.2610099645e-05 -4.6379355399e-06 -1.6576194502e-06 -6.8491733983e-07 -2.9642629353e-07 -1.2789506474e-07 -8.1835764015e-08 7.3737771405e-05 5.7237181299e-06 -1.3047742396e-05 -4.8565354910e-06 -1.7888186339e-06 -7.3159561756e-07 -3.1088412953e-07 -1.9095238666e-07 6.7556062389e-05 5.4529302350e-06 -1.1698368771e-05 -4.3915282826e-06 -1.5953031653e-06 -6.3390157831e-07 -3.7617845175e-07 5.7193923860e-05 4.8413974317e-06 -9.4673532551e-06 -3.5347902551e-06 -1.2493991127e-06 -6.6543761682e-07 4.6407718058e-05 4.0166223319e-06 -6.9502703583e-06 -2.5521514888e-06 -1.0392786887e-06 3.4438833686e-05 3.0458954086e-06 -4.1982539700e-06 -1.2496733694e-06 2.3043010306e-05 2.4272661239e-06 -4.2952035493e-07 1.2216417781e-05 2.5836319487e-06 3.4122808648e-06
   5 9.2612580737e-05 3.1670071810e-05 -1.8902226559e-06 -4.6245641987e-06 -2.2877922505e-06 -8.8615239498e-07 -3.4204072949e-07 -1.3632364592e-07 -5.2112125558e-08 -3.2013443615e-08 1.1283664184e-04 1.2036423876e-05 -1.6911268948e-05 -5.7942112750e-06 -1.8744707982e-06 -7.1354506670e-07 -2.8993703765e-07 -1.1371073993e-07 -6.9829537541e-08 1.0944164148e-04 9.2723240543e-06 -1.8208040342e-05 -6.3778014698e-06 -2.1702598577e-06 -8.2059981143e-07 -3.2047289956e-07 -1.9660966307e-07 1.0014636108e-04 8.4011503146e-06 -1.6664115896e-05 -5.9358757302e-06 -2.0043698207e-06 -7.3866694358e-07 -4.3833099889e-07 8.4820217250e-05 7.3087525816e-06 -1.3622223692e-05 -4.8498620363e-06 -1.6079062517e-06 -8.4210379930e-07 6.8882644224e-05 6.0230917128e-06 -1.0046149972e-05 -3.5378200129e-06 -1.3870616390e-06 5.1158478838e-05 4.5616210450e-06 -6.0658969685e-06 -1.7148900327e-06 3.4249747405e-05 3.6428837358e-06 -5.4111414506e-07 1.8173135293e-05 3.8861055831e-06 5.1108751337e-06
   6 1.3505275914e-04 4.8030438629e-05 -2.8001744290e-07 -5.1852292820e-06 -2.5519149885e-06 -9.1500355208e-07 -3.1703751723e-07 -1.1617876642e-07 -4.3206194966e-08 -2.5921297348e-08 1.5809121133e-04 1.9451316787e-05 -2.0964368881e-05 -6.6820987140e-06 -1.9250521148e-06 -6.5595381472e-07 -2.4697170226e-07 -9.4209336471e-08 -5.6718919613e-08 1.5179490293e-04 1.4212103363e-05 -2.3462040952e-05 -7.6848082363e-06 -2.3857648376e-06 -8.2950233346e-07 -3.0294971024e-07 -1.8642583475e-07 1.3866897332e-04 1.2316419971e-05 -2.1926573064e-05 -7.3746526648e-06 -2.3026348253e-06 -7.8507324679e-07 -4.6679474916e-07 1.1747425037e-04 1.0471617821e-05 -1.8134224561e-05 -6.1321695553e-06 -1.8930995021e-06 -9.7399949197e-07 9.5452723602e-05 8.5420831091e-06 -1.3437603914e-05 -4.5138595949e-06 -1.6937430131e-06 7.0951066358e-05 6.4657150493e-06 -8.0946654394e-06 -2.1486208422e-06 4.7546520231e-05 5.1697133466e-06 -5.7088929179e-07 2.5266229774e-05 5.4960090411e-06 7.1779655874e-06
   7 1.8577838580e-04 6.8511537023e-05 2.4078342937e-06 -5.4847853776e-06 -2.7417393742e-06 -9.2017628759e-07 -2.8347590790e-07 -9.0830592975e-08 -3.1547315500e-08 -2.0717575783e-08 2.1133678068e-04 2.9539286621e-05 -2.4567357796e-05 -7.3148429069e-06 -1.8694370637e-06 -5.5787193106e-07 -1.8483461276e-07 -6.6811107961e-08 -4.4679864023e-08 2.0078504226e-04 2.0833221747e-05 -2.8585183757e-05 -8.7399110440e-06 -2.4491353988e-06 -7.6537069564e-07 -2.5953103449e-07 -1.6934269652e-07 1.8298962026e-04 1.7385985779e-05 -2.7265735111e-05 -8.6196015506e-06 -2.4647805021e-06 -7.7585838855e-07 -4.7184349184e-07 1.5503563235e-04 1.4481614973e-05 -2.2807013074e-05 -7.3005481964e-06 -2.0942846849e-06 -1.0632278092e-06 1.2604283008e-04 1.1685431376e-05 -1.6994585810e-05 -5.4356773013e-06 -1.9444845967e-06 9.3758594795e-05 8.8226838594e-06 -1.0206874346e-05 -2.5163267372e-06 6.2899027445e-05 7.0554341080e-06 -4.7423376151e-07 3.3499654485e-05 7.4466622089e-06 9.6362369619e-06
   8 2.4433862973e-04 9.3193608537e-05 6.2228766572e-06 -5.5126693515e-06 -2.8629511236e-06 -9.1269064304e-07 -2.5264511747e-07 -6.9593406299e-08 -2.0867156170e-08 -1.5751837149e-08 2.7269071780e-04 4.2610993843e-05 -2.7581982050e-05 -7.7073547932e-06 -1.7500018386e-06 -4.5560006610e-07 -1.2816576919e-07 -4.0388179303e-08 -3.2456155516e-08 2.5643605384e-04 2.9439266402e-05 -3.3385518721e-05 -9.5393452785e-06 -2.4077094603e-06 -6.6630097809e-07 -2.0084145880e-07 -1.4559122077e-07 2.3303297936e-04 2.3811245693e-05 -3.2514082406e-05 -9.6510243434e-06 -2.5080114223e-06 -7.1618053733e-07 -4.5572590504e-07 1.9739190219e-04 1.9466106163e-05 -2.7494935424e-05 -8.3059561103e-06 -2.2003472233e-06 -1.1101015732e-06 1.6056361795e-04 1.5563135622e-05 -2.0587521188e-05 -6.2602900223e-06 -2.1304276259e-06 1.1954623666e-04 1.1720976246e-05 -1.2324948594e-05 -2.7941507910e-06 8.0291578895e-05 9.3510601567e-06 -2.1558396761e-07 4.2875591861e-05 9.7695369203e-06 1.2510244042e-05
   9 3.1011773113e-04 1.2207300685e-04 1.1178460708e-05 -5.2751890831e-06 -2.9217629420e-06 -8.9566685133e-07 -2.2578923052e-07 -5.3937606158e-08 -1.3391426529e-08 -1.1893502964e-08 3.4217637520e-04 5.8865935621e-05 -2.9948273985e-05 -7.8904826519e-06 -1.5900019234e-06 -3.6194166862e-07 -8.4895533251e-08 -2.1993114796e-08 -2.2569892674e-08 3.1874278151e-04 4.0289935677e-05 -3.7712339362e-05 -1.0085289166e-05 -2.2922088230e-06 -5.6156974175e-07 -1.4672336390e-07 -1.2005782824e-07 2.8875426194e-04 3.1807531703e-05 -3.7514829074e-05 -1.0463571174e-05 -2.4694393743e-06 -6.3291025046e-07 -4.2379651707e-07 2.4447742807e-04 2.5570001186e-05 -3.2083025748e-05 -9.1451259661e-06 -2.2263817292e-06 -1.1163101975e-06 1.9893531922e-04 2.0264766978e-05 -2.4127908780e-05 -6.9645207893e-06 -2.2433661227e-06 1.4826233514e-04 1.5240847216e-05 -1.4375803385e-05 -2.9586828474e-06 9.9719955703e-05 1.2118870737e-05 2.4031881624e-07 5.3408878603e-05 1.2494900285e-05 1.5822650252e-05
  10 3.8238967013e-04 1.5507950152e-04 1.7271274728e-05 -4.7847861557e-06 -2.9275130579e-06 -8.7160417326e-07 -2.0252999465e-07 -4.2121452732e-08 -8.7804763094e-09 -9.3317538897e-09 4.1973603412e-04 7.8422088925e-05 -3.1658405827e-05 -7.9097727362e-06 -1.4102788665e-06 -2.7944581435e-07 -5.4205374387e-08 -1.0434831174e-08 -1.6139665730e-08 3.8766769936e-04 5.3577658518e-05 -4.1475062444e-05 -1.0396178335e-05 -2.1248232909e-06 -4.6052057383e-07 -1.0402508812e-07 -9.8522541381e-08 3.5009877253e-04 4.1566504367e-05 -4.2143107671e-05 -1.1052620424e-05 -2.3702815820e-06 -5.4689214005e-07 -3.8681803932e-07 2.9624092782e-04 3.2950478734e-05 -3.6457750588e-05 -9.8173525753e-06 -2.2000892732e-06 -1.0931171949e-06 2.4111324225e-04 2.5896734624e-05 -2.7546017891e-05 -7.5539416549e-06 -2.2865687149e-06 1.7986395515e-04 1.9444817999e-05 -1.6313054366e-05 -2.9961436645e-06 1.2116732764e-04 1.5412313463e-05 9.2549566452e-07 6.5118363437e-05 1.5656901617e-05 1.9597609061e-05
  11 4.6036276947e-04 1.9208469233e-04 2.4487309992e-05 -4.0522333039e-06 -2.8896698422e-06 -8.4282101249e-07 -1.8254229338e-07 -3.3132334835e-08 -5.9984941479e-09 -7.5956602857e-09 5.0522651392e-04 1.0133889472e-04 -3.2731374576e-05 -7.8093089346e-06 -1.2295218695e-06 -2.0953651613e-07 -3.2792565850e-08 -3.8378185796e-09 -1.2060879029e-08 4.6314604365e-04 6.9445408379e-05 -4.4634338423e-05 -1.0506653857e-05 -1.9255351929e-06 -3.6849810314e-07 -7.1120572811e-08 -8.1642118480e-08 4.1699297076e-04 5.3242059692e-05 -4.6314772269e-05 -1.1431297205e-05 -2.2247252980e-06 -4.6374926242e-07 -3.5055765766e-07 3.5262580037e-04 4.1743388791e-05 -4.0526449682e-05 -1.0319669674e-05 -2.1349550698e-06 -1.0513748955e-06 2.8706048462e-04 3.2572453847e-05 -3.0768022623e-05 -8.0336865868e-06 -2.2698514898e-06 2.1433504041e-04 2.4407249346e-05 -1.8103932137e-05 -2.9048781147e-06 1.4462024939e-04 1.9271837288e-05 1.8592892773e-06 7.8014189374e-05 1.9283528923e-05 2.3859502599e-05
