# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.6428779905e-05 5.5545297948e-06 -3.9863541097e-07 -3.4330763867e-07 5.2927977745e-07 1.0654051824e-06 1.3380289755e-06 1.4912895187e-06 1.5934750779e-06 1.6637804297e-06 2.2963224101e-05 1.9567912151e-06 -3.9325041616e-06 -1.2615372716e-06 -1.4341445713e-07 3.0135181024e-07 5.2591419514e-07 6.5800146762e-07 7.2991544796e-07 2.2769288363e-05 1.9296852676e-06 -3.8687357600e-06 -1.2956152642e-06 -2.3844407397e-07 1.8976852342e-07 4.0184669418e-07 4.9592074547e-07 2.0907034040e-05 1.9683850486e-06 -3.3261408783e-06 -1.0826944325e-06 -1.5491478916e-07 2.1485012772e-07 3.5072714034e-07 1.7740448345e-05 1.8319987984e-06 -2.5687586140e-06 -7.6271093759e-07 -1.4363481315e-08 2.1716523899e-07 1.4455535889e-05 1.6043536578e-06 -1.7588683570e-06 -4.1895836431e-07 8.2387948865e-08 1.0822882766e-05 1.3207405025e-06 -8.9440722122e-07 1.5182127932e-08 7.3741717945e-06 1.1414416533e-06 2.7304919748e-07 4.1071873628e-06 1.1978369826e-06 1.4560696625e-06
   3 3.5381488874e-05 1.2511512724e-05 4.0420233951e-07 2.7569882269e-07 1.8534507017e-06 2.8360659731e-06 3.3415964632e-06 3.6339042750e-06 3.8351067398e-06 3.9807541837e-06 4.5626388149e-05 4.3610900323e-06 -7.1039967196e-06 -1.9019511765e-06 2.1051928844e-07 1.0264006661e-06 1.4345978451e-06 1.6807000487e-06 1.8273651881e-06 4.4978458869e-05 3.9344916996e-06 -7.3140492541e-06 -2.1959392092e-06 -1.4806960500e-07 6.6116538095e-07 1.0615034505e-06 1.2477122499e-06 4.1333111045e-05 3.9051449956e-06 -6.4054611238e-06 -1.9082988510e-06 -8.2323413935e-08 6.3557798795e-07 9.0118302887e-07 3.5114395149e-05 3.6081187114e-06 -4.9830431895e-06 -1.3446683476e-06 1.4191538023e-07 5.9760868480e-07 2.8645891042e-05 3.1670006441e-06 -3.4050467779e-06 -7.0060030922e-07 2.9888529337e-07 2.1476363343e-05 2.6274849862e-06 -1.6982915875e-06 1.3564645801e-07 1.4657074127e-05 2.2962164998e-06 6.1845610613e-07 8.1909283619e-06 2.4360594943e-06 2.9559845998e-06
   4 6.2796002562e-05 2.3132718766e-05 2.5326754504e-06 1.8787096473e-06 4.2016031384e-06 5.6667932154e-06 6.4274644884e-06 6.8874243694e-06 7.2247141025e-06 7.4785204691e-06 7.5783888493e-05 8.3315587281e-06 -1.0372344303e-05 -2.0951320481e-06 1.1411297275e-06 2.3513915890e-06 2.9615721395e-06 3.3445722313e-06 3.5877855746e-06 7.4115638654e-05 6.8833453713e-06 -1.1301117826e-05 -2.9158619033e-06 3.3068656120e-07 1.5730844963e-06 2.1810263314e-06 2.4760239882e-06 6.8083060635e-05 6.5802631915e-06 -1.0107386967e-05 -2.6546383416e-06 2.8666408695e-07 1.4111751180e-06 1.8286581008e-06 5.7907059372e-05 6.0143860810e-06 -7.9280806283e-06 -1.8693337226e-06 5.5036035438e-07 1.2788460738e-06 4.7296083735e-05 5.2665790021e-06 -5.4120953435e-06 -8.9408629576e-07 7.4369917540e-07 3.5500275432e-05 4.3902988937e-06 -2.6316894351e-06 4.2855909660e-07 2.4270854356e-05 3.8743032076e-06 1.1750314582e-06 1.3615193115e-05 4.1398676956e-06 5.0056084355e-06
   5 9.9173131635e-05 3.7874172391e-05 6.2089284388e-06 4.5569161390e-06 7.6168661477e-06 9.5886637202e-06 1.0619973971e-05 1.1267241022e-05 1.1774875974e-05 1.2181799354e-05 1.1359055750e-04 1.4353661035e-05 -1.3290318262e-05 -1.6100898808e-06 2.7693534681e-06 4.3449001895e-06 5.1509025764e-06 5.6946359132e-06 6.0742855226e-06 1.1007027804e-04 1.1090891219e-05 -1.5438464468e-05 -3.2387910356e-06 1.3006144064e-06 2.9801309925e-06 3.8075006933e-06 4.2333990959e-06 1.0098967289e-04 1.0157176252e-05 -1.4163083242e-05 -3.1551071072e-06 1.0482517016e-06 2.6063288524e-06 3.1862116556e-06 8.5945683716e-05 9.1340170218e-06 -1.1208912429e-05 -2.1964815792e-06 1.2958618944e-06 2.3194743612e-06 7.0275761838e-05 7.9685379169e-06 -7.6342829279e-06 -8.9920985050e-07 1.4809713081e-06 5.2817322506e-05 6.6575443868e-06 -3.6017518942e-06 9.5835802902e-07 3.6169157357e-05 5.9082308801e-06 1.9959684447e-06 2.0367316726e-05 6.3390014598e-06 7.6280412475e-06
   6 1.4458466534e-04 5.7040975065e-05 1.1545667062e-05 8.2925798981e-06 1.2033691377e-05 1.4539070357e-05 1.5875277315e-05 1.6743168723e-05 1.7455319502e-05 1.8057185139e-05 1.5928425828e-04 2.2864950695e-05 -1.5582063032e-05 -3.8071269668e-07 5.1124378711e-06 7.0307184309e-06 8.0333374408e-06 8.7560162989e-06 9.3138109977e-06 1.5274395114e-04 1.6843576867e-05 -1.9409111680e-05 -3.0162093991e-06 2.8247247300e-06 4.9055993346e-06 5.9463003758e-06 6.5349949045e-06 1.3990401199e-04 1.4839406046e-05 -1.8297428602e-05 -3.2750123826e-06 2.2451199433e-06 4.2306949834e-06 4.9894228440e-06 1.1910313594e-04 1.3091382727e-05 -1.4640640431e-05 -2.2358988789e-06 2.4149886687e-06 3.7454287915e-06 9.7462624576e-05 1.1337640032e-05 -9.9439615039e-06 -6.4319816112e-07 2.5507736818e-06 7.3342001711e-05 9.4828135919e-06 -4.5172780217e-06 1.7745686564e-06 5.0313147211e-05 8.4403886682e-06 3.1261846875e-06 2.8435734619e-05 9.0567115003e-06 1.0838493252e-05
   7 1.9877442134e-04 8.0790328246e-05 1.8595753359e-05 1.3051537912e-05 1.7375474834e-05 2.0431314582e-05 2.2113954013e-05 2.3250315005e-05 2.4212827277e-05 2.5050140832e-05 2.1309392428e-04 3.4278878749e-05 -1.7039133149e-05 1.5903106147e-06 8.1241523337e-06 1.0382448826e-05 1.1614961664e-05 1.2556729992e-05 1.3331778155e-05 2.0212667553e-04 2.4428443042e-05 -2.2987095730e-05 -2.2001622705e-06 4.9043675837e-06 7.3600817086e-06 8.6165922502e-06 9.3948429306e-06 1.8468778357e-04 2.0809825853e-05 -2.2290400035e-05 -2.9208352027e-06 3.9118913952e-06 6.2929633799e-06 7.2426208336e-06 1.5725386776e-04 1.8030302563e-05 -1.8030731591e-05 -1.9056277215e-06 3.9233140057e-06 5.5624830151e-06 1.2877320186e-04 1.5476206128e-05 -1.2216516005e-05 -8.0709403427e-08 3.9716227664e-06 9.7006818944e-05 1.2923805971e-05 -5.3032762643e-06 2.9129196506e-06 6.6662263642e-05 1.1514429052e-05 4.6092706049e-06 3.7820098579e-05 1.2322697839e-05 1.4654996519e-05
   8 2.6124648043e-04 1.0915331819e-04 2.7346549315e-05 1.8775203972e-05 2.3565384244e-05 2.7181490581e-05 2.9249980102e-05 3.0703086868e-05 3.1967138355e-05 3.3083787516e-05 2.7514881614e-04 4.8907272147e-05 -1.7522624049e-05 4.2915772510e-06 1.1766269556e-05 1.4367985718e-05 1.5878734550e-05 1.7098801662e-05 1.8141630393e-05 2.5824652385e-04 3.4149072439e-05 -2.5979913453e-05 -7.8437028177e-07 7.4992908190e-06 1.0316528618e-05 1.1821473896e-05 1.2828585497e-05 2.3526429468e-04 2.8263280208e-05 -2.5976561935e-05 -2.0694123371e-06 6.0377360392e-06 8.7977570119e-06 9.9549496606e-06 2.0028080786e-04 2.4071941475e-05 -2.1237288580e-05 -1.1552623325e-06 5.8354497730e-06 7.7760813794e-06 1.6411075487e-04 2.0486208723e-05 -1.4328078778e-05 8.2894762653e-07 5.7529125585e-06 1.2376758956e-04 1.7058227855e-05 -5.8881856659e-06 4.3943611582e-06 8.5190948894e-05 1.5172813420e-05 6.4761533629e-06 4.8515091689e-05 1.6163283992e-05 1.9096678769e-05
   9 3.3134032411e-04 1.4207408451e-04 3.7743942119e-05 2.5381561055e-05 3.0516386630e-05 3.4703274008e-05 3.7196661766e-05 3.9011707854e-05 4.0625150659e-05 4.2065013084e-05 3.4548248356e-04 6.6948893470e-05 -1.6977703688e-05 7.6867938151e-06 1.6011673659e-05 1.8971135368e-05 2.0811689085e-05 2.2371938459e-05 2.3738875210e-05 3.2110218767e-04 4.6262565514e-05 -2.8236540682e-05 1.2304733645e-06 1.0578751973e-05 1.3748069639e-05 1.5546442486e-05 1.6838868729e-05 2.9159063410e-04 3.7412148701e-05 -2.9203508761e-05 -7.1630369511e-07 8.5877554902e-06 1.1722585144e-05 1.3128210172e-05 2.4811352962e-04 3.1354394190e-05 -2.4149310524e-05 1.7045343615e-08 8.1388192060e-06 1.0388731543e-05 2.0338972912e-04 2.6448824420e-05 -1.6195053750e-05 2.1069356919e-06 7.9029088422e-06 1.5356464513e-04 2.1957727676e-05 -6.2061967920e-06 6.2381718595e-06 1.0588371933e-04 1.9467797861e-05 8.7546739773e-06 6.0524549653e-05 2.0600050887e-05 2.4178751120e-05
  10 4.0828784393e-04 1.7943216922e-04 4.9714204128e-05 3.2780795728e-05 3.8134437006e-05 4.2905801892e-05 4.5862883407e-05 4.8083823761e-05 5.0089736190e-05 5.1893536543e-05 4.2404483237e-04 8.8518898776e-05 -1.5405244160e-05 1.1719095381e-05 2.0826356284e-05 2.4177763453e-05 2.6403169169e-05 2.8363423752e-05 3.0109124126e-05 3.9066082399e-04 6.0958642540e-05 -2.9671797716e-05 3.8241731397e-06 1.4119446644e-05 1.7642249578e-05 1.9782942402e-05 2.1419637386e-05 3.5361041837e-04 4.8445483473e-05 -3.1847931905e-05 1.1401744174e-06 1.1538644271e-05 1.5046475444e-05 1.6753542677e-05 3.0070009170e-04 4.0028770931e-05 -2.6658765039e-05 1.6095603315e-06 1.0803923519e-05 1.3390314893e-05 2.4655974877e-04 3.3464048149e-05 -1.7754103253e-05 3.7450165203e-06 1.0417470110e-05 1.8634686279e-04 2.7676564900e-05 -6.2169048845e-06 8.4541475991e-06 1.2871531331e-04 2.4442817123e-05 1.1469589248e-05 7.3856439944e-05 2.5657153647e-05 2.9915600275e-05
  11 4.9125880343e-04 2.2105381554e-04 6.3173127812e-05 4.0884937277e-05 4.6326074848e-05 5.1697511258e-05 5.5155734339e-05 5.7824167798e-05 6.0262567251e-05 6.2466963177e-05 5.1069984760e-04 1.1367034744e-04 -1.2836363471e-05 1.6328924722e-05 2.6173585686e-05 2.9965967247e-05 3.2637200826e-05 3.5054584827e-05 3.7231270019e-05 4.6686288395e-04 7.8378332171e-05 -3.0251770301e-05 6.9540322410e-06 1.8095575036e-05 2.1989127104e-05 2.4525939844e-05 2.6564244394e-05 4.2125069557e-04 6.1510535106e-05 -3.3829938531e-05 3.4849944032e-06 1.4872175723e-05 1.8760434442e-05 2.0822669921e-05 3.5798150539e-04 5.0227691994e-05 -2.8677959684e-05 3.6205414723e-06 1.3813993093e-05 1.6767707071e-05 2.9357985537e-04 4.1638193173e-05 -1.8936251827e-05 5.7328660337e-06 1.3283979576e-05 2.2209280652e-04 3.4280733517e-05 -5.8937413710e-06 1.1039384918e-05 1.5366388580e-04 3.0130204842e-05 1.4633267824e-05 8.8510624128e-05 3.1353214933e-05 3.6321383389e-05
