# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc[1]-nc[1]  nc[1]-nc[2]  nc[1]-nc[3]  nc[1]-nc[4]  nc[1]-nc[5]  nc[1]-nc[6]  nc[1]-nc[7]  nc[1]-nc[8]  nc[1]-nc[9]  nc[1]-nc[10]  nc[2]-nc[2]  nc[2]-nc[3]  nc[2]-nc[4]  nc[2]-nc[5]  nc[2]-nc[6]  nc[2]-nc[7]  nc[2]-nc[8]  nc[2]-nc[9]  nc[2]-nc[10]  nc[3]-nc[3]  nc[3]-nc[4]  nc[3]-nc[5]  nc[3]-nc[6]  nc[3]-nc[7]  nc[3]-nc[8]  nc[3]-nc[9]  nc[3]-nc[10]  nc[4]-nc[4]  nc[4]-nc[5]  nc[4]-nc[6]  nc[4]-nc[7]  nc[4]-nc[8]  nc[4]-nc[9]  nc[4]-nc[10]  nc[5]-nc[5]  nc[5]-nc[6]  nc[5]-nc[7]  nc[5]-nc[8]  nc[5]-nc[9]  nc[5]-nc[10]  nc[6]-nc[6]  nc[6]-nc[7]  nc[6]-nc[8]  nc[6]-nc[9]  nc[6]-nc[10]  nc[7]-nc[7]  nc[7]-nc[8]  nc[7]-nc[9]  nc[7]-nc[10]  nc[8]-nc[8]  nc[8]-nc[9]  nc[8]-nc[10]  nc[9]-nc[9]  nc[9]-nc[10]  nc[10]-nc[10]  
   2 1.5132523393e-05 4.5216441513e-06 -1.5770418688e-06 -1.6368381508e-06 -8.5364535806e-07 -3.9072148815e-07 -1.8121928498e-07 -8.5656805168e-08 -3.9491969249e-08 -2.1353940739e-08 2.2555728588e-05 1.5265425872e-06 -4.4282378305e-06 -1.8174917720e-06 -7.5142290771e-07 -3.5267352276e-07 -1.7077442557e-07 -8.0559783258e-08 -4.8102657414e-08 2.2413832340e-05 1.5569226135e-06 -4.2790197070e-06 -1.7444652378e-06 -7.2365117523e-07 -3.3024671651e-07 -1.5304200532e-07 -9.2449175932e-08 2.0557640869e-05 1.6053769921e-06 -3.7150842036e-06 -1.5001823089e-06 -6.0147437003e-07 -2.6184173594e-07 -1.5567762793e-07 1.7386108887e-05 1.4662781423e-06 -2.9547485021e-06 -1.1724011024e-06 -4.5014610091e-07 -2.4540275134e-07 1.4092861629e-05 1.2314652329e-06 -2.1493744400e-06 -8.3147416507e-07 -3.5426730155e-07 1.0450245625e-05 9.3819827073e-07 -1.2941248556e-06 -4.0593329440e-07 6.9901546029e-06 7.4667932209e-07 -1.3973879038e-07 3.7090746734e-06 7.8654955669e-07 1.0369301797e-06
   3 3.2447052173e-05 1.0139459926e-05 -2.3533104380e-06 -2.7798969868e-06 -1.4287668512e-06 -6.2893036386e-07 -2.7918380699e-07 -1.2773591776e-07 -6.1648342664e-08 -3.9994021617e-08 4.4756622202e-05 3.4120745154e-06 -8.2464442984e-06 -3.2149693729e-06 -1.2459994400e-06 -5.5456651019e-07 -2.5978004282e-07 -1.2288493757e-07 -7.6830400753e-08 4.4241538247e-05 3.1423072810e-06 -8.2194254580e-06 -3.2141263897e-06 -1.2699506762e-06 -5.5766982561e-07 -2.5195839721e-07 -1.5385235908e-07 4.0612206389e-05 3.1425213545e-06 -7.2471703779e-06 -2.8349756096e-06 -1.0931124406e-06 -4.5960144808e-07 -2.7408832804e-07 3.4380817634e-05 2.8399344403e-06 -5.8134550452e-06 -2.2459406945e-06 -8.3452278283e-07 -4.5259638301e-07 2.7889428633e-05 2.3793775500e-06 -4.2465895685e-06 -1.6071451629e-06 -6.7549558154e-07 2.0691387661e-05 1.8125417529e-06 -2.5647535964e-06 -7.9204646367e-07 1.3839460373e-05 1.4470281181e-06 -2.8284615895e-07 7.3340757335e-06 1.5419165159e-06 2.0417038046e-06
   4 5.7523348693e-05 1.8813258320e-05 -2.5514684149e-06 -3.7912014861e-06 -1.9081093007e-06 -7.9427305449e-07 -3.3129714235e-07 -1.3952725412e-07 -5.8717836370e-08 -3.9209622862e-08 7.4253829909e-05 6.6176227065e-06 -1.2502046026e-05 -4.5801986069e-06 -1.6364657042e-06 -6.7662993039e-07 -2.9288831529e-07 -1.2656732611e-07 -8.1171844981e-08 7.2849675748e-05 5.4911288376e-06 -1.2941479869e-05 -4.7964136570e-06 -1.7661256722e-06 -7.2317904703e-07 -3.0767182454e-07 -1.8905878592e-07 6.6848720068e-05 5.2529322769e-06 -1.1608907256e-05 -4.3392833326e-06 -1.5759098142e-06 -6.2689492730e-07 -3.7223088831e-07 5.6648745553e-05 4.6804263219e-06 -9.3995007463e-06 -3.4946783889e-06 -1.2348052280e-06 -6.5858553107e-07 4.5993734146e-05 3.8963382480e-06 -6.9018073028e-06 -2.5250452606e-06 -1.0295642523e-06 3.4140897842e-05 2.9653506378e-06 -4.1704258098e-06 -1.2407797456e-06 2.2844049838e-05 2.3785249782e-06 -4.3331676436e-07 1.2106153345e-05 2.5511512640e-06 3.3770788323e-06
   5 9.0888322657e-05 3.1001698850e-05 -1.9530194933e-06 -4.5900992889e-06 -2.2649341725e-06 -8.7703491220e-07 -3.3882511829e-07 -1.3508004291e-07 -5.1425848262e-08 -3.1712541708e-08 1.1118675630e-04 1.1607133774e-05 -1.6782833138e-05 -5.7266736522e-06 -1.8531401303e-06 -7.0678908847e-07 -2.8710639615e-07 -1.1241224492e-07 -6.9228864607e-08 1.0812553729e-04 8.9090723283e-06 -1.8074915492e-05 -6.3047252667e-06 -2.1451145335e-06 -8.1219711732e-07 -3.1742681372e-07 -1.9493214012e-07 9.9100389003e-05 8.0938944367e-06 -1.6547467382e-05 -5.8696068892e-06 -1.9816665863e-06 -7.3146585132e-07 -4.3441852649e-07 8.4015649107e-05 7.0644599739e-06 -1.3531780522e-05 -4.7981124807e-06 -1.5908687384e-06 -8.3461367264e-07 6.8272368340e-05 5.8414131514e-06 -9.9814946285e-06 -3.5029567710e-06 -1.3757859562e-06 5.0718510443e-05 4.4396012052e-06 -6.0293636665e-06 -1.7048012006e-06 3.3955419372e-05 3.5686988362e-06 -5.4916989900e-07 1.8009666761e-05 3.8366038038e-06 5.0576605921e-06
   6 1.3268704580e-04 4.7053122006e-05 -4.0375518677e-07 -5.1555038825e-06 -2.5284034212e-06 -9.0597599825e-07 -3.1422933267e-07 -1.1550705725e-07 -4.3014081963e-08 -2.5646812800e-08 1.5579340406e-04 1.8812550006e-05 -2.0827089096e-05 -6.6081173105e-06 -1.9036020780e-06 -6.5081916651e-07 -2.4575377513e-07 -9.3517214495e-08 -5.6187694800e-08 1.4997722973e-04 1.3685092306e-05 -2.3308353825e-05 -7.6025414388e-06 -2.3609123632e-06 -8.2264726626e-07 -3.0073347578e-07 -1.8493148197e-07 1.3722990511e-04 1.1876288809e-05 -2.1788488622e-05 -7.2982674196e-06 -2.2790848679e-06 -7.7829266957e-07 -4.6309392707e-07 1.1636672604e-04 1.0123880495e-05 -1.8025154832e-05 -6.0710548009e-06 -1.8745821794e-06 -9.6642956962e-07 9.4612739657e-05 8.2847532666e-06 -1.3358357896e-05 -4.4725435956e-06 -1.6819664866e-06 7.0345672425e-05 6.2927505431e-06 -8.0508424448e-06 -2.1390172746e-06 4.7140636051e-05 5.0638506249e-06 -5.8587313079e-07 2.5039529850e-05 5.4252381493e-06 7.1026744810e-06
   7 1.8274162669e-04 6.7177019432e-05 2.2044965118e-06 -5.4655984592e-06 -2.7188862304e-06 -9.1156011204e-07 -2.8096577142e-07 -9.0144493332e-08 -3.1586311408e-08 -2.0595265271e-08 2.0830441264e-04 2.8644399466e-05 -2.4434859521e-05 -7.2390569951e-06 -1.8488857053e-06 -5.5314767890e-07 -1.8420898233e-07 -6.6820346106e-08 -4.4446451100e-08 1.9839745532e-04 2.0105637335e-05 -2.8421467297e-05 -8.6510869888e-06 -2.4247530348e-06 -7.6023760670e-07 -2.5855639981e-07 -1.6832106259e-07 1.8110551802e-04 1.6787487477e-05 -2.7112334141e-05 -8.5363408165e-06 -2.4419583088e-06 -7.7066753267e-07 -4.6873150372e-07 1.5358687119e-04 1.4010541192e-05 -2.2684452886e-05 -7.2335419931e-06 -2.0758906309e-06 -1.0561962511e-06 1.2494301095e-04 1.1336905035e-05 -1.6905059351e-05 -5.3898008332e-06 -1.9332097896e-06 9.2964580713e-05 8.5885384750e-06 -1.0158407993e-05 -2.5088373132e-06 6.2365861625e-05 6.9115418956e-06 -4.9893659630e-07 3.3200489418e-05 7.3500839101e-06 9.5345630107e-06
   8 2.4063728720e-04 9.1463556684e-05 5.9250122091e-06 -5.5096711978e-06 -2.8418431895e-06 -9.0461685270e-07 -2.5063711448e-07 -6.8968334394e-08 -2.0716287612e-08 -1.5732059440e-08 2.6885461810e-04 4.1417386809e-05 -2.7467434302e-05 -7.6332483534e-06 -1.7313375521e-06 -4.5188831675e-07 -1.2743952986e-07 -4.0310966318e-08 -3.2431357083e-08 2.5341855554e-04 2.8475428308e-05 -3.3224612154e-05 -9.4491539524e-06 -2.3840828486e-06 -6.6171620757e-07 -2.0056337182e-07 -1.4507018510e-07 2.3065555820e-04 2.3025159704e-05 -3.2353894637e-05 -9.5633167029e-06 -2.4862175381e-06 -7.1225631053e-07 -4.5348519134e-07 1.9556623701e-04 1.8851789081e-05 -2.7364716378e-05 -8.2349983781e-06 -2.1832157606e-06 -1.1042931337e-06 1.5917701268e-04 1.5108987810e-05 -2.0492325182e-05 -6.2123116929e-06 -2.1209649659e-06 1.1854303403e-04 1.1414214523e-05 -1.2275358106e-05 -2.7908868129e-06 7.9616204043e-05 9.1616568077e-06 -2.5315282970e-07 4.2494677379e-05 9.6426661061e-06 1.2377865056e-05
   9 3.0579323145e-04 1.1991858521e-04 1.0774981514e-05 -5.2928638401e-06 -2.9037673706e-06 -8.8804882555e-07 -2.2404911536e-07 -5.3626609323e-08 -1.3177883834e-08 -1.1868863670e-08 3.3748572751e-04 5.7337516759e-05 -2.9863313189e-05 -7.8210518526e-06 -1.5729727356e-06 -3.5897328530e-07 -8.4930307106e-08 -2.1487035317e-08 -2.2539204286e-08 3.1504548938e-04 3.9055821327e-05 -3.7565284528e-05 -9.9976216370e-06 -2.2713420146e-06 -5.5730756645e-07 -1.4644751173e-07 -1.1969013308e-07 2.8584344086e-04 3.0805646971e-05 -3.7359554418e-05 -1.0375161062e-05 -2.4487373215e-06 -6.2961717020e-07 -4.2217238104e-07 2.4224066785e-04 2.4790543887e-05 -3.1952316624e-05 -9.0725405615e-06 -2.2101018513e-06 -1.1118754745e-06 1.9723710974e-04 1.9689418764e-05 -2.4031366316e-05 -6.9159140739e-06 -2.2366122756e-06 1.4703189720e-04 1.4851168314e-05 -1.4328925443e-05 -2.9617231447e-06 9.8888345485e-05 1.1876671144e-05 1.8626909328e-07 5.2936845137e-05 1.2332743875e-05 1.5655178976e-05
  10 3.7751613694e-04 1.5248266180e-04 1.6753073329e-05 -4.8255031544e-06 -2.9142419083e-06 -8.6449123191e-07 -2.0080284217e-07 -4.2002792966e-08 -8.7346165291e-09 -9.2652029230e-09 4.1415742128e-04 7.6529946690e-05 -3.1612033289e-05 -7.8472049032e-06 -1.3955367913e-06 -2.7610227530e-07 -5.4769270425e-08 -1.0213463490e-08 -1.6019280719e-08 3.8325233001e-04 5.2042605657e-05 -4.1353332901e-05 -1.0312679027e-05 -2.1067437441e-06 -4.5745036864e-07 -1.0371007899e-07 -9.8128453515e-08 3.4662007875e-04 4.0323814562e-05 -4.2002367546e-05 -1.0967776871e-05 -2.3516797404e-06 -5.4395285903e-07 -3.8549915919e-07 2.9356557173e-04 3.1983489430e-05 -3.6335608910e-05 -9.7455756055e-06 -2.1849865262e-06 -1.0898860933e-06 2.3907998165e-04 2.5184204343e-05 -2.7454465260e-05 -7.5056313918e-06 -2.2829676789e-06 1.7838833130e-04 1.8961478761e-05 -1.6272263067e-05 -3.0070508144e-06 1.2016745176e-04 1.5110002753e-05 8.5175480697e-07 6.4546952225e-05 1.5454501013e-05 1.9390439741e-05
  11 4.5504360331e-04 1.8904028578e-04 2.3845746956e-05 -4.1167752598e-06 -2.8821250794e-06 -8.3643927477e-07 -1.8091368308e-07 -3.2991720854e-08 -6.0121301856e-09 -7.5224467273e-09 4.9874486084e-04 9.9059873310e-05 -3.2729791401e-05 -7.7543590922e-06 -1.2177142889e-06 -2.0610456257e-07 -3.2863794629e-08 -4.1046190290e-09 -1.1904196104e-08 4.5798643194e-04 6.7583616125e-05 -4.4547801957e-05 -1.0430069562e-05 -1.9094106696e-06 -3.6580228408e-07 -7.1453223513e-08 -8.1273243469e-08 4.1291971981e-04 5.1733591225e-05 -4.6196912883e-05 -1.1351352061e-05 -2.2092876537e-06 -4.6125195829e-07 -3.4959487529e-07 3.4949003352e-04 4.0570060186e-05 -4.0421584445e-05 -1.0251551459e-05 -2.1214290699e-06 -1.0494189322e-06 2.8467242288e-04 3.1706204776e-05 -3.0687643181e-05 -7.9878251446e-06 -2.2698753645e-06 2.1259862541e-04 2.3818005712e-05 -1.8073109066e-05 -2.9251652900e-06 1.4344023824e-04 1.8902305924e-05 1.7628222210e-06 7.7335370799e-05 1.9036403150e-05 2.3608308118e-05
