# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc.err[1]-nc.err[1]  nc.err[1]-nc.err[2]  nc.err[1]-nc.err[3]  nc.err[1]-nc.err[4]  nc.err[1]-nc.err[5]  nc.err[1]-nc.err[6]  nc.err[1]-nc.err[7]  nc.err[1]-nc.err[8]  nc.err[1]-nc.err[9]  nc.err[1]-nc.err[10]  nc.err[2]-nc.err[2]  nc.err[2]-nc.err[3]  nc.err[2]-nc.err[4]  nc.err[2]-nc.err[5]  nc.err[2]-nc.err[6]  nc.err[2]-nc.err[7]  nc.err[2]-nc.err[8]  nc.err[2]-nc.err[9]  nc.err[2]-nc.err[10]  nc.err[3]-nc.err[3]  nc.err[3]-nc.err[4]  nc.err[3]-nc.err[5]  nc.err[3]-nc.err[6]  nc.err[3]-nc.err[7]  nc.err[3]-nc.err[8]  nc.err[3]-nc.err[9]  nc.err[3]-nc.err[10]  nc.err[4]-nc.err[4]  nc.err[4]-nc.err[5]  nc.err[4]-nc.err[6]  nc.err[4]-nc.err[7]  nc.err[4]-nc.err[8]  nc.err[4]-nc.err[9]  nc.err[4]-nc.err[10]  nc.err[5]-nc.err[5]  nc.err[5]-nc.err[6]  nc.err[5]-nc.err[7]  nc.err[5]-nc.err[8]  nc.err[5]-nc.err[9]  nc.err[5]-nc.err[10]  nc.err[6]-nc.err[6]  nc.err[6]-nc.err[7]  nc.err[6]-nc.err[8]  nc.err[6]-nc.err[9]  nc.err[6]-nc.err[10]  nc.err[7]-nc.err[7]  nc.err[7]-nc.err[8]  nc.err[7]-nc.err[9]  nc.err[7]-nc.err[10]  nc.err[8]-nc.err[8]  nc.err[8]-nc.err[9]  nc.err[8]-nc.err[10]  nc.err[9]-nc.err[9]  nc.err[9]-nc.err[10]  nc.err[10]-nc.err[10]  
   2 1.1194831015e-08 9.9141932144e-09 9.2903041544e-09 8.3528376258e-09 7.1697493383e-09 6.0936651707e-09 5.1800645407e-09 4.2366976107e-09 3.2161446593e-09 1.9746765029e-09 2.2667256383e-08 1.7416613822e-08 1.6677503732e-08 1.4739432183e-08 1.2942222292e-08 1.1212623812e-08 8.8704092143e-09 5.2274032147e-09 3.0156941964e-09 2.4177780736e-08 1.7650590335e-08 1.6597544031e-08 1.4336309033e-08 1.1564892858e-08 8.6773638856e-09 6.0579069058e-09 3.6717563518e-09 2.2429305204e-08 1.5409323681e-08 1.3972031499e-08 1.1389257433e-08 8.2950410609e-09 5.3639716270e-09 3.2922124248e-09 1.8207861288e-08 1.2137241504e-08 1.0199792706e-08 7.7233874887e-09 4.8689500188e-09 2.9078537424e-09 1.3732175126e-08 8.4177132081e-09 6.6410420972e-09 4.2888905554e-09 2.6357552334e-09 9.0905459566e-09 5.1156285132e-09 3.4835207587e-09 2.1513710708e-09 5.2767413798e-09 2.5894555854e-09 1.6420921066e-09 2.4503446568e-09 1.2337907272e-09 9.9751819650e-10
   3 3.0213178270e-08 2.7245782339e-08 2.4125601846e-08 2.0871454588e-08 1.7982973751e-08 1.5484068236e-08 1.2952562053e-08 1.0662102933e-08 7.9856480958e-09 4.4933193842e-09 4.7400309714e-08 3.6216236554e-08 3.4193876990e-08 3.1225289857e-08 2.7662384976e-08 2.3622699246e-08 1.6457122181e-08 1.1394232641e-08 6.9353525743e-09 4.9346012705e-08 3.5980826126e-08 3.3730227230e-08 2.8698517306e-08 2.3865669501e-08 1.8250574127e-08 1.3686192336e-08 7.3777369934e-09 4.5521233588e-08 3.1180907988e-08 2.8240849541e-08 2.2963726605e-08 1.7112508796e-08 1.1353688975e-08 8.1167868759e-09 3.6945739490e-08 2.4411705649e-08 2.0743430826e-08 1.5676620913e-08 1.0068179466e-08 6.5490797601e-09 2.7934322296e-08 1.7150515016e-08 1.3581348296e-08 8.9760410010e-09 5.8948792936e-09 1.8627336479e-08 1.0464943094e-08 7.3751145054e-09 4.8863539354e-09 1.0988916703e-08 5.3891360420e-09 3.7601129069e-09 5.3337884426e-09 2.8937583271e-09 2.4302487460e-09
   4 6.5920935627e-08 6.1905614067e-08 5.6770300741e-08 5.0575076495e-08 4.3740309013e-08 3.7687960864e-08 3.1162627187e-08 2.4815428353e-08 1.7363386743e-08 9.7246238274e-09 8.3536595523e-08 6.3302844007e-08 5.9762479739e-08 5.4495123353e-08 4.8381419745e-08 4.0065243772e-08 2.7127457711e-08 2.0966233703e-08 1.3029849676e-08 8.4316800765e-08 6.1503136132e-08 5.7364767598e-08 4.8942776801e-08 4.0654911536e-08 3.2035347018e-08 2.3545065451e-08 1.2705971362e-08 7.7117020536e-08 5.2725574327e-08 4.8217184477e-08 3.8735135748e-08 2.9818228610e-08 1.9889689869e-08 1.4835547074e-08 6.2498410959e-08 4.1128071317e-08 3.4921621468e-08 2.6495666321e-08 1.7717623239e-08 1.2363002971e-08 4.7326850823e-08 2.8882821147e-08 2.3026650670e-08 1.5513211244e-08 1.0742460414e-08 3.1739184803e-08 1.7880078041e-08 1.2770489437e-08 8.9323106417e-09 1.8973111980e-08 9.4870201488e-09 6.9690836689e-09 9.5317965067e-09 5.4328648372e-09 4.6863287128e-09
   5 1.2431656877e-07 1.1190830513e-07 1.0502084985e-07 9.5720326614e-08 8.3616943395e-08 7.1829526312e-08 5.9178819779e-08 4.5618921738e-08 3.0593918893e-08 1.8305285310e-08 1.3352330143e-07 1.0016433321e-07 9.5503150758e-08 8.4909681021e-08 7.5743408543e-08 5.6653879210e-08 4.5700507178e-08 3.3531829802e-08 2.0474779484e-08 1.3021576124e-07 9.4160080777e-08 8.7215777983e-08 7.5717317466e-08 6.2892372288e-08 5.0582566279e-08 3.1252684587e-08 2.0631402880e-08 1.1783226768e-07 8.0466684732e-08 7.3170290894e-08 5.9697007571e-08 4.6064737809e-08 3.1481652262e-08 2.2499990308e-08 9.5227444524e-08 6.2346945593e-08 5.3686887261e-08 4.0310683955e-08 2.7886624047e-08 2.0634036425e-08 7.2155100460e-08 4.4036772639e-08 3.5478166856e-08 2.4026243530e-08 1.7288098370e-08 4.8617479959e-08 2.7490536794e-08 2.0216681462e-08 1.4434378290e-08 2.9382161327e-08 1.4989362066e-08 1.1377443425e-08 1.5175924741e-08 8.9895617979e-09 7.8836346594e-09
   6 2.1095799697e-07 1.7612653136e-07 1.6866238824e-07 1.5626899038e-07 1.3705387628e-07 1.1837937287e-07 9.5950459501e-08 7.2974952846e-08 4.8029443451e-08 3.0961531377e-08 2.0019008478e-07 1.4886856605e-07 1.4202738852e-07 1.2398689384e-07 1.0959952669e-07 7.9473334662e-08 7.0029754361e-08 4.6561903519e-08 2.9155293904e-08 1.8833565868e-07 1.3675687699e-07 1.2510002312e-07 1.1079672655e-07 9.0725708989e-08 7.4100422820e-08 3.9412015513e-08 3.1426429857e-08 1.6837812165e-07 1.1542461942e-07 1.0517540346e-07 8.5419917860e-08 6.6450811915e-08 4.7117182784e-08 3.1102848676e-08 1.3556854458e-07 8.9210069431e-08 7.6368968574e-08 5.8290570517e-08 4.1221110695e-08 3.1162369244e-08 1.0268809552e-07 6.3009669080e-08 5.1315519559e-08 3.5264032788e-08 2.6014744185e-08 6.9443165088e-08 3.9498402702e-08 2.9566944246e-08 2.1346468540e-08 4.2353627847e-08 2.2089347293e-08 1.7142275402e-08 2.2371916030e-08 1.3708100173e-08 1.2106911585e-08
   7 3.3064375716e-07 2.5389669463e-07 2.4410878875e-07 2.2957046183e-07 2.0283145317e-07 1.7420514500e-07 1.4064510440e-07 1.0642735705e-07 6.9241111730e-08 4.8246701485e-08 2.8657963074e-07 2.1074192975e-07 1.9832569486e-07 1.7472324612e-07 1.4348449286e-07 1.1566249632e-07 9.7643729976e-08 6.2945176057e-08 4.0215246894e-08 2.6016325350e-07 1.8759623844e-07 1.7106620870e-07 1.5116688078e-07 1.2529517451e-07 9.8671533450e-08 5.5647942576e-08 4.4120495762e-08 2.2954661100e-07 1.5736991938e-07 1.4184698753e-07 1.1648534936e-07 9.0497937662e-08 6.6776785019e-08 4.1473198321e-08 1.8400191024e-07 1.2112647386e-07 1.0442932452e-07 8.0260662812e-08 5.6988342818e-08 4.3196394020e-08 1.3924307347e-07 8.5276196726e-08 7.0353050741e-08 4.8843996122e-08 3.6646414697e-08 9.4419682437e-08 5.4160863780e-08 4.1316865930e-08 2.9942622950e-08 5.8023589527e-08 3.1003808150e-08 2.4212373302e-08 3.1218788598e-08 1.9617299963e-08 1.7426925732e-08
   8 4.8727692531e-07 3.4500012266e-07 3.3130347536e-07 3.1423647717e-07 2.7956943607e-07 2.3970129946e-07 1.9297565753e-07 1.4335773759e-07 9.3834970253e-08 7.0608785740e-08 3.9577688748e-07 2.8776780024e-07 2.6644207711e-07 2.3671090115e-07 1.8318482817e-07 1.6220254381e-07 1.2550178321e-07 8.1640585657e-08 5.4018757766e-08 3.4732480225e-07 2.5015422536e-07 2.2838143192e-07 2.0008854539e-07 1.6771874687e-07 1.2033625544e-07 8.2250913634e-08 5.8183730460e-08 3.0223961477e-07 2.0830385879e-07 1.8670953973e-07 1.5397324937e-07 1.1880735890e-07 8.7817525198e-08 5.4742015489e-08 2.4104655495e-07 1.5924037865e-07 1.3760373977e-07 1.0583773692e-07 7.5490939530e-08 5.6053533770e-08 1.8214766335e-07 1.1230414146e-07 9.2685544638e-08 6.5195395420e-08 4.9687333908e-08 1.2377470889e-07 7.1261495284e-08 5.4913297253e-08 4.0246417425e-08 7.6536389872e-08 4.1199646931e-08 3.2541130984e-08 4.1806977157e-08 2.6666070067e-08 2.3901739044e-08
   9 6.8381510750e-07 4.4831721756e-07 4.2766118325e-07 4.0704232013e-07 3.6012754627e-07 3.1135879933e-07 2.5016344423e-07 1.8437403381e-07 1.2232697882e-07 9.8359486252e-08 5.3082632226e-07 3.8395672318e-07 3.4549198648e-07 3.0303941531e-07 2.3789423575e-07 2.1183215719e-07 1.5734960688e-07 1.0450218290e-07 6.9769728294e-08 4.5150415834e-07 3.2586307190e-07 2.9437828500e-07 2.5512541867e-07 2.1637167802e-07 1.4326923632e-07 1.1427571143e-07 7.3410146398e-08 3.8743436985e-07 2.6481037962e-07 2.3754227678e-07 1.9763907594e-07 1.5333993422e-07 1.0727535263e-07 7.0932694086e-08 3.0728821365e-07 2.0273504310e-07 1.7465214155e-07 1.3394810480e-07 9.6684185524e-08 6.8981356397e-08 2.3175584743e-07 1.4347693240e-07 1.1862900769e-07 8.3920369585e-08 6.4408122900e-08 1.5773141423e-07 9.2071356349e-08 7.1267703976e-08 5.2329625881e-08 9.8046190522e-08 5.3677192459e-08 4.2134403762e-08 5.4228297033e-08 3.5033169402e-08 3.1579027588e-08
  10 9.2228082537e-07 5.6202415899e-07 5.2873101600e-07 5.0381171246e-07 4.5150870616e-07 3.8825240605e-07 3.0829504786e-07 2.2763938431e-07 1.5507558268e-07 1.3168815885e-07 6.9466396145e-07 4.9748999642e-07 4.3517430705e-07 3.7527963281e-07 3.0947958068e-07 2.6280308411e-07 1.9113092705e-07 1.3052866320e-07 8.7550649186e-08 5.7439641483e-07 4.1233953980e-07 3.7098821036e-07 3.1767264465e-07 2.6539401579e-07 1.7476107721e-07 1.4432328376e-07 9.0231777478e-08 4.8614533937e-07 3.3284173886e-07 2.9676394917e-07 2.4445699076e-07 1.9225593086e-07 1.2365260173e-07 8.9291806728e-08 3.8335296266e-07 2.5377612102e-07 2.1666856260e-07 1.6933917861e-07 1.2133721246e-07 8.3587671001e-08 2.8845582213e-07 1.7893118719e-07 1.4786569285e-07 1.0568522546e-07 8.0834651592e-08 1.9652818020e-07 1.1434082575e-07 8.9145106334e-08 6.5978004611e-08 1.2270011474e-07 6.8230876127e-08 5.3232588357e-08 6.8573390358e-08 4.4748613727e-08 4.0500394805e-08
  11 1.2038200882e-06 6.8421782617e-07 6.3344934451e-07 6.0223674579e-07 5.4002150375e-07 4.6474514550e-07 3.6834019683e-07 2.7398785778e-07 1.9191935464e-07 1.7068715211e-07 8.9004526958e-07 6.2957785238e-07 5.3660557536e-07 4.4643877417e-07 3.8842936134e-07 3.1748905550e-07 2.3110354515e-07 1.5620756618e-07 1.0776119204e-07 7.1769005067e-07 5.1170056934e-07 4.5821960895e-07 3.8825173847e-07 3.1217472555e-07 2.2140178282e-07 1.7009175006e-07 1.0928732696e-07 5.9940788262e-07 4.0885536432e-07 3.6092376495e-07 2.9812337751e-07 2.3569556713e-07 1.3943749183e-07 1.0890663193e-07 4.6988671930e-07 3.0946247827e-07 2.6393807412e-07 2.0628149911e-07 1.4927139188e-07 9.9288594547e-08 3.5266271885e-07 2.1783720723e-07 1.8030688769e-07 1.2996972772e-07 9.7917007938e-08 2.4042660193e-07 1.4034088009e-07 1.0960129968e-07 8.1365295131e-08 1.5064896393e-07 8.4753334762e-08 6.5739051624e-08 8.4927301323e-08 5.5790338303e-08 5.0702223439e-08
