 # Number of iterations in MCMC :        90000
 # Weight   -ln(L/L_{max})    omega_b    omega_cdm    n_s    A_s    H0    m_ncdm    MG_beta2 
          11   79717.336927850440       1.97023097425699234E-002  0.11320669949054718       0.96827828884124756       2.19779825837334116E-009   65.058166503906250       8.07216099929064512E-004  0.56384801864624023     
           9   79717.474530195730       1.97016913443803787E-002  0.11320521682500839       0.96827936172485352       2.19782498232864704E-009   65.057914733886719       8.21890891529619694E-004  0.56251019239425659     
          25   79716.332439635458       1.97018906474113464E-002  0.11320504546165466       0.96828174591064453       2.19783808242542349E-009   65.057586669921875       8.37082567159086466E-004  0.56247776746749878     
           1   79716.476375618120       1.97014715522527695E-002  0.11320380866527557       0.96828621625900269       2.19784122646026858E-009   65.057327270507813       8.55589692946523428E-004  0.56147497892379761     
           3   79717.312425120210       1.97012238204479218E-002  0.11320530623197556       0.96827375888824463       2.19782393432427825E-009   65.057380676269531       7.87147786468267441E-004  0.56175678968429565     
           4   79716.397925006604       1.97011101990938187E-002  0.11320538818836212       0.96827828884124756       2.19782236231866205E-009   65.057456970214844       8.24259943328797817E-004  0.56143885850906372     
           2   79717.048408049042       1.97014026343822479E-002  0.11320465058088303       0.96827828884124756       2.19782603033351586E-009   65.057197570800781       8.02893424406647682E-004  0.56174308061599731     
          16   79716.812736015156       1.97020489722490311E-002  0.11320611089468002       0.96828067302703857       2.19780559432871502E-009   65.057853698730469       8.21643858216702938E-004  0.56202101707458496     
           7   79717.347095861056       1.97004918009042740E-002  0.11320447921752930       0.96827483177185059       2.19783546239982174E-009   65.057342529296875       8.13658407423645258E-004  0.56139594316482544     
           8   79716.543530052688       1.97002850472927094E-002  0.11320384591817856       0.96827375888824463       2.19787633515489595E-009   65.056861877441406       8.31457495223730803E-004  0.56178367137908936     
           4   79720.831296657008       1.96982715278863907E-002  0.11319861561059952       0.96828222274780273       2.19784122646026858E-009   65.055641174316406       7.99398170784115791E-004  0.56234937906265259     
           1   79722.588290805201       1.96960847824811935E-002  0.11319286376237869       0.96829104423522949       2.19786323483011668E-009   65.053474426269531       8.04949551820755005E-004  0.56092244386672974     
           1   79721.722443770850       1.96960493922233582E-002  0.11319395154714584       0.96828460693359375       2.19788838752265756E-009   65.053642272949219       8.08959826827049255E-004  0.56075853109359741     
           4   79719.922328478264       1.96978691965341568E-002  0.11319950222969055       0.96827501058578491       2.19788524342034803E-009   65.055587768554688       8.19824344944208860E-004  0.56165766716003418     
           4   79720.390632950424       1.96974743157625198E-002  0.11319864541292191       0.96827632188796997       2.19788052727531705E-009   65.055419921875000       8.17563792224973440E-004  0.56199181079864502     
          28   79719.039610966982       1.96991711854934692E-002  0.11320108175277710       0.96828335523605347       2.19785694670195765E-009   65.056556701660156       8.60099971760064363E-004  0.56205320358276367     
          14   79718.981565252659       1.96993891149759293E-002  0.11320103704929352       0.96828883886337280       2.19784489450660571E-009   65.056594848632813       8.85250396095216274E-004  0.56290352344512939     
          14   79718.294761914178       1.97005383670330048E-002  0.11320190131664276       0.96829682588577271       2.19780349833896661E-009   65.057167053222656       8.94665427040308714E-004  0.56470662355422974     
           1   79718.785305816258       1.97015982121229172E-002  0.11320327222347260       0.96828770637512207       2.19782865034787374E-009   65.057701110839844       8.57969280332326889E-004  0.56466811895370483     
           4   79716.461546902967       1.97013411670923233E-002  0.11320456117391586       0.96827858686447144       2.19788838752265756E-009   65.057502746582031       8.73739831149578094E-004  0.56351578235626221     
          30   79717.044438574405       1.97009295225143433E-002  0.11320294439792633       0.96827775239944458       2.19789781985657168E-009   65.056922912597656       8.47765884827822447E-004  0.56393885612487793     
           8   79717.433142035254       1.96993574500083923E-002  0.11320196837186813       0.96826553344726563       2.19794288601065743E-009   65.056091308593750       8.16667103208601475E-004  0.56352216005325317     
